1788687130.594338067,0 %, 305 MHz, 45, 5.31 W
1788687130.694831972,0 %, 305 MHz, 45, 5.31 W
1788687130.795349829,0 %, 305 MHz, 45, 5.31 W
1788687130.895541207,0 %, 305 MHz, 45, 5.31 W
1788687130.995195688,0 %, 305 MHz, 45, 5.46 W
1788687131.095412761,0 %, 305 MHz, 45, 5.46 W
1788687131.195637818,0 %, 305 MHz, 45, 5.46 W
1788687131.295896812,0 %, 305 MHz, 45, 5.46 W
1788687131.395891933,0 %, 305 MHz, 45, 5.46 W
1788687131.496318318,0 %, 1170 MHz, 45, 5.67 W
1788687131.596176879,0 %, 1170 MHz, 45, 5.67 W
1788687131.696920049,0 %, 1170 MHz, 45, 5.67 W
1788687131.796919106,0 %, 1170 MHz, 45, 5.67 W
1788687131.897598595,0 %, 1170 MHz, 45, 5.67 W
1788687131.997565732,0 %, 1170 MHz, 46, 6.78 W
1788687132.097620566,0 %, 1170 MHz, 46, 6.78 W
1788687132.198007879,0 %, 1170 MHz, 46, 6.78 W
1788687132.298335144,0 %, 1170 MHz, 46, 6.78 W
1788687132.398235705,0 %, 1170 MHz, 46, 6.78 W
1788687132.498391211,0 %, 1170 MHz, 46, 6.76 W
1788687132.598597532,0 %, 1170 MHz, 46, 6.76 W
1788687132.698819645,0 %, 1170 MHz, 46, 6.76 W
1788687132.799082798,0 %, 1170 MHz, 46, 6.76 W
1788687132.899345184,0 %, 1170 MHz, 46, 6.76 W
1788687132.999521489,0 %, 1170 MHz, 46, 6.67 W
1788687133.099709170,0 %, 1170 MHz, 46, 6.67 W
1788687133.199801684,0 %, 1170 MHz, 46, 6.67 W
1788687133.299942853,0 %, 1170 MHz, 46, 6.67 W
1788687133.400180022,0 %, 1170 MHz, 46, 6.67 W
1788687133.500353767,24 %, 1170 MHz, 46, 6.65 W
1788687133.600385065,24 %, 1170 MHz, 46, 6.65 W
1788687133.700970010,24 %, 1170 MHz, 46, 6.65 W
1788687133.800763115,24 %, 1170 MHz, 46, 6.65 W
1788687133.901455452,24 %, 1170 MHz, 46, 6.65 W
1788687134.001359806,24 %, 1170 MHz, 46, 6.74 W
1788687134.101987375,24 %, 1170 MHz, 46, 6.74 W
1788687134.201842224,24 %, 1170 MHz, 46, 6.74 W
1788687134.302037714,24 %, 1170 MHz, 46, 6.74 W
1788687134.402164003,24 %, 1170 MHz, 46, 6.74 W
1788687134.502325540,0 %, 1170 MHz, 46, 6.83 W
1788687134.602258997,0 %, 1170 MHz, 46, 6.83 W
1788687134.703182823,0 %, 1170 MHz, 46, 6.83 W
1788687134.803248680,0 %, 1170 MHz, 46, 6.83 W
1788687134.903556970,0 %, 1170 MHz, 46, 6.83 W
1788687135.003510843,0 %, 1170 MHz, 46, 6.72 W
1788687135.103905452,0 %, 1170 MHz, 46, 6.72 W
1788687135.204101101,0 %, 1170 MHz, 46, 6.72 W
1788687135.304370351,0 %, 1170 MHz, 46, 6.72 W
1788687135.404654640,0 %, 1170 MHz, 46, 6.72 W
1788687135.504697777,0 %, 1170 MHz, 46, 6.66 W
1788687135.604913106,0 %, 1170 MHz, 46, 6.66 W
1788687135.704913876,0 %, 1170 MHz, 46, 6.66 W
1788687135.805551717,0 %, 1170 MHz, 46, 6.66 W
1788687135.905676038,0 %, 1170 MHz, 46, 6.66 W
1788687136.005830775,0 %, 1170 MHz, 46, 6.69 W
1788687136.106435001,0 %, 1170 MHz, 46, 6.69 W
1788687136.206157530,0 %, 1170 MHz, 46, 6.69 W
1788687136.306434539,0 %, 1170 MHz, 46, 6.69 W
1788687136.406763228,0 %, 1170 MHz, 46, 6.69 W
1788687136.506961981,0 %, 1170 MHz, 46, 6.69 W
1788687136.607303263,0 %, 1170 MHz, 46, 6.69 W
1788687136.707493040,0 %, 1170 MHz, 46, 6.69 W
1788687136.807564417,0 %, 1170 MHz, 46, 6.69 W
1788687136.907541107,0 %, 1170 MHz, 46, 6.70 W
1788687137.007869764,0 %, 1170 MHz, 46, 6.70 W
1788687137.108058485,0 %, 1170 MHz, 46, 6.70 W
1788687137.208322358,0 %, 1170 MHz, 46, 6.70 W
1788687137.308289448,0 %, 1170 MHz, 46, 6.70 W
1788687137.408925801,0 %, 1170 MHz, 46, 6.71 W
1788687137.508850170,0 %, 1170 MHz, 46, 6.71 W
1788687137.609406443,0 %, 1170 MHz, 46, 6.71 W
1788687137.709342877,0 %, 1170 MHz, 46, 6.71 W
1788687137.809411822,0 %, 1170 MHz, 46, 6.71 W
1788687137.909531199,0 %, 1170 MHz, 46, 6.73 W
1788687138.009807792,0 %, 1170 MHz, 46, 6.73 W
1788687138.109816418,0 %, 1170 MHz, 46, 6.73 W
1788687138.209757603,0 %, 1170 MHz, 46, 6.73 W
1788687138.310088020,0 %, 1170 MHz, 46, 6.73 W
1788687138.410272149,0 %, 1170 MHz, 47, 6.76 W
1788687138.510736294,0 %, 1170 MHz, 47, 6.76 W
1788687138.610789128,0 %, 1170 MHz, 47, 6.76 W
1788687138.710808313,0 %, 1170 MHz, 47, 6.76 W
1788687138.811335178,0 %, 1170 MHz, 47, 6.76 W
1788687138.911416075,0 %, 1170 MHz, 47, 6.81 W
1788687139.011358220,0 %, 1170 MHz, 47, 6.81 W
1788687139.111419630,0 %, 1170 MHz, 47, 6.81 W
1788687139.211893007,0 %, 1170 MHz, 47, 6.81 W
1788687139.312074912,0 %, 1170 MHz, 47, 6.81 W
1788687139.412072577,0 %, 1170 MHz, 47, 6.78 W
1788687139.512243091,0 %, 1170 MHz, 47, 6.78 W
1788687139.612168580,0 %, 1170 MHz, 47, 6.78 W
