1788687130.592528372,0 %, 1690 MHz, 38, 6.96 W
1788687130.694485964,0 %, 1690 MHz, 38, 6.96 W
1788687130.795074494,0 %, 1690 MHz, 38, 6.98 W
1788687130.896048873,0 %, 1690 MHz, 38, 6.98 W
1788687130.996756294,0 %, 1690 MHz, 38, 6.98 W
1788687131.097505876,0 %, 1690 MHz, 38, 6.98 W
1788687131.197876731,0 %, 1690 MHz, 38, 6.98 W
1788687131.298909037,0 %, 1690 MHz, 38, 6.97 W
1788687131.399490053,0 %, 1690 MHz, 38, 6.97 W
1788687131.498984997,0 %, 1690 MHz, 38, 6.97 W
1788687131.598968842,0 %, 1690 MHz, 38, 6.97 W
1788687131.699392163,0 %, 1690 MHz, 38, 6.97 W
1788687131.800584355,0 %, 1690 MHz, 38, 7.04 W
1788687131.902249816,0 %, 1690 MHz, 38, 7.04 W
1788687132.000658462,0 %, 1690 MHz, 38, 7.04 W
1788687132.101095414,0 %, 1690 MHz, 38, 7.04 W
1788687132.201141531,0 %, 1690 MHz, 38, 7.04 W
1788687132.302782239,0 %, 1690 MHz, 38, 7.09 W
1788687132.403421961,0 %, 1690 MHz, 38, 7.09 W
1788687132.504477349,0 %, 1690 MHz, 38, 7.09 W
1788687132.605462807,0 %, 1690 MHz, 38, 7.09 W
1788687132.706203616,0 %, 1690 MHz, 38, 7.09 W
1788687132.806940184,0 %, 1690 MHz, 38, 7.02 W
1788687132.907410767,0 %, 1690 MHz, 38, 7.02 W
1788687133.008073868,0 %, 1690 MHz, 38, 7.02 W
1788687133.108657299,0 %, 1690 MHz, 38, 7.02 W
1788687133.209143018,0 %, 1690 MHz, 38, 7.02 W
1788687133.309291822,0 %, 1690 MHz, 38, 7.02 W
1788687133.409412850,0 %, 1690 MHz, 38, 7.02 W
1788687133.510106027,0 %, 1690 MHz, 38, 7.02 W
1788687133.610585986,0 %, 1690 MHz, 38, 7.02 W
1788687133.710845479,0 %, 1690 MHz, 38, 7.02 W
1788687133.810943754,0 %, 1690 MHz, 38, 7.05 W
1788687133.911273984,0 %, 1690 MHz, 38, 7.05 W
1788687134.012198427,0 %, 1690 MHz, 38, 7.05 W
