1788687176.636804291,0 %, 1690 MHz, 39, 7.11 W
1788687176.738193309,0 %, 1690 MHz, 39, 7.11 W
1788687176.839266515,0 %, 1690 MHz, 39, 7.09 W
1788687176.938155975,0 %, 1690 MHz, 39, 7.09 W
1788687177.038352582,0 %, 1690 MHz, 39, 7.09 W
1788687177.138589252,0 %, 1690 MHz, 39, 7.09 W
1788687177.239373047,0 %, 1690 MHz, 39, 7.09 W
1788687177.341473509,0 %, 1690 MHz, 39, 7.07 W
1788687177.440619913,0 %, 1690 MHz, 39, 7.07 W
1788687177.541884801,0 %, 1690 MHz, 39, 7.07 W
1788687177.641220568,0 %, 1690 MHz, 39, 7.07 W
1788687177.743130757,0 %, 1690 MHz, 39, 7.07 W
1788687177.843445939,0 %, 1690 MHz, 39, 7.05 W
1788687177.943823763,0 %, 1690 MHz, 39, 7.05 W
1788687178.043770686,0 %, 1690 MHz, 39, 7.05 W
1788687178.144210973,0 %, 1690 MHz, 39, 7.05 W
1788687178.245035151,0 %, 1690 MHz, 39, 7.05 W
1788687178.346167350,0 %, 1690 MHz, 39, 7.16 W
1788687178.445309559,0 %, 1690 MHz, 39, 7.16 W
1788687178.547028801,0 %, 1690 MHz, 39, 7.16 W
1788687178.646877883,0 %, 1690 MHz, 39, 7.16 W
1788687178.747851838,0 %, 1690 MHz, 39, 7.16 W
1788687178.849034948,0 %, 1690 MHz, 39, 7.17 W
1788687178.948566939,0 %, 1690 MHz, 39, 7.17 W
1788687179.049838002,0 %, 1690 MHz, 39, 7.17 W
1788687179.150167245,0 %, 1690 MHz, 39, 7.17 W
1788687179.250198983,0 %, 1690 MHz, 39, 7.17 W
1788687179.350023407,0 %, 1690 MHz, 39, 7.08 W
1788687179.450136906,0 %, 1690 MHz, 39, 7.08 W
1788687179.550328822,0 %, 1690 MHz, 39, 7.08 W
1788687179.650502081,0 %, 1690 MHz, 39, 7.08 W
1788687179.750986527,0 %, 1690 MHz, 39, 7.08 W
1788687179.851304556,0 %, 1690 MHz, 39, 7.14 W
1788687179.951871770,0 %, 1690 MHz, 39, 7.14 W
1788687180.051771299,0 %, 1690 MHz, 39, 7.14 W
1788687180.151935773,0 %, 1690 MHz, 39, 7.14 W
1788687180.251732339,0 %, 1690 MHz, 39, 7.14 W
1788687180.352084575,1 %, 1690 MHz, 39, 7.19 W
1788687180.452095736,1 %, 1690 MHz, 39, 7.19 W
1788687180.552652997,1 %, 1690 MHz, 39, 7.19 W
1788687180.653240547,1 %, 1690 MHz, 39, 7.19 W
1788687180.753589935,1 %, 1690 MHz, 39, 7.19 W
1788687180.853908010,1 %, 1690 MHz, 39, 7.18 W
1788687180.954059236,1 %, 1690 MHz, 39, 7.18 W
1788687181.054552976,1 %, 1690 MHz, 39, 7.18 W
1788687181.154868282,1 %, 1690 MHz, 39, 7.18 W
1788687181.254989347,1 %, 1690 MHz, 39, 7.18 W
1788687181.355131964,2 %, 1690 MHz, 39, 7.15 W
