1788687205.394180948,0 %, 1176 MHz, 47, 6.63 W
1788687205.495040822,0 %, 1176 MHz, 47, 6.62 W
1788687205.594876982,0 %, 1176 MHz, 47, 6.62 W
1788687205.695437688,0 %, 1176 MHz, 47, 6.62 W
1788687205.795281560,0 %, 1176 MHz, 47, 6.62 W
1788687205.895578762,0 %, 1176 MHz, 47, 6.62 W
1788687205.995836411,0 %, 1170 MHz, 47, 6.78 W
1788687206.096058396,0 %, 1170 MHz, 47, 6.78 W
1788687206.195915549,0 %, 1170 MHz, 47, 6.78 W
1788687206.296319070,0 %, 1170 MHz, 47, 6.78 W
1788687206.396217391,0 %, 1170 MHz, 47, 6.78 W
1788687206.497090384,9 %, 1170 MHz, 47, 6.81 W
1788687206.597088833,9 %, 1170 MHz, 47, 6.81 W
1788687206.697628930,9 %, 1170 MHz, 47, 6.81 W
1788687206.797567427,9 %, 1170 MHz, 47, 6.81 W
1788687206.897765620,9 %, 1170 MHz, 47, 6.81 W
1788687206.997929813,9 %, 1170 MHz, 47, 6.68 W
1788687207.097978950,9 %, 1170 MHz, 47, 6.68 W
1788687207.197821495,9 %, 1170 MHz, 47, 6.68 W
1788687207.297632104,9 %, 1170 MHz, 47, 6.68 W
1788687207.398242425,9 %, 1170 MHz, 47, 6.68 W
1788687207.498506746,3 %, 1170 MHz, 47, 6.70 W
1788687207.598795147,3 %, 1170 MHz, 47, 6.70 W
1788687207.698423116,3 %, 1170 MHz, 47, 6.70 W
1788687207.798973965,3 %, 1170 MHz, 47, 6.70 W
1788687207.899146286,3 %, 1170 MHz, 47, 6.70 W
1788687207.999748079,3 %, 1176 MHz, 47, 6.73 W
1788687208.099989632,3 %, 1176 MHz, 47, 6.73 W
1788687208.199994417,3 %, 1176 MHz, 47, 6.73 W
1788687208.300169906,3 %, 1176 MHz, 47, 6.73 W
1788687208.399826371,3 %, 1176 MHz, 47, 6.73 W
1788687208.500443796,58 %, 1170 MHz, 47, 6.88 W
1788687208.600686805,58 %, 1170 MHz, 47, 6.88 W
1788687208.700778006,58 %, 1170 MHz, 47, 6.88 W
1788687208.800952519,58 %, 1170 MHz, 47, 6.88 W
1788687208.901115512,58 %, 1170 MHz, 47, 6.88 W
1788687209.001359481,58 %, 1176 MHz, 47, 6.95 W
1788687209.101530506,58 %, 1176 MHz, 47, 6.95 W
1788687209.201937995,58 %, 1176 MHz, 47, 6.95 W
1788687209.302152412,58 %, 1176 MHz, 47, 6.95 W
1788687209.401677437,58 %, 1176 MHz, 47, 6.95 W
1788687209.502227742,0 %, 1176 MHz, 47, 6.78 W
1788687209.602527791,0 %, 1176 MHz, 47, 6.78 W
1788687209.702594608,0 %, 1176 MHz, 47, 6.78 W
1788687209.802851073,0 %, 1176 MHz, 47, 6.78 W
1788687209.903072194,0 %, 1176 MHz, 47, 6.78 W
1788687210.003338291,0 %, 1176 MHz, 47, 6.70 W
