1788702406.014257286,0 %, 221 MHz, 35, 4.74 W
1788702406.115540526,0 %, 221 MHz, 35, 4.74 W
1788702406.216470822,0 %, 221 MHz, 35, 4.74 W
1788702406.316789215,0 %, 221 MHz, 35, 4.74 W
1788702406.418166887,0 %, 221 MHz, 35, 5.53 W
1788702406.518872287,0 %, 221 MHz, 35, 5.53 W
1788702406.619783111,0 %, 221 MHz, 35, 5.53 W
1788702406.720667248,0 %, 221 MHz, 35, 5.53 W
1788702406.820146970,0 %, 221 MHz, 35, 5.53 W
1788702406.920641475,0 %, 2411 MHz, 35, 9.37 W
1788702407.021811595,0 %, 2411 MHz, 35, 9.37 W
1788702407.122204244,0 %, 2411 MHz, 35, 9.37 W
1788702407.222431341,0 %, 2411 MHz, 35, 9.37 W
1788702407.323117494,0 %, 2411 MHz, 35, 9.37 W
1788702407.424296141,0 %, 2411 MHz, 35, 11.11 W
1788702407.524739718,0 %, 2411 MHz, 35, 11.11 W
1788702407.625466334,0 %, 2411 MHz, 35, 11.11 W
1788702407.726079863,0 %, 2411 MHz, 35, 11.11 W
1788702407.826456112,0 %, 2411 MHz, 35, 11.11 W
1788702407.928131350,0 %, 2411 MHz, 35, 11.12 W
1788702408.028157168,0 %, 2411 MHz, 35, 11.12 W
1788702408.129504647,0 %, 2411 MHz, 35, 11.12 W
1788702408.230240575,0 %, 2411 MHz, 35, 11.12 W
1788702408.330528264,0 %, 2411 MHz, 35, 11.12 W
1788702408.431976430,0 %, 2411 MHz, 35, 11.11 W
1788702408.532433607,0 %, 2411 MHz, 35, 11.11 W
1788702408.633217295,0 %, 2411 MHz, 35, 11.11 W
1788702408.733816791,0 %, 2411 MHz, 35, 11.11 W
1788702408.834701119,0 %, 2411 MHz, 35, 11.11 W
1788702408.934740328,0 %, 2411 MHz, 36, 11.09 W
1788702409.034728017,0 %, 2411 MHz, 36, 11.09 W
1788702409.136266376,0 %, 2411 MHz, 36, 11.09 W
1788702409.236205921,0 %, 2411 MHz, 36, 11.09 W
1788702409.337115832,0 %, 2411 MHz, 36, 11.09 W
1788702409.437945152,0 %, 2411 MHz, 36, 11.03 W
1788702409.538533240,0 %, 2411 MHz, 36, 11.03 W
1788702409.639402751,0 %, 2411 MHz, 36, 11.03 W
1788702409.739844456,0 %, 2411 MHz, 36, 11.03 W
1788702409.840951951,0 %, 2411 MHz, 36, 11.03 W
1788702409.941849382,0 %, 2411 MHz, 36, 11.03 W
1788702410.042469678,0 %, 2411 MHz, 36, 11.03 W
1788702410.142850630,0 %, 2411 MHz, 36, 11.03 W
1788702410.244279117,0 %, 2411 MHz, 36, 11.03 W
1788702410.344888629,0 %, 2411 MHz, 36, 11.03 W
1788702410.444834861,0 %, 2411 MHz, 36, 11.02 W
1788702410.546035748,0 %, 2411 MHz, 36, 11.02 W
1788702410.647067179,0 %, 2411 MHz, 36, 11.02 W
1788702410.748282786,0 %, 2411 MHz, 36, 11.02 W
1788702410.848251210,0 %, 2411 MHz, 36, 11.02 W
1788702410.949014306,0 %, 2411 MHz, 36, 11.78 W
1788702411.048663579,0 %, 2411 MHz, 36, 11.78 W
1788702411.149640690,0 %, 2411 MHz, 36, 11.78 W
1788702411.251201560,0 %, 2411 MHz, 36, 11.78 W
1788702411.351228417,0 %, 2411 MHz, 36, 11.78 W
1788702411.452016840,19 %, 2411 MHz, 36, 12.77 W
1788702411.552603471,19 %, 2411 MHz, 36, 12.77 W
1788702411.652967351,19 %, 2411 MHz, 36, 12.77 W
1788702411.753568127,19 %, 2411 MHz, 36, 12.77 W
1788702411.854529862,19 %, 2411 MHz, 36, 12.77 W
1788702411.956769690,19 %, 2411 MHz, 37, 20.57 W
1788702412.056686131,19 %, 2411 MHz, 37, 20.57 W
1788702412.157046763,19 %, 2411 MHz, 37, 20.57 W
1788702412.258705728,19 %, 2411 MHz, 37, 20.57 W
1788702412.358177945,19 %, 2411 MHz, 37, 20.57 W
1788702412.459033536,6 %, 2411 MHz, 37, 29.00 W
1788702412.559970103,6 %, 2411 MHz, 37, 29.00 W
1788702412.661339692,6 %, 2411 MHz, 37, 29.00 W
1788702412.762122339,6 %, 2411 MHz, 37, 29.00 W
1788702412.862197116,6 %, 2411 MHz, 43, 27.25 W
1788702412.962852371,6 %, 2411 MHz, 43, 27.25 W
1788702413.063018043,6 %, 2411 MHz, 43, 27.25 W
1788702413.163834833,6 %, 2411 MHz, 43, 27.25 W
1788702413.265256695,6 %, 2411 MHz, 43, 27.25 W
1788702413.365842670,2 %, 2405 MHz, 37, 27.34 W
1788702413.466151605,2 %, 2405 MHz, 37, 27.34 W
1788702413.568433785,2 %, 2405 MHz, 37, 27.34 W
1788702413.668031458,2 %, 2405 MHz, 37, 27.34 W
1788702413.768627785,2 %, 2405 MHz, 37, 27.34 W
1788702413.869142400,2 %, 2411 MHz, 37, 25.69 W
1788702413.969488392,2 %, 2411 MHz, 37, 25.69 W
1788702414.070242334,2 %, 2411 MHz, 37, 25.69 W
1788702414.172610610,2 %, 2411 MHz, 37, 25.69 W
1788702414.271333116,2 %, 2411 MHz, 37, 25.69 W
1788702414.371276020,32 %, 2411 MHz, 38, 20.68 W
1788702414.471423995,32 %, 2411 MHz, 38, 20.68 W
1788702414.572972960,32 %, 2411 MHz, 38, 20.68 W
1788702414.673932807,32 %, 2411 MHz, 38, 20.68 W
1788702414.773270223,32 %, 2411 MHz, 38, 20.68 W
1788702414.873402807,32 %, 2411 MHz, 38, 22.74 W
1788702414.973420431,32 %, 2411 MHz, 38, 22.74 W
1788702415.074466341,32 %, 2411 MHz, 38, 22.74 W
1788702415.175509850,32 %, 2411 MHz, 38, 22.74 W
1788702415.275053587,32 %, 2411 MHz, 38, 22.74 W
1788702415.375383193,32 %, 2411 MHz, 38, 22.80 W
1788702415.475644464,32 %, 2411 MHz, 38, 22.80 W
1788702415.577170069,32 %, 2411 MHz, 38, 22.80 W
1788702415.676800750,32 %, 2411 MHz, 38, 22.80 W
1788702415.777046469,32 %, 2411 MHz, 38, 22.80 W
1788702415.877588427,32 %, 2411 MHz, 38, 22.99 W
1788702415.978605729,32 %, 2411 MHz, 38, 22.99 W
1788702416.079293095,32 %, 2411 MHz, 38, 22.99 W
1788702416.177954785,32 %, 2411 MHz, 38, 22.99 W
1788702416.278452455,32 %, 2411 MHz, 38, 22.99 W
1788702416.378152591,32 %, 2411 MHz, 38, 22.92 W
1788702416.479692371,32 %, 2411 MHz, 38, 22.92 W
1788702416.580408986,32 %, 2411 MHz, 38, 22.92 W
1788702416.680013585,32 %, 2411 MHz, 38, 22.92 W
1788702416.780174536,32 %, 2411 MHz, 38, 22.92 W
1788702416.880177360,32 %, 2411 MHz, 39, 22.86 W
1788702416.981240005,32 %, 2411 MHz, 39, 22.86 W
1788702417.081868859,32 %, 2411 MHz, 39, 22.86 W
1788702417.180856996,32 %, 2411 MHz, 39, 22.86 W
1788702417.281294746,32 %, 2411 MHz, 39, 22.86 W
1788702417.382460143,32 %, 2411 MHz, 39, 22.88 W
1788702417.483202469,32 %, 2411 MHz, 39, 22.88 W
1788702417.584436298,32 %, 2411 MHz, 39, 22.88 W
1788702417.683595618,32 %, 2411 MHz, 39, 22.88 W
1788702417.783840521,32 %, 2411 MHz, 39, 22.88 W
1788702417.883759344,32 %, 2411 MHz, 38, 23.01 W
1788702417.984587445,32 %, 2411 MHz, 38, 23.01 W
1788702418.085429259,32 %, 2411 MHz, 38, 23.01 W
1788702418.184525571,32 %, 2411 MHz, 38, 23.01 W
1788702418.285552904,32 %, 2411 MHz, 38, 23.01 W
1788702418.386457469,32 %, 2411 MHz, 38, 22.88 W
1788702418.486685619,32 %, 2411 MHz, 38, 22.88 W
1788702418.586583146,32 %, 2411 MHz, 38, 22.88 W
1788702418.687317632,32 %, 2411 MHz, 38, 22.88 W
1788702418.787518342,32 %, 2411 MHz, 38, 22.88 W
1788702418.887177886,32 %, 2411 MHz, 38, 22.89 W
1788702418.990350079,32 %, 2411 MHz, 38, 22.89 W
1788702419.089243159,32 %, 2411 MHz, 38, 22.89 W
1788702419.190352540,32 %, 2411 MHz, 38, 22.89 W
1788702419.289991651,32 %, 2411 MHz, 38, 22.89 W
1788702419.391602855,32 %, 2411 MHz, 38, 22.70 W
1788702419.492218716,32 %, 2411 MHz, 38, 22.70 W
1788702419.592141011,32 %, 2411 MHz, 38, 22.70 W
1788702419.691965050,32 %, 2411 MHz, 38, 22.70 W
1788702419.792299216,32 %, 2411 MHz, 38, 22.70 W
1788702419.893793780,32 %, 2411 MHz, 39, 22.74 W
1788702419.995314455,32 %, 2411 MHz, 39, 22.74 W
1788702420.094356431,32 %, 2411 MHz, 39, 22.74 W
1788702420.195188468,32 %, 2411 MHz, 39, 22.74 W
1788702420.294938443,32 %, 2411 MHz, 39, 22.74 W
1788702420.396761438,31 %, 2411 MHz, 39, 22.99 W
1788702420.498743121,31 %, 2411 MHz, 39, 22.99 W
1788702420.597707769,31 %, 2411 MHz, 39, 22.99 W
1788702420.697355952,31 %, 2411 MHz, 39, 22.99 W
1788702420.797607013,31 %, 2411 MHz, 39, 22.99 W
1788702420.899043177,31 %, 2411 MHz, 39, 22.98 W
1788702421.000079486,31 %, 2411 MHz, 39, 22.98 W
1788702421.100058212,31 %, 2411 MHz, 39, 22.98 W
1788702421.200768521,31 %, 2411 MHz, 39, 22.98 W
1788702421.300785934,31 %, 2411 MHz, 39, 22.98 W
1788702421.401315683,32 %, 2411 MHz, 39, 23.00 W
1788702421.502961079,32 %, 2411 MHz, 39, 23.00 W
1788702421.602175742,32 %, 2411 MHz, 39, 23.00 W
1788702421.703074914,32 %, 2411 MHz, 39, 23.00 W
1788702421.803372584,32 %, 2411 MHz, 39, 23.00 W
1788702421.903929901,32 %, 2411 MHz, 39, 23.02 W
1788702422.004673490,32 %, 2411 MHz, 39, 23.02 W
1788702422.103809993,32 %, 2411 MHz, 39, 23.02 W
1788702422.204445358,32 %, 2411 MHz, 39, 23.02 W
1788702422.304159556,32 %, 2411 MHz, 39, 23.02 W
1788702422.405136136,32 %, 2411 MHz, 39, 22.80 W
1788702422.507518970,32 %, 2411 MHz, 39, 22.80 W
1788702422.606817537,32 %, 2411 MHz, 39, 22.80 W
1788702422.707197174,32 %, 2411 MHz, 39, 22.80 W
1788702422.807935994,32 %, 2411 MHz, 39, 22.80 W
1788702422.908381375,32 %, 2411 MHz, 39, 23.10 W
1788702423.008031733,32 %, 2411 MHz, 39, 23.10 W
1788702423.108944553,32 %, 2411 MHz, 39, 23.10 W
1788702423.209006943,32 %, 2411 MHz, 39, 23.10 W
1788702423.310632898,32 %, 2411 MHz, 39, 23.10 W
1788702423.409654985,35 %, 2411 MHz, 40, 22.50 W
1788702423.509914798,35 %, 2411 MHz, 40, 22.50 W
1788702423.610748306,35 %, 2411 MHz, 40, 22.50 W
1788702423.711974053,35 %, 2411 MHz, 40, 22.50 W
1788702423.810934621,35 %, 2411 MHz, 40, 22.50 W
1788702423.911768609,35 %, 2411 MHz, 39, 22.58 W
1788702424.012649733,35 %, 2411 MHz, 39, 22.58 W
1788702424.112448362,35 %, 2411 MHz, 39, 22.58 W
1788702424.213121774,35 %, 2411 MHz, 39, 22.58 W
1788702424.313335107,35 %, 2411 MHz, 39, 22.58 W
1788702424.412959193,44 %, 2411 MHz, 39, 23.05 W
1788702424.514607900,44 %, 2411 MHz, 39, 23.05 W
1788702424.614817360,44 %, 2411 MHz, 39, 23.05 W
1788702424.714973013,44 %, 2411 MHz, 39, 23.05 W
1788702424.815709641,44 %, 2411 MHz, 39, 23.05 W
1788702424.916303886,44 %, 2411 MHz, 46, 29.36 W
1788702425.015975540,44 %, 2411 MHz, 46, 29.36 W
1788702425.116151512,44 %, 2411 MHz, 46, 29.36 W
1788702425.217023580,44 %, 2411 MHz, 46, 29.36 W
1788702425.317317264,44 %, 2411 MHz, 46, 29.36 W
1788702425.417811604,3 %, 2405 MHz, 39, 27.24 W
1788702425.517843001,3 %, 2405 MHz, 39, 27.24 W
1788702425.618756973,3 %, 2405 MHz, 39, 27.24 W
1788702425.718217587,3 %, 2405 MHz, 39, 27.24 W
1788702425.819152166,3 %, 2405 MHz, 39, 27.24 W
