1788685183.494319512,0 %, 208 MHz, 43, 4.95 W
1788685183.595773123,0 %, 208 MHz, 43, 4.95 W
1788685183.696316046,0 %, 208 MHz, 43, 4.95 W
1788685183.797169241,0 %, 208 MHz, 43, 4.95 W
1788685183.898462804,0 %, 208 MHz, 43, 4.95 W
1788685183.999309055,0 %, 208 MHz, 43, 4.95 W
1788685184.100280794,0 %, 2398 MHz, 43, 6.72 W
1788685184.200796469,0 %, 2398 MHz, 43, 6.72 W
1788685184.301305537,0 %, 2398 MHz, 43, 6.72 W
1788685184.403301291,0 %, 2398 MHz, 43, 6.72 W
1788685184.501846471,0 %, 2398 MHz, 43, 6.72 W
1788685184.602683682,0 %, 2411 MHz, 43, 10.73 W
1788685184.703227709,0 %, 2411 MHz, 43, 10.73 W
1788685184.804111304,0 %, 2411 MHz, 43, 10.73 W
1788685184.905065859,0 %, 2411 MHz, 43, 10.73 W
1788685185.005584847,0 %, 2411 MHz, 43, 10.73 W
1788685185.106770426,0 %, 2411 MHz, 43, 11.98 W
1788685185.206837397,0 %, 2411 MHz, 43, 11.98 W
1788685185.307440816,0 %, 2411 MHz, 43, 11.98 W
1788685185.408311995,0 %, 2411 MHz, 43, 11.98 W
1788685185.508049975,0 %, 2411 MHz, 43, 11.98 W
1788685185.609722946,0 %, 2411 MHz, 43, 11.87 W
1788685185.710535597,0 %, 2411 MHz, 43, 11.87 W
1788685185.810747128,0 %, 2411 MHz, 43, 11.87 W
1788685185.911315523,0 %, 2411 MHz, 43, 11.87 W
1788685186.012862430,0 %, 2411 MHz, 43, 11.87 W
1788685186.112917034,0 %, 2411 MHz, 43, 11.83 W
1788685186.213672165,0 %, 2411 MHz, 43, 11.83 W
1788685186.314237776,0 %, 2411 MHz, 43, 11.83 W
1788685186.415118796,0 %, 2411 MHz, 43, 11.83 W
1788685186.514817943,0 %, 2411 MHz, 43, 11.83 W
1788685186.616338546,0 %, 2411 MHz, 43, 12.07 W
1788685186.715893630,0 %, 2411 MHz, 43, 12.07 W
1788685186.817014521,0 %, 2411 MHz, 43, 12.07 W
1788685186.918364340,0 %, 2411 MHz, 43, 12.07 W
1788685187.017941440,0 %, 2411 MHz, 43, 12.07 W
1788685187.118021307,0 %, 2411 MHz, 43, 12.14 W
1788685187.218710422,0 %, 2411 MHz, 43, 12.14 W
1788685187.319192706,0 %, 2411 MHz, 43, 12.14 W
1788685187.419938557,0 %, 2411 MHz, 43, 12.14 W
1788685187.519954217,0 %, 2411 MHz, 43, 12.14 W
1788685187.620607668,0 %, 2411 MHz, 43, 11.80 W
1788685187.721704143,0 %, 2411 MHz, 43, 11.80 W
1788685187.821968587,0 %, 2411 MHz, 43, 11.80 W
1788685187.922823062,0 %, 2411 MHz, 43, 11.80 W
1788685188.023549697,0 %, 2411 MHz, 43, 11.80 W
1788685188.125285676,0 %, 2411 MHz, 43, 11.72 W
1788685188.225809944,0 %, 2411 MHz, 43, 11.72 W
1788685188.326025139,0 %, 2411 MHz, 43, 11.72 W
1788685188.426820895,0 %, 2411 MHz, 43, 11.72 W
1788685188.526544858,0 %, 2411 MHz, 43, 11.72 W
1788685188.627983094,0 %, 2411 MHz, 43, 11.73 W
1788685188.728543041,0 %, 2411 MHz, 43, 11.73 W
1788685188.829466364,0 %, 2411 MHz, 43, 11.73 W
1788685188.930194648,0 %, 2411 MHz, 43, 11.73 W
1788685189.030979251,0 %, 2411 MHz, 43, 11.73 W
1788685189.131955870,0 %, 2411 MHz, 43, 11.75 W
1788685189.232626986,0 %, 2411 MHz, 43, 11.75 W
1788685189.333770517,0 %, 2411 MHz, 43, 11.75 W
1788685189.434091377,0 %, 2411 MHz, 43, 11.75 W
1788685189.534147325,0 %, 2411 MHz, 43, 11.74 W
1788685189.635338792,0 %, 2411 MHz, 43, 11.74 W
1788685189.736944291,0 %, 2411 MHz, 43, 11.74 W
1788685189.836956911,0 %, 2411 MHz, 43, 11.74 W
1788685189.937695482,0 %, 2411 MHz, 43, 11.74 W
1788685190.037883286,0 %, 2411 MHz, 43, 11.73 W
1788685190.138854961,0 %, 2411 MHz, 43, 11.73 W
1788685190.239304669,0 %, 2411 MHz, 43, 11.73 W
1788685190.340228392,0 %, 2411 MHz, 43, 11.73 W
1788685190.440915972,0 %, 2411 MHz, 43, 11.73 W
1788685190.541787599,0 %, 2411 MHz, 43, 11.73 W
