1788702438.786393756,0 %, 2411 MHz, 45, 12.57 W
1788702438.888063675,0 %, 2411 MHz, 45, 12.57 W
1788702438.987852951,0 %, 2411 MHz, 45, 12.57 W
1788702439.089308983,0 %, 2411 MHz, 45, 12.57 W
1788702439.190353909,0 %, 2411 MHz, 45, 12.57 W
1788702439.290368737,0 %, 2411 MHz, 45, 12.63 W
1788702439.391156976,0 %, 2411 MHz, 45, 12.63 W
1788702439.491368284,0 %, 2411 MHz, 45, 12.63 W
1788702439.591517752,0 %, 2411 MHz, 45, 12.63 W
1788702439.693054695,0 %, 2411 MHz, 45, 12.63 W
1788702439.793256245,0 %, 2411 MHz, 45, 12.64 W
1788702439.893884081,0 %, 2411 MHz, 45, 12.64 W
1788702439.994838608,0 %, 2411 MHz, 45, 12.64 W
1788702440.095074732,0 %, 2411 MHz, 45, 12.64 W
1788702440.195308505,0 %, 2411 MHz, 45, 12.64 W
1788702440.295288070,0 %, 2411 MHz, 45, 12.54 W
1788702440.395016259,0 %, 2411 MHz, 45, 12.54 W
1788702440.495644208,0 %, 2411 MHz, 45, 12.54 W
1788702440.596146237,0 %, 2411 MHz, 45, 12.54 W
1788702440.695984362,0 %, 2411 MHz, 45, 12.54 W
1788702440.796152135,0 %, 2411 MHz, 45, 12.50 W
1788702440.896336195,0 %, 2411 MHz, 45, 12.50 W
1788702440.996489552,0 %, 2411 MHz, 45, 12.50 W
1788702441.097079070,0 %, 2411 MHz, 45, 12.50 W
1788702441.197226699,0 %, 2411 MHz, 45, 12.50 W
1788702441.297210520,0 %, 2411 MHz, 45, 12.51 W
1788702441.396964484,0 %, 2411 MHz, 45, 12.51 W
1788702441.497549074,0 %, 2411 MHz, 45, 12.51 W
1788702441.598108656,0 %, 2411 MHz, 45, 12.51 W
1788702441.698180685,0 %, 2411 MHz, 44, 12.53 W
1788702441.798283146,0 %, 2411 MHz, 44, 12.53 W
1788702441.898751591,0 %, 2411 MHz, 44, 12.53 W
1788702441.998656452,0 %, 2411 MHz, 44, 12.53 W
1788702442.099076705,0 %, 2411 MHz, 44, 12.53 W
1788702442.199072238,0 %, 2411 MHz, 44, 12.53 W
1788702442.299229660,0 %, 2411 MHz, 44, 12.53 W
1788702442.399419513,0 %, 2411 MHz, 44, 12.53 W
1788702442.499587894,0 %, 2411 MHz, 44, 12.53 W
1788702442.599906084,0 %, 2411 MHz, 44, 12.53 W
1788702442.700198177,2 %, 2411 MHz, 44, 12.52 W
1788702442.800191806,2 %, 2411 MHz, 44, 12.52 W
1788702442.900831452,2 %, 2411 MHz, 44, 12.52 W
1788702443.000644105,2 %, 2411 MHz, 44, 12.52 W
1788702443.102248056,2 %, 2411 MHz, 44, 12.52 W
1788702443.201147988,2 %, 2411 MHz, 45, 12.90 W
1788702443.301283841,2 %, 2411 MHz, 45, 12.90 W
1788702443.401590671,2 %, 2411 MHz, 45, 12.90 W
1788702443.501559484,2 %, 2411 MHz, 45, 12.90 W
1788702443.601988026,2 %, 2411 MHz, 45, 12.90 W
1788702443.701935703,0 %, 2411 MHz, 44, 13.22 W
1788702443.801342483,0 %, 2411 MHz, 44, 13.22 W
1788702443.901626864,0 %, 2411 MHz, 44, 13.22 W
1788702444.001720494,0 %, 2411 MHz, 44, 13.22 W
1788702444.101721675,0 %, 2411 MHz, 44, 13.22 W
1788702444.203823467,0 %, 2411 MHz, 46, 15.03 W
1788702444.303075272,0 %, 2411 MHz, 46, 15.03 W
1788702444.403066181,0 %, 2411 MHz, 46, 15.03 W
1788702444.503577395,0 %, 2411 MHz, 46, 15.03 W
1788702444.603684176,0 %, 2411 MHz, 46, 15.03 W
1788702444.703880894,11 %, 2405 MHz, 46, 22.32 W
1788702444.804472988,11 %, 2405 MHz, 46, 22.32 W
1788702444.904860234,11 %, 2405 MHz, 46, 22.32 W
1788702445.005025720,11 %, 2405 MHz, 46, 22.32 W
1788702445.106081655,11 %, 2405 MHz, 46, 22.32 W
1788702445.205762052,11 %, 2405 MHz, 50, 38.43 W
1788702445.305790433,11 %, 2405 MHz, 50, 38.43 W
1788702445.405805087,11 %, 2405 MHz, 50, 38.43 W
1788702445.505991628,11 %, 2405 MHz, 50, 38.43 W
1788702445.606383450,11 %, 2405 MHz, 50, 38.43 W
1788702445.706368600,25 %, 2411 MHz, 45, 33.00 W
1788702445.806703174,25 %, 2411 MHz, 45, 33.00 W
1788702445.906881332,25 %, 2411 MHz, 45, 33.00 W
1788702446.007069249,25 %, 2411 MHz, 45, 33.00 W
1788702446.107985312,25 %, 2411 MHz, 45, 33.00 W
1788702446.207517085,25 %, 2405 MHz, 47, 19.66 W
1788702446.308247788,25 %, 2405 MHz, 47, 19.66 W
1788702446.408423866,25 %, 2405 MHz, 47, 19.66 W
1788702446.508994824,25 %, 2405 MHz, 47, 19.66 W
1788702446.609038022,25 %, 2405 MHz, 47, 19.66 W
1788702446.709779781,77 %, 2405 MHz, 48, 26.31 W
1788702446.809857234,77 %, 2405 MHz, 48, 26.31 W
1788702446.909362015,77 %, 2405 MHz, 48, 26.31 W
1788702447.009993870,77 %, 2405 MHz, 48, 26.31 W
1788702447.110903853,77 %, 2405 MHz, 48, 26.31 W
1788702447.210996491,77 %, 2405 MHz, 48, 32.99 W
1788702447.310939209,77 %, 2405 MHz, 48, 32.99 W
1788702447.411639927,77 %, 2405 MHz, 48, 32.99 W
1788702447.511609125,77 %, 2405 MHz, 48, 32.99 W
1788702447.611186050,77 %, 2405 MHz, 48, 32.99 W
1788702447.711585937,77 %, 2405 MHz, 48, 33.21 W
1788702447.812970465,77 %, 2405 MHz, 48, 33.21 W
1788702447.913307967,77 %, 2405 MHz, 48, 33.21 W
1788702448.013865182,77 %, 2405 MHz, 48, 33.21 W
1788702448.114192636,77 %, 2405 MHz, 48, 33.21 W
1788702448.214094330,77 %, 2405 MHz, 48, 33.32 W
1788702448.312951270,77 %, 2405 MHz, 48, 33.32 W
1788702448.413404612,77 %, 2405 MHz, 48, 33.32 W
1788702448.513866675,77 %, 2405 MHz, 48, 33.32 W
1788702448.615587060,77 %, 2405 MHz, 48, 33.32 W
1788702448.715952114,77 %, 2405 MHz, 48, 33.13 W
1788702448.816177841,77 %, 2405 MHz, 48, 33.13 W
1788702448.915424845,77 %, 2405 MHz, 48, 33.13 W
1788702449.016639565,77 %, 2405 MHz, 48, 33.13 W
1788702449.117043740,77 %, 2405 MHz, 48, 33.13 W
1788702449.217378170,77 %, 2405 MHz, 48, 33.13 W
1788702449.317957657,77 %, 2405 MHz, 48, 33.13 W
1788702449.417895479,77 %, 2405 MHz, 48, 33.13 W
1788702449.517733269,77 %, 2405 MHz, 48, 33.13 W
1788702449.618338132,77 %, 2405 MHz, 48, 33.13 W
1788702449.718716387,76 %, 2405 MHz, 48, 33.00 W
1788702449.818798689,76 %, 2405 MHz, 48, 33.00 W
1788702449.919313136,76 %, 2405 MHz, 48, 33.00 W
1788702450.019649567,76 %, 2405 MHz, 48, 33.00 W
1788702450.119116540,76 %, 2405 MHz, 48, 33.00 W
1788702450.219747499,76 %, 2405 MHz, 49, 33.11 W
1788702450.320478826,76 %, 2405 MHz, 49, 33.11 W
1788702450.420426569,76 %, 2405 MHz, 49, 33.11 W
1788702450.521164312,76 %, 2405 MHz, 49, 33.11 W
1788702450.621359143,76 %, 2405 MHz, 49, 33.11 W
1788702450.721703477,78 %, 2405 MHz, 49, 33.12 W
1788702450.821083747,78 %, 2405 MHz, 49, 33.12 W
1788702450.921294321,78 %, 2405 MHz, 49, 33.12 W
1788702451.022202225,78 %, 2405 MHz, 49, 33.12 W
1788702451.122226367,78 %, 2405 MHz, 49, 33.12 W
1788702451.223029759,78 %, 2405 MHz, 49, 33.31 W
1788702451.322858157,78 %, 2405 MHz, 49, 33.31 W
1788702451.422282442,78 %, 2405 MHz, 49, 33.31 W
1788702451.523140234,78 %, 2405 MHz, 49, 33.31 W
1788702451.623575977,78 %, 2405 MHz, 49, 33.31 W
1788702451.724454377,75 %, 2405 MHz, 49, 33.13 W
1788702451.824084983,75 %, 2405 MHz, 49, 33.13 W
1788702451.923812309,75 %, 2405 MHz, 49, 33.13 W
1788702452.024412196,75 %, 2405 MHz, 49, 33.13 W
1788702452.125152692,75 %, 2405 MHz, 49, 33.13 W
1788702452.225653283,75 %, 2405 MHz, 49, 32.97 W
1788702452.325672562,75 %, 2405 MHz, 49, 32.97 W
1788702452.425849936,75 %, 2405 MHz, 49, 32.97 W
1788702452.525468846,75 %, 2405 MHz, 49, 32.97 W
1788702452.626165550,75 %, 2405 MHz, 49, 32.97 W
1788702452.725900556,77 %, 2405 MHz, 49, 32.75 W
1788702452.825909579,77 %, 2405 MHz, 49, 32.75 W
1788702452.926729579,77 %, 2405 MHz, 49, 32.75 W
1788702453.026223176,77 %, 2405 MHz, 49, 32.75 W
1788702453.126615544,77 %, 2405 MHz, 49, 32.75 W
1788702453.226938711,77 %, 2405 MHz, 51, 33.23 W
1788702453.326931093,77 %, 2405 MHz, 51, 33.23 W
1788702453.427360613,77 %, 2405 MHz, 51, 33.23 W
1788702453.527545012,77 %, 2405 MHz, 51, 33.23 W
1788702453.627504418,77 %, 2405 MHz, 51, 33.23 W
1788702453.727896498,43 %, 2398 MHz, 49, 38.90 W
1788702453.828076673,43 %, 2398 MHz, 49, 38.90 W
1788702453.927405742,43 %, 2398 MHz, 49, 38.90 W
1788702454.028083726,43 %, 2398 MHz, 49, 38.90 W
1788702454.127370828,43 %, 2398 MHz, 49, 38.90 W
1788702454.228736973,43 %, 2411 MHz, 47, 29.70 W
1788702454.328876524,43 %, 2411 MHz, 47, 29.70 W
1788702454.429834252,43 %, 2411 MHz, 47, 29.70 W
1788702454.530082188,43 %, 2411 MHz, 47, 29.70 W
1788702454.630301579,43 %, 2411 MHz, 47, 29.70 W
1788702454.731387355,74 %, 2405 MHz, 49, 19.65 W
1788702454.831377034,74 %, 2405 MHz, 49, 19.65 W
1788702454.931344249,74 %, 2405 MHz, 49, 19.65 W
1788702455.031589832,74 %, 2405 MHz, 49, 19.65 W
1788702455.132113976,74 %, 2405 MHz, 49, 19.65 W
1788702455.231841767,74 %, 2405 MHz, 49, 28.43 W
1788702455.333047128,74 %, 2405 MHz, 49, 28.43 W
1788702455.433341847,74 %, 2405 MHz, 49, 28.43 W
1788702455.533443862,74 %, 2405 MHz, 49, 28.43 W
1788702455.633840902,74 %, 2405 MHz, 49, 28.43 W
1788702455.734107301,77 %, 2405 MHz, 49, 33.15 W
1788702455.834278052,77 %, 2405 MHz, 49, 33.15 W
1788702455.933817779,77 %, 2405 MHz, 49, 33.15 W
1788702456.034571171,77 %, 2405 MHz, 49, 33.15 W
1788702456.135065267,77 %, 2405 MHz, 49, 33.15 W
1788702456.235045122,77 %, 2405 MHz, 50, 33.15 W
1788702456.335769826,77 %, 2405 MHz, 50, 33.15 W
1788702456.436141554,77 %, 2405 MHz, 50, 33.15 W
1788702456.536531666,77 %, 2405 MHz, 50, 33.15 W
1788702456.636102224,77 %, 2405 MHz, 50, 33.15 W
1788702456.736310656,77 %, 2405 MHz, 50, 33.28 W
1788702456.837119472,77 %, 2405 MHz, 50, 33.28 W
1788702456.937419408,77 %, 2405 MHz, 50, 33.28 W
1788702457.038260336,77 %, 2405 MHz, 50, 33.28 W
1788702457.138543920,77 %, 2405 MHz, 50, 33.28 W
1788702457.238117471,77 %, 2405 MHz, 50, 33.35 W
1788702457.337659869,77 %, 2405 MHz, 50, 33.35 W
1788702457.438452974,77 %, 2405 MHz, 50, 33.35 W
1788702457.539133982,77 %, 2405 MHz, 50, 33.35 W
1788702457.639566542,77 %, 2405 MHz, 50, 33.35 W
1788702457.739778494,75 %, 2405 MHz, 50, 33.19 W
1788702457.839127020,75 %, 2405 MHz, 50, 33.19 W
1788702457.940111549,75 %, 2405 MHz, 50, 33.19 W
1788702458.040655533,75 %, 2405 MHz, 50, 33.19 W
1788702458.141009917,75 %, 2405 MHz, 50, 33.19 W
1788702458.241775518,75 %, 2405 MHz, 50, 33.08 W
1788702458.341132508,75 %, 2405 MHz, 50, 33.08 W
1788702458.441528764,75 %, 2405 MHz, 50, 33.08 W
1788702458.542312125,75 %, 2405 MHz, 50, 33.08 W
1788702458.642818461,75 %, 2405 MHz, 50, 33.08 W
1788702458.742792637,77 %, 2405 MHz, 50, 33.05 W
1788702458.843099149,77 %, 2405 MHz, 50, 33.05 W
1788702458.943301437,77 %, 2405 MHz, 50, 33.05 W
1788702459.042522155,77 %, 2405 MHz, 50, 33.05 W
1788702459.143708540,77 %, 2405 MHz, 50, 33.05 W
1788702459.243807468,77 %, 2405 MHz, 50, 33.17 W
1788702459.344585149,77 %, 2405 MHz, 50, 33.17 W
1788702459.444654253,77 %, 2405 MHz, 50, 33.17 W
1788702459.543668475,77 %, 2405 MHz, 50, 33.17 W
1788702459.645086189,77 %, 2405 MHz, 50, 33.17 W
1788702459.745408813,76 %, 2405 MHz, 50, 33.22 W
1788702459.845734717,76 %, 2405 MHz, 50, 33.22 W
1788702459.945872397,76 %, 2405 MHz, 50, 33.22 W
1788702460.045537980,76 %, 2405 MHz, 50, 33.22 W
1788702460.146057516,76 %, 2405 MHz, 50, 33.22 W
1788702460.246814381,76 %, 2405 MHz, 50, 33.18 W
1788702460.346744637,76 %, 2405 MHz, 50, 33.18 W
1788702460.446927005,76 %, 2405 MHz, 50, 33.18 W
1788702460.546593820,76 %, 2405 MHz, 50, 33.18 W
1788702460.646856828,76 %, 2405 MHz, 50, 33.18 W
1788702460.748001822,78 %, 2405 MHz, 50, 33.20 W
1788702460.848415886,78 %, 2405 MHz, 50, 33.20 W
1788702460.948589982,78 %, 2405 MHz, 50, 33.20 W
1788702461.048905615,78 %, 2405 MHz, 50, 33.20 W
1788702461.147715821,78 %, 2405 MHz, 50, 33.20 W
1788702461.248215566,78 %, 2405 MHz, 49, 31.68 W
1788702461.348093549,78 %, 2405 MHz, 49, 31.68 W
1788702461.449315457,78 %, 2405 MHz, 49, 31.68 W
1788702461.549677585,78 %, 2405 MHz, 49, 31.68 W
1788702461.650445921,78 %, 2405 MHz, 49, 31.68 W
