1788686803.114659345,0 %, 1170 MHz, 53, 6.86 W
1788686803.215129780,0 %, 1170 MHz, 53, 6.86 W
1788686803.315132183,0 %, 1170 MHz, 52, 6.94 W
1788686803.416064394,0 %, 1170 MHz, 52, 6.94 W
1788686803.515136109,0 %, 1170 MHz, 52, 6.94 W
1788686803.615465312,0 %, 1170 MHz, 52, 6.94 W
1788686803.715901779,0 %, 1170 MHz, 52, 6.94 W
1788686803.816175014,0 %, 1170 MHz, 52, 7.02 W
1788686803.916213625,0 %, 1170 MHz, 52, 7.02 W
1788686804.016267819,0 %, 1170 MHz, 52, 7.02 W
1788686804.116391438,0 %, 1170 MHz, 52, 7.02 W
1788686804.217228625,0 %, 1170 MHz, 52, 7.02 W
1788686804.317387204,0 %, 1170 MHz, 52, 6.96 W
1788686804.417633127,0 %, 1170 MHz, 52, 6.96 W
1788686804.517839306,0 %, 1170 MHz, 52, 6.96 W
1788686804.618315869,0 %, 1170 MHz, 52, 6.96 W
1788686804.717826240,0 %, 1170 MHz, 52, 6.96 W
1788686804.817984770,0 %, 1176 MHz, 52, 6.90 W
1788686804.918706533,0 %, 1176 MHz, 52, 6.90 W
1788686805.019064648,0 %, 1176 MHz, 52, 6.90 W
1788686805.118781099,0 %, 1176 MHz, 52, 6.90 W
1788686805.219450798,0 %, 1176 MHz, 52, 6.90 W
1788686805.319127553,0 %, 1170 MHz, 52, 6.89 W
1788686805.419613284,0 %, 1170 MHz, 52, 6.89 W
1788686805.520256919,0 %, 1170 MHz, 52, 6.89 W
1788686805.620070761,0 %, 1170 MHz, 52, 6.89 W
1788686805.720102524,0 %, 1170 MHz, 52, 6.89 W
1788686805.821070655,0 %, 1170 MHz, 52, 6.94 W
1788686805.920682594,0 %, 1170 MHz, 52, 6.94 W
1788686806.021135349,0 %, 1170 MHz, 52, 6.94 W
1788686806.120875544,0 %, 1170 MHz, 52, 6.94 W
1788686806.221506284,0 %, 1170 MHz, 52, 6.94 W
1788686806.321646063,17 %, 1170 MHz, 52, 7.09 W
1788686806.421937745,17 %, 1170 MHz, 52, 7.09 W
1788686806.521918212,17 %, 1170 MHz, 52, 7.09 W
1788686806.622371335,17 %, 1170 MHz, 52, 7.09 W
1788686806.722347466,17 %, 1170 MHz, 52, 7.09 W
1788686806.822850253,17 %, 1170 MHz, 52, 7.03 W
1788686806.922599968,17 %, 1170 MHz, 52, 7.03 W
1788686807.023644867,17 %, 1170 MHz, 52, 7.03 W
1788686807.122696918,17 %, 1170 MHz, 52, 7.03 W
1788686807.223676377,17 %, 1170 MHz, 52, 7.03 W
1788686807.323619851,0 %, 1170 MHz, 51, 6.86 W
1788686807.423842911,0 %, 1170 MHz, 51, 6.86 W
1788686807.524032961,0 %, 1170 MHz, 51, 6.86 W
1788686807.623817892,0 %, 1170 MHz, 51, 6.86 W
1788686807.724450599,0 %, 1170 MHz, 51, 6.86 W
1788686807.824548522,0 %, 1170 MHz, 51, 6.88 W
1788686807.924783245,0 %, 1170 MHz, 51, 6.88 W
1788686808.025010448,0 %, 1170 MHz, 51, 6.88 W
1788686808.124567299,0 %, 1170 MHz, 51, 6.88 W
1788686808.225284646,0 %, 1170 MHz, 51, 6.88 W
1788686808.326154633,0 %, 1170 MHz, 51, 6.89 W
1788686808.426265787,0 %, 1170 MHz, 51, 6.89 W
1788686808.526457998,0 %, 1170 MHz, 51, 6.89 W
1788686808.626590769,0 %, 1170 MHz, 51, 6.89 W
1788686808.726828452,0 %, 1170 MHz, 51, 6.89 W
1788686808.827033303,0 %, 1170 MHz, 51, 6.89 W
1788686808.927292890,0 %, 1170 MHz, 51, 6.89 W
1788686809.027444349,0 %, 1170 MHz, 51, 6.89 W
1788686809.127983984,0 %, 1170 MHz, 51, 6.89 W
1788686809.227867203,0 %, 1170 MHz, 51, 6.89 W
1788686809.328060102,0 %, 1170 MHz, 51, 6.89 W
1788686809.428280745,0 %, 1170 MHz, 51, 6.89 W
1788686809.528520380,0 %, 1170 MHz, 51, 6.89 W
1788686809.628771759,0 %, 1170 MHz, 51, 6.89 W
1788686809.728872145,0 %, 1170 MHz, 51, 6.89 W
1788686809.829089828,0 %, 1170 MHz, 51, 6.87 W
1788686809.929559431,0 %, 1170 MHz, 51, 6.87 W
1788686810.029218298,0 %, 1170 MHz, 51, 6.87 W
1788686810.129076861,0 %, 1170 MHz, 51, 6.87 W
1788686810.229686560,0 %, 1170 MHz, 51, 6.87 W
1788686810.330208579,0 %, 1170 MHz, 51, 6.88 W
1788686810.429819510,0 %, 1170 MHz, 51, 6.88 W
1788686810.530182329,0 %, 1170 MHz, 51, 6.88 W
1788686810.629977148,0 %, 1170 MHz, 51, 6.88 W
1788686810.730767166,0 %, 1170 MHz, 51, 6.88 W
1788686810.830786081,0 %, 1170 MHz, 51, 6.88 W
1788686810.931211220,0 %, 1170 MHz, 51, 6.88 W
1788686811.030996183,0 %, 1170 MHz, 51, 6.88 W
1788686811.131621610,0 %, 1170 MHz, 51, 6.88 W
1788686811.231927804,0 %, 1170 MHz, 51, 6.88 W
1788686811.332507903,0 %, 1170 MHz, 51, 6.87 W
1788686811.432074146,0 %, 1170 MHz, 51, 6.87 W
1788686811.532279957,0 %, 1170 MHz, 51, 6.87 W
1788686811.632555432,0 %, 1170 MHz, 51, 6.87 W
1788686811.732703691,0 %, 1170 MHz, 51, 6.87 W
1788686811.832734445,0 %, 1170 MHz, 51, 6.86 W
1788686811.933549264,0 %, 1170 MHz, 51, 6.86 W
1788686812.033318355,0 %, 1170 MHz, 51, 6.86 W
1788686812.133697638,0 %, 1170 MHz, 51, 6.86 W
1788686812.233498505,0 %, 1170 MHz, 51, 6.86 W
1788686812.334128268,0 %, 1170 MHz, 51, 6.89 W
1788686812.434400174,0 %, 1170 MHz, 51, 6.89 W
1788686812.534586577,0 %, 1170 MHz, 51, 6.89 W
1788686812.634791380,0 %, 1170 MHz, 51, 6.89 W
1788686812.735030151,0 %, 1170 MHz, 51, 6.89 W
1788686812.835321178,0 %, 1170 MHz, 51, 6.91 W
1788686812.935529693,0 %, 1170 MHz, 51, 6.91 W
1788686813.035839744,0 %, 1170 MHz, 51, 6.91 W
1788686813.135900563,0 %, 1170 MHz, 51, 6.91 W
1788686813.235790325,0 %, 1170 MHz, 51, 6.91 W
1788686813.336143128,0 %, 1170 MHz, 51, 6.90 W
1788686813.436929163,0 %, 1170 MHz, 51, 6.90 W
1788686813.536222350,0 %, 1170 MHz, 51, 6.90 W
1788686813.636775009,0 %, 1170 MHz, 51, 6.90 W
1788686813.736326036,0 %, 1170 MHz, 51, 6.90 W
1788686813.836680534,0 %, 1170 MHz, 51, 6.90 W
1788686813.936831945,0 %, 1170 MHz, 51, 6.90 W
1788686814.036623596,0 %, 1170 MHz, 51, 6.90 W
1788686814.137368095,0 %, 1170 MHz, 51, 6.90 W
1788686814.237748578,0 %, 1170 MHz, 51, 6.90 W
1788686814.338307684,0 %, 1176 MHz, 51, 6.89 W
1788686814.437903223,0 %, 1176 MHz, 51, 6.89 W
1788686814.538239434,0 %, 1176 MHz, 51, 6.89 W
1788686814.639087933,0 %, 1176 MHz, 51, 6.89 W
