1788686803.111928715,0 %, 1690 MHz, 46, 7.17 W
1788686803.212763770,0 %, 1690 MHz, 46, 7.17 W
1788686803.312955560,0 %, 1690 MHz, 46, 7.18 W
1788686803.413419431,0 %, 1690 MHz, 46, 7.18 W
1788686803.513439429,0 %, 1690 MHz, 46, 7.18 W
1788686803.613669875,0 %, 1690 MHz, 46, 7.18 W
1788686803.713470657,0 %, 1690 MHz, 46, 7.18 W
1788686803.813874319,0 %, 1690 MHz, 46, 7.18 W
1788686803.913769709,0 %, 1690 MHz, 46, 7.18 W
1788686804.015022172,0 %, 1690 MHz, 46, 7.18 W
1788686804.114880506,0 %, 1690 MHz, 46, 7.18 W
1788686804.215592569,0 %, 1690 MHz, 46, 7.18 W
1788686804.315656039,1 %, 1690 MHz, 46, 7.17 W
1788686804.415939157,1 %, 1690 MHz, 46, 7.17 W
1788686804.516157395,1 %, 1690 MHz, 46, 7.17 W
1788686804.616190577,1 %, 1690 MHz, 46, 7.17 W
1788686804.717267552,1 %, 1690 MHz, 46, 7.17 W
1788686804.817316638,1 %, 1690 MHz, 46, 7.15 W
1788686804.918093309,1 %, 1690 MHz, 46, 7.15 W
1788686805.018129467,1 %, 1690 MHz, 46, 7.15 W
1788686805.117874473,1 %, 1690 MHz, 46, 7.15 W
1788686805.217416726,1 %, 1690 MHz, 46, 7.15 W
1788686805.318056325,0 %, 1690 MHz, 46, 7.10 W
1788686805.419112564,0 %, 1690 MHz, 46, 7.10 W
1788686805.519255346,0 %, 1690 MHz, 46, 7.10 W
1788686805.619191888,0 %, 1690 MHz, 46, 7.10 W
1788686805.719152782,0 %, 1690 MHz, 46, 7.10 W
1788686805.819315980,0 %, 1690 MHz, 46, 7.18 W
1788686805.919210058,0 %, 1690 MHz, 46, 7.18 W
1788686806.019641288,0 %, 1690 MHz, 46, 7.18 W
1788686806.119808407,0 %, 1690 MHz, 46, 7.18 W
1788686806.220254293,0 %, 1690 MHz, 46, 7.18 W
1788686806.320296355,0 %, 1690 MHz, 46, 7.18 W
1788686806.421105506,0 %, 1690 MHz, 46, 7.18 W
1788686806.521168320,0 %, 1690 MHz, 46, 7.18 W
1788686806.621474014,0 %, 1690 MHz, 46, 7.18 W
1788686806.721583277,0 %, 1690 MHz, 46, 7.18 W
1788686806.821898379,0 %, 1690 MHz, 46, 7.14 W
1788686806.922069625,0 %, 1690 MHz, 46, 7.14 W
1788686807.022288567,0 %, 1690 MHz, 46, 7.14 W
1788686807.122519990,0 %, 1690 MHz, 46, 7.14 W
1788686807.222662276,0 %, 1690 MHz, 46, 7.14 W
1788686807.322866994,1 %, 1690 MHz, 46, 7.15 W
1788686807.423082320,1 %, 1690 MHz, 46, 7.15 W
1788686807.523218462,1 %, 1690 MHz, 46, 7.15 W
1788686807.623505421,1 %, 1690 MHz, 46, 7.15 W
1788686807.723740539,1 %, 1690 MHz, 46, 7.15 W
1788686807.823911449,1 %, 1690 MHz, 46, 7.13 W
1788686807.923900743,1 %, 1690 MHz, 46, 7.13 W
1788686808.024203446,1 %, 1690 MHz, 46, 7.13 W
1788686808.124613508,1 %, 1690 MHz, 46, 7.13 W
1788686808.224833954,1 %, 1690 MHz, 46, 7.13 W
1788686808.325095969,1 %, 1690 MHz, 46, 7.13 W
1788686808.425220031,1 %, 1690 MHz, 46, 7.13 W
1788686808.525467181,1 %, 1690 MHz, 46, 7.13 W
1788686808.625607019,1 %, 1690 MHz, 46, 7.13 W
1788686808.725937050,1 %, 1690 MHz, 46, 7.13 W
1788686808.826235832,1 %, 1690 MHz, 46, 7.16 W
1788686808.926252166,1 %, 1690 MHz, 46, 7.16 W
1788686809.026571173,1 %, 1690 MHz, 46, 7.16 W
1788686809.126818579,1 %, 1690 MHz, 46, 7.16 W
1788686809.227010321,1 %, 1690 MHz, 46, 7.16 W
1788686809.327246032,1 %, 1690 MHz, 46, 7.20 W
1788686809.427417710,1 %, 1690 MHz, 46, 7.20 W
1788686809.527557996,1 %, 1690 MHz, 46, 7.20 W
1788686809.627826379,1 %, 1690 MHz, 46, 7.20 W
1788686809.728234089,1 %, 1690 MHz, 46, 7.20 W
1788686809.828333687,1 %, 1690 MHz, 46, 7.19 W
1788686809.928473174,1 %, 1690 MHz, 46, 7.19 W
1788686810.028568148,1 %, 1690 MHz, 46, 7.19 W
1788686810.128907026,1 %, 1690 MHz, 46, 7.19 W
1788686810.229118481,1 %, 1690 MHz, 46, 7.19 W
