1788702462.502411634,0 %, 2405 MHz, 43, 11.98 W
1788702462.603565164,0 %, 2405 MHz, 43, 11.98 W
1788702462.703789800,0 %, 2405 MHz, 43, 11.98 W
1788702462.803879956,0 %, 2405 MHz, 43, 11.98 W
1788702462.904620255,0 %, 2405 MHz, 43, 12.18 W
1788702463.004839483,0 %, 2405 MHz, 43, 12.18 W
1788702463.105985429,0 %, 2405 MHz, 43, 12.18 W
1788702463.205948385,0 %, 2405 MHz, 43, 12.18 W
1788702463.306229677,0 %, 2405 MHz, 43, 12.18 W
1788702463.406426184,6 %, 2411 MHz, 43, 12.22 W
1788702463.506243092,6 %, 2411 MHz, 43, 12.22 W
1788702463.606955855,6 %, 2411 MHz, 43, 12.22 W
1788702463.707051419,6 %, 2411 MHz, 43, 12.22 W
1788702463.807294359,6 %, 2411 MHz, 43, 12.22 W
1788702463.907390690,6 %, 2411 MHz, 43, 11.80 W
1788702464.008266973,6 %, 2411 MHz, 43, 11.80 W
1788702464.107350074,6 %, 2411 MHz, 43, 11.80 W
1788702464.208086885,6 %, 2411 MHz, 43, 11.80 W
1788702464.308791455,6 %, 2411 MHz, 43, 11.80 W
1788702464.408596203,15 %, 2411 MHz, 43, 11.79 W
1788702464.508354695,15 %, 2411 MHz, 43, 11.79 W
1788702464.609312369,15 %, 2411 MHz, 43, 11.79 W
1788702464.709609836,15 %, 2411 MHz, 43, 11.79 W
1788702464.809738440,15 %, 2411 MHz, 43, 11.79 W
1788702464.909954691,15 %, 2411 MHz, 43, 11.75 W
1788702465.010296878,15 %, 2411 MHz, 43, 11.75 W
1788702465.110186490,15 %, 2411 MHz, 43, 11.75 W
1788702465.210768868,15 %, 2411 MHz, 43, 11.75 W
1788702465.310753808,15 %, 2411 MHz, 43, 11.75 W
1788702465.410729052,0 %, 2411 MHz, 43, 11.67 W
1788702465.510380632,0 %, 2411 MHz, 43, 11.67 W
1788702465.611492849,0 %, 2411 MHz, 43, 11.67 W
1788702465.711871036,0 %, 2411 MHz, 43, 11.67 W
1788702465.811581464,0 %, 2411 MHz, 43, 11.67 W
1788702465.912046003,0 %, 2411 MHz, 43, 11.69 W
1788702466.012381726,0 %, 2411 MHz, 43, 11.69 W
1788702466.112520201,0 %, 2411 MHz, 43, 11.69 W
1788702466.212866931,0 %, 2411 MHz, 43, 11.69 W
1788702466.312936847,0 %, 2411 MHz, 43, 11.69 W
1788702466.412797050,0 %, 2411 MHz, 43, 11.68 W
1788702466.512633334,0 %, 2411 MHz, 43, 11.68 W
1788702466.613780031,0 %, 2411 MHz, 43, 11.68 W
1788702466.713780010,0 %, 2411 MHz, 43, 11.68 W
1788702466.814500084,0 %, 2411 MHz, 43, 11.68 W
1788702466.914720639,0 %, 2411 MHz, 43, 12.03 W
1788702467.014826794,0 %, 2411 MHz, 43, 12.03 W
1788702467.114942805,0 %, 2411 MHz, 43, 12.03 W
1788702467.214960096,0 %, 2411 MHz, 43, 12.03 W
1788702467.315101627,0 %, 2411 MHz, 43, 12.03 W
1788702467.415637749,0 %, 2411 MHz, 42, 12.03 W
1788702467.515391825,0 %, 2411 MHz, 42, 12.03 W
1788702467.616061370,0 %, 2411 MHz, 42, 12.03 W
1788702467.716310757,0 %, 2411 MHz, 42, 12.03 W
1788702467.816622752,0 %, 2411 MHz, 42, 12.03 W
1788702467.916714171,0 %, 2411 MHz, 42, 11.67 W
1788702468.016942005,0 %, 2411 MHz, 42, 11.67 W
1788702468.117052432,0 %, 2411 MHz, 42, 11.67 W
1788702468.217215546,0 %, 2411 MHz, 42, 11.67 W
1788702468.317673876,0 %, 2411 MHz, 42, 11.67 W
1788702468.417657663,0 %, 2411 MHz, 42, 11.67 W
1788702468.517367483,0 %, 2411 MHz, 42, 11.67 W
1788702468.618353828,0 %, 2411 MHz, 42, 11.67 W
1788702468.718369695,0 %, 2411 MHz, 42, 11.67 W
1788702468.818733321,0 %, 2411 MHz, 42, 11.67 W
1788702468.918690228,0 %, 2411 MHz, 42, 11.66 W
1788702469.018922334,0 %, 2411 MHz, 42, 11.66 W
1788702469.119032857,0 %, 2411 MHz, 42, 11.66 W
1788702469.219245571,0 %, 2411 MHz, 42, 11.66 W
1788702469.319400509,0 %, 2411 MHz, 42, 11.66 W
1788702469.419624695,0 %, 2411 MHz, 42, 11.65 W
1788702469.519128691,0 %, 2411 MHz, 42, 11.65 W
1788702469.620135804,0 %, 2411 MHz, 42, 11.65 W
1788702469.719653287,0 %, 2411 MHz, 42, 11.65 W
1788702469.820374288,0 %, 2411 MHz, 42, 11.65 W
1788702469.920749530,0 %, 2411 MHz, 42, 11.63 W
1788702470.020735957,0 %, 2411 MHz, 42, 11.63 W
1788702470.121055007,0 %, 2411 MHz, 42, 11.63 W
1788702470.221077529,0 %, 2411 MHz, 42, 11.63 W
1788702470.321286019,0 %, 2411 MHz, 42, 11.63 W
1788702470.421437197,0 %, 2411 MHz, 42, 11.62 W
1788702470.520713241,0 %, 2411 MHz, 42, 11.62 W
1788702470.621959937,0 %, 2411 MHz, 42, 11.62 W
1788702470.722171579,0 %, 2411 MHz, 42, 11.62 W
1788702470.822178710,0 %, 2411 MHz, 42, 11.62 W
1788702470.922382960,0 %, 2411 MHz, 42, 11.61 W
1788702471.022617369,0 %, 2411 MHz, 42, 11.61 W
1788702471.122394212,0 %, 2411 MHz, 42, 11.61 W
1788702471.223021469,0 %, 2411 MHz, 42, 11.61 W
1788702471.323337367,0 %, 2411 MHz, 42, 11.61 W
1788702471.423370193,0 %, 2411 MHz, 42, 11.61 W
1788702471.522896236,0 %, 2411 MHz, 42, 11.61 W
1788702471.623705621,0 %, 2411 MHz, 42, 11.61 W
1788702471.723864494,0 %, 2411 MHz, 42, 11.61 W
1788702471.824097992,0 %, 2411 MHz, 42, 11.61 W
1788702471.924334306,0 %, 2411 MHz, 42, 11.61 W
1788702472.024604732,0 %, 2411 MHz, 42, 11.61 W
1788702472.124813509,0 %, 2411 MHz, 42, 11.61 W
1788702472.224941791,0 %, 2411 MHz, 42, 11.61 W
1788702472.325080617,0 %, 2411 MHz, 42, 11.61 W
1788702472.425324914,0 %, 2411 MHz, 42, 11.60 W
1788702472.525124572,0 %, 2411 MHz, 42, 11.60 W
1788702472.625864597,0 %, 2411 MHz, 42, 11.60 W
1788702472.726538286,0 %, 2411 MHz, 42, 11.60 W
