1788702462.508009869,0 %, 2411 MHz, 47, 12.71 W
1788702462.610088611,0 %, 2411 MHz, 47, 12.71 W
1788702462.710944818,0 %, 2411 MHz, 47, 12.73 W
1788702462.811745206,0 %, 2411 MHz, 47, 12.73 W
1788702462.912717014,0 %, 2411 MHz, 47, 12.73 W
1788702463.013180469,0 %, 2411 MHz, 47, 12.73 W
1788702463.114147863,0 %, 2411 MHz, 47, 12.73 W
1788702463.214073095,0 %, 2411 MHz, 47, 12.74 W
1788702463.315212777,0 %, 2411 MHz, 47, 12.74 W
1788702463.417424527,0 %, 2411 MHz, 47, 12.74 W
1788702463.516432588,0 %, 2411 MHz, 47, 12.74 W
1788702463.618011696,0 %, 2411 MHz, 47, 12.74 W
1788702463.718418319,0 %, 2411 MHz, 47, 12.75 W
1788702463.820128164,0 %, 2411 MHz, 47, 12.75 W
1788702463.919933698,0 %, 2411 MHz, 47, 12.75 W
1788702464.020975812,0 %, 2411 MHz, 47, 12.75 W
1788702464.120681252,0 %, 2411 MHz, 47, 12.75 W
1788702464.220441556,0 %, 2411 MHz, 46, 12.76 W
1788702464.320356756,0 %, 2411 MHz, 46, 12.76 W
1788702464.420239172,0 %, 2411 MHz, 46, 12.76 W
1788702464.521803543,0 %, 2411 MHz, 46, 12.76 W
1788702464.622235768,0 %, 2411 MHz, 46, 12.76 W
1788702464.722876362,0 %, 2411 MHz, 46, 12.67 W
1788702464.823729451,0 %, 2411 MHz, 46, 12.67 W
1788702464.924104588,0 %, 2411 MHz, 46, 12.67 W
1788702465.024997694,0 %, 2411 MHz, 46, 12.67 W
1788702465.125888800,0 %, 2411 MHz, 46, 12.67 W
1788702465.226617346,0 %, 2411 MHz, 46, 12.64 W
1788702465.327924516,0 %, 2411 MHz, 46, 12.64 W
1788702465.428244853,0 %, 2411 MHz, 46, 12.64 W
1788702465.529049335,0 %, 2411 MHz, 46, 12.64 W
1788702465.629512312,0 %, 2411 MHz, 46, 12.64 W
1788702465.730381706,1 %, 2411 MHz, 46, 12.65 W
1788702465.830981420,1 %, 2411 MHz, 46, 12.65 W
1788702465.931854814,1 %, 2411 MHz, 46, 12.65 W
1788702466.032370143,1 %, 2411 MHz, 46, 12.65 W
1788702466.133210433,1 %, 2411 MHz, 46, 12.65 W
1788702466.234208835,1 %, 2411 MHz, 46, 12.63 W
1788702466.334582997,1 %, 2411 MHz, 46, 12.63 W
1788702466.436211096,1 %, 2411 MHz, 46, 12.63 W
1788702466.536102841,1 %, 2411 MHz, 46, 12.63 W
1788702466.637115035,1 %, 2411 MHz, 46, 12.63 W
1788702466.737990749,2 %, 2411 MHz, 46, 12.66 W
1788702466.838889263,2 %, 2411 MHz, 46, 12.66 W
1788702466.939492129,2 %, 2411 MHz, 46, 12.66 W
1788702467.040014002,2 %, 2411 MHz, 46, 12.66 W
1788702467.140428068,2 %, 2411 MHz, 46, 12.66 W
1788702467.241268118,2 %, 2411 MHz, 46, 12.94 W
1788702467.342242120,2 %, 2411 MHz, 46, 12.94 W
1788702467.442795962,2 %, 2411 MHz, 46, 12.94 W
1788702467.543752908,2 %, 2411 MHz, 46, 12.94 W
1788702467.644272606,2 %, 2411 MHz, 46, 12.94 W
1788702467.745545745,0 %, 2411 MHz, 46, 12.86 W
1788702467.846150787,0 %, 2411 MHz, 46, 12.86 W
1788702467.946533860,0 %, 2411 MHz, 46, 12.86 W
1788702468.047128630,0 %, 2411 MHz, 46, 12.86 W
1788702468.148001752,0 %, 2411 MHz, 46, 12.86 W
1788702468.248938475,0 %, 2411 MHz, 46, 12.56 W
1788702468.349525869,0 %, 2411 MHz, 46, 12.56 W
1788702468.450440255,0 %, 2411 MHz, 46, 12.56 W
1788702468.551025921,0 %, 2411 MHz, 46, 12.56 W
1788702468.651861043,0 %, 2411 MHz, 46, 12.56 W
1788702468.752459365,0 %, 2411 MHz, 46, 12.55 W
1788702468.853273112,0 %, 2411 MHz, 46, 12.55 W
1788702468.954261306,0 %, 2411 MHz, 46, 12.55 W
1788702469.054797740,0 %, 2411 MHz, 46, 12.55 W
1788702469.155776159,0 %, 2411 MHz, 46, 12.55 W
1788702469.256273649,0 %, 2411 MHz, 46, 12.57 W
1788702469.357203235,0 %, 2411 MHz, 46, 12.57 W
1788702469.457773397,0 %, 2411 MHz, 46, 12.57 W
1788702469.558845320,0 %, 2411 MHz, 46, 12.57 W
1788702469.659725051,0 %, 2411 MHz, 46, 12.57 W
1788702469.759833740,0 %, 2411 MHz, 46, 12.59 W
1788702469.860443438,0 %, 2411 MHz, 46, 12.59 W
1788702469.961287313,0 %, 2411 MHz, 46, 12.59 W
1788702470.062257299,0 %, 2411 MHz, 46, 12.59 W
1788702470.162828965,0 %, 2411 MHz, 46, 12.59 W
1788702470.263779480,0 %, 2411 MHz, 46, 12.59 W
1788702470.364320986,0 %, 2411 MHz, 46, 12.59 W
1788702470.465224925,0 %, 2411 MHz, 46, 12.59 W
1788702470.565806351,0 %, 2411 MHz, 46, 12.59 W
1788702470.666597586,0 %, 2411 MHz, 46, 12.59 W
1788702470.767620693,0 %, 2411 MHz, 46, 12.58 W
1788702470.868191303,0 %, 2411 MHz, 46, 12.58 W
1788702470.969095482,0 %, 2411 MHz, 46, 12.58 W
1788702471.069682220,0 %, 2411 MHz, 46, 12.58 W
1788702471.170588671,0 %, 2411 MHz, 46, 12.58 W
1788702471.271525970,0 %, 2411 MHz, 46, 12.59 W
1788702471.372109684,0 %, 2411 MHz, 46, 12.59 W
1788702471.473016535,0 %, 2411 MHz, 46, 12.59 W
1788702471.573573353,0 %, 2411 MHz, 46, 12.59 W
1788702471.674803181,0 %, 2411 MHz, 46, 12.59 W
1788702471.775040127,0 %, 2411 MHz, 46, 12.61 W
1788702471.875956722,0 %, 2411 MHz, 46, 12.61 W
1788702471.976819988,0 %, 2411 MHz, 46, 12.61 W
1788702472.077101046,0 %, 2411 MHz, 46, 12.61 W
1788702472.177647801,0 %, 2411 MHz, 46, 12.61 W
1788702472.278404972,0 %, 2411 MHz, 46, 12.62 W
1788702472.379004926,0 %, 2411 MHz, 46, 12.62 W
1788702472.479954865,0 %, 2411 MHz, 46, 12.62 W
1788702472.580505988,0 %, 2411 MHz, 46, 12.62 W
1788702472.681376039,0 %, 2411 MHz, 46, 12.62 W
1788702472.782016857,0 %, 2411 MHz, 45, 12.60 W
1788702472.882806156,0 %, 2411 MHz, 45, 12.60 W
1788702472.983832239,0 %, 2411 MHz, 45, 12.60 W
1788702473.084331490,0 %, 2411 MHz, 45, 12.60 W
1788702473.185260357,0 %, 2411 MHz, 45, 12.60 W
1788702473.285850824,0 %, 2411 MHz, 45, 12.60 W
1788702473.386730571,0 %, 2411 MHz, 45, 12.60 W
1788702473.487681838,0 %, 2411 MHz, 45, 12.60 W
1788702473.588274193,0 %, 2411 MHz, 45, 12.60 W
1788702473.689720661,0 %, 2411 MHz, 45, 12.60 W
1788702473.789721367,0 %, 2411 MHz, 45, 12.59 W
1788702473.890611130,0 %, 2411 MHz, 45, 12.59 W
1788702473.991151932,0 %, 2411 MHz, 45, 12.59 W
1788702474.092070528,0 %, 2411 MHz, 45, 12.59 W
1788702474.193024723,0 %, 2411 MHz, 45, 12.59 W
1788702474.293568646,0 %, 2411 MHz, 45, 12.56 W
1788702474.394496169,0 %, 2411 MHz, 45, 12.56 W
1788702474.495070972,0 %, 2411 MHz, 45, 12.56 W
1788702474.596015167,0 %, 2411 MHz, 45, 12.56 W
1788702474.696640962,0 %, 2411 MHz, 45, 12.56 W
1788702474.797648406,0 %, 2411 MHz, 45, 12.57 W
1788702474.898391065,0 %, 2411 MHz, 45, 12.57 W
1788702474.998925724,0 %, 2411 MHz, 45, 12.57 W
1788702475.099870831,0 %, 2411 MHz, 45, 12.57 W
1788702475.200406418,0 %, 2411 MHz, 45, 12.57 W
1788702475.301309829,0 %, 2411 MHz, 45, 12.61 W
1788702475.401907624,0 %, 2411 MHz, 45, 12.61 W
1788702475.502751564,0 %, 2411 MHz, 45, 12.61 W
1788702475.603722047,0 %, 2411 MHz, 45, 12.61 W
1788702475.704434371,0 %, 2411 MHz, 45, 12.59 W
1788702475.804517237,0 %, 2411 MHz, 45, 12.59 W
1788702475.905822969,0 %, 2411 MHz, 45, 12.59 W
1788702476.005831291,0 %, 2411 MHz, 45, 12.59 W
1788702476.106753918,0 %, 2411 MHz, 45, 12.59 W
1788702476.207357698,0 %, 2411 MHz, 45, 12.54 W
1788702476.308221045,0 %, 2411 MHz, 45, 12.54 W
1788702476.409204233,0 %, 2411 MHz, 45, 12.54 W
1788702476.509561884,0 %, 2411 MHz, 45, 12.54 W
1788702476.610167359,0 %, 2411 MHz, 45, 12.54 W
1788702476.710998466,0 %, 2411 MHz, 45, 12.53 W
1788702476.811613014,0 %, 2411 MHz, 45, 12.53 W
1788702476.912305145,0 %, 2411 MHz, 45, 12.53 W
1788702477.013289341,0 %, 2411 MHz, 45, 12.53 W
1788702477.113831072,0 %, 2411 MHz, 45, 12.53 W
1788702477.214716355,0 %, 2411 MHz, 45, 12.53 W
1788702477.315261031,0 %, 2411 MHz, 45, 12.53 W
1788702477.416183850,0 %, 2411 MHz, 45, 12.53 W
1788702477.516756766,0 %, 2411 MHz, 45, 12.53 W
1788702477.617600513,0 %, 2411 MHz, 45, 12.53 W
1788702477.718674917,0 %, 2411 MHz, 45, 12.54 W
1788702477.819048280,0 %, 2411 MHz, 45, 12.54 W
1788702477.919821420,0 %, 2411 MHz, 45, 12.54 W
1788702478.020327727,0 %, 2411 MHz, 45, 12.54 W
1788702478.120966979,0 %, 2411 MHz, 45, 12.54 W
1788702478.221837286,0 %, 2411 MHz, 45, 12.56 W
1788702478.322781642,0 %, 2411 MHz, 45, 12.56 W
1788702478.423328174,0 %, 2411 MHz, 45, 12.56 W
1788702478.524259042,0 %, 2411 MHz, 45, 12.56 W
1788702478.624857717,0 %, 2411 MHz, 45, 12.56 W
1788702478.725628041,0 %, 2411 MHz, 45, 12.55 W
1788702478.826175580,0 %, 2411 MHz, 45, 12.55 W
1788702478.927062128,0 %, 2411 MHz, 45, 12.55 W
1788702479.027527395,0 %, 2411 MHz, 45, 12.55 W
1788702479.128439911,0 %, 2411 MHz, 45, 12.55 W
1788702479.228985083,0 %, 2411 MHz, 45, 12.51 W
1788702479.329865743,0 %, 2411 MHz, 45, 12.51 W
1788702479.430849491,0 %, 2411 MHz, 45, 12.51 W
1788702479.531432231,0 %, 2411 MHz, 45, 12.51 W
1788702479.632300059,0 %, 2411 MHz, 45, 12.51 W
1788702479.732898526,0 %, 2411 MHz, 45, 12.55 W
1788702479.833768658,0 %, 2411 MHz, 45, 12.55 W
1788702479.934384854,0 %, 2411 MHz, 45, 12.55 W
1788702480.035233882,0 %, 2411 MHz, 45, 12.55 W
1788702480.136171966,0 %, 2411 MHz, 45, 12.55 W
1788702480.236728162,0 %, 2411 MHz, 45, 12.57 W
1788702480.337704374,0 %, 2411 MHz, 45, 12.57 W
1788702480.438229866,0 %, 2411 MHz, 45, 12.57 W
1788702480.539113838,0 %, 2411 MHz, 45, 12.57 W
1788702480.639967362,0 %, 2411 MHz, 45, 12.57 W
1788702480.740843654,0 %, 2411 MHz, 45, 12.56 W
1788702480.841517722,0 %, 2411 MHz, 45, 12.56 W
1788702480.942049214,0 %, 2411 MHz, 45, 12.56 W
1788702481.042965122,0 %, 2411 MHz, 45, 12.56 W
1788702481.143866710,0 %, 2411 MHz, 45, 12.56 W
1788702481.244458026,0 %, 2411 MHz, 45, 12.58 W
1788702481.345391343,0 %, 2411 MHz, 45, 12.58 W
1788702481.445962291,0 %, 2411 MHz, 45, 12.58 W
1788702481.546885639,0 %, 2411 MHz, 45, 12.58 W
1788702481.647443627,0 %, 2411 MHz, 45, 12.58 W
1788702481.748330575,0 %, 2411 MHz, 45, 12.57 W
1788702481.848910355,0 %, 2411 MHz, 45, 12.57 W
1788702481.949775991,0 %, 2411 MHz, 45, 12.57 W
1788702482.050779116,0 %, 2411 MHz, 45, 12.57 W
1788702482.151292784,0 %, 2411 MHz, 45, 12.57 W
1788702482.252249908,0 %, 2411 MHz, 45, 12.55 W
1788702482.352804904,0 %, 2411 MHz, 45, 12.55 W
1788702482.453707597,0 %, 2411 MHz, 45, 12.55 W
1788702482.554682977,0 %, 2411 MHz, 45, 12.55 W
1788702482.655381926,0 %, 2411 MHz, 45, 12.55 W
1788702482.756138362,0 %, 2411 MHz, 45, 12.51 W
1788702482.856724622,0 %, 2411 MHz, 45, 12.51 W
1788702482.957891747,0 %, 2411 MHz, 45, 12.51 W
1788702483.058156438,0 %, 2411 MHz, 45, 12.51 W
1788702483.159034299,0 %, 2411 MHz, 45, 12.51 W
1788702483.260025632,0 %, 2411 MHz, 45, 12.49 W
1788702483.360528900,0 %, 2411 MHz, 45, 12.49 W
1788702483.461817993,0 %, 2411 MHz, 45, 12.49 W
1788702483.561978717,0 %, 2411 MHz, 45, 12.49 W
1788702483.662924657,0 %, 2411 MHz, 45, 12.49 W
1788702483.763479109,0 %, 2411 MHz, 45, 12.50 W
1788702483.864339274,0 %, 2411 MHz, 45, 12.50 W
1788702483.965313263,0 %, 2411 MHz, 45, 12.50 W
1788702484.065904131,0 %, 2411 MHz, 45, 12.50 W
1788702484.166108103,0 %, 2411 MHz, 45, 12.50 W
1788702484.267033259,0 %, 2411 MHz, 45, 12.54 W
1788702484.366683118,0 %, 2411 MHz, 45, 12.54 W
1788702484.466984706,0 %, 2411 MHz, 45, 12.54 W
1788702484.567058517,0 %, 2411 MHz, 45, 12.54 W
1788702484.667267449,0 %, 2411 MHz, 45, 12.54 W
1788702484.767292893,0 %, 2411 MHz, 45, 12.56 W
1788702484.868272049,0 %, 2411 MHz, 45, 12.56 W
1788702484.968685573,0 %, 2411 MHz, 45, 12.56 W
1788702485.069059721,0 %, 2411 MHz, 45, 12.56 W
1788702485.169806494,0 %, 2411 MHz, 45, 12.56 W
1788702485.270901795,0 %, 2411 MHz, 45, 12.54 W
1788702485.371018439,0 %, 2411 MHz, 45, 12.54 W
1788702485.471361803,0 %, 2411 MHz, 45, 12.54 W
1788702485.572382096,0 %, 2411 MHz, 45, 12.54 W
1788702485.672389700,0 %, 2411 MHz, 45, 12.54 W
1788702485.773193369,0 %, 2411 MHz, 45, 12.53 W
1788702485.873257900,0 %, 2411 MHz, 45, 12.53 W
1788702485.974093441,0 %, 2411 MHz, 45, 12.53 W
1788702486.074597733,0 %, 2411 MHz, 45, 12.53 W
1788702486.175499963,0 %, 2411 MHz, 45, 12.53 W
1788702486.275469358,0 %, 2411 MHz, 45, 12.52 W
1788702486.375728114,0 %, 2411 MHz, 45, 12.52 W
1788702486.476237463,0 %, 2411 MHz, 45, 12.52 W
1788702486.577164348,0 %, 2411 MHz, 45, 12.52 W
1788702486.677053263,0 %, 2411 MHz, 45, 12.52 W
1788702486.777920612,0 %, 2411 MHz, 45, 12.49 W
1788702486.878151784,0 %, 2411 MHz, 45, 12.49 W
1788702486.978311884,0 %, 2411 MHz, 45, 12.49 W
1788702487.079069041,0 %, 2411 MHz, 45, 12.49 W
1788702487.179813718,0 %, 2411 MHz, 45, 12.49 W
1788702487.280280251,0 %, 2411 MHz, 45, 12.48 W
1788702487.380975680,0 %, 2411 MHz, 45, 12.48 W
1788702487.481203204,0 %, 2411 MHz, 45, 12.48 W
