1788686121.858403979,0 %, 2405 MHz, 47, 12.49 W
1788686121.959005160,0 %, 2405 MHz, 47, 12.49 W
1788686122.058934516,0 %, 2405 MHz, 47, 12.49 W
1788686122.159150673,0 %, 2405 MHz, 47, 12.49 W
1788686122.259575134,0 %, 2405 MHz, 47, 12.81 W
1788686122.359939978,0 %, 2405 MHz, 47, 12.81 W
1788686122.459618918,0 %, 2405 MHz, 47, 12.81 W
1788686122.559814467,0 %, 2405 MHz, 47, 12.81 W
1788686122.659944224,0 %, 2405 MHz, 47, 12.81 W
1788686122.759601548,0 %, 2405 MHz, 47, 12.96 W
1788686122.860304217,0 %, 2405 MHz, 47, 12.96 W
1788686122.960488757,0 %, 2405 MHz, 47, 12.96 W
1788686123.060678578,0 %, 2405 MHz, 47, 12.96 W
1788686123.160495134,0 %, 2405 MHz, 47, 12.96 W
1788686123.261291595,0 %, 2405 MHz, 47, 12.64 W
1788686123.361326295,0 %, 2405 MHz, 47, 12.64 W
1788686123.461657764,0 %, 2405 MHz, 47, 12.64 W
1788686123.562086176,0 %, 2405 MHz, 47, 12.64 W
1788686123.661864285,0 %, 2405 MHz, 47, 12.64 W
1788686123.761942361,0 %, 2405 MHz, 47, 12.37 W
1788686123.861746454,0 %, 2405 MHz, 47, 12.37 W
1788686123.962328114,0 %, 2405 MHz, 47, 12.37 W
1788686124.062331151,0 %, 2405 MHz, 47, 12.37 W
1788686124.162636651,0 %, 2405 MHz, 47, 12.37 W
1788686124.262534008,0 %, 2405 MHz, 47, 12.30 W
1788686124.362657028,0 %, 2405 MHz, 47, 12.30 W
1788686124.463010129,0 %, 2405 MHz, 47, 12.30 W
1788686124.564169485,0 %, 2405 MHz, 47, 12.30 W
1788686124.663372138,0 %, 2405 MHz, 47, 12.30 W
1788686124.763958934,0 %, 2405 MHz, 47, 12.43 W
1788686124.864072019,0 %, 2405 MHz, 47, 12.43 W
1788686124.963869439,0 %, 2405 MHz, 47, 12.43 W
1788686125.064879452,0 %, 2405 MHz, 47, 12.43 W
1788686125.164236280,0 %, 2405 MHz, 47, 12.43 W
1788686125.264619812,26 %, 2405 MHz, 47, 12.69 W
1788686125.364633825,26 %, 2405 MHz, 47, 12.69 W
1788686125.464746061,26 %, 2405 MHz, 47, 12.69 W
1788686125.565103338,26 %, 2405 MHz, 47, 12.69 W
1788686125.664916278,26 %, 2405 MHz, 47, 12.69 W
1788686125.765036323,26 %, 2405 MHz, 47, 12.59 W
1788686125.864924191,26 %, 2405 MHz, 47, 12.59 W
1788686125.965085995,26 %, 2405 MHz, 47, 12.59 W
1788686126.065205320,26 %, 2405 MHz, 47, 12.59 W
1788686126.165753956,26 %, 2405 MHz, 47, 12.59 W
1788686126.265896401,0 %, 2405 MHz, 47, 12.23 W
1788686126.365966029,0 %, 2405 MHz, 47, 12.23 W
1788686126.466174842,0 %, 2405 MHz, 47, 12.23 W
1788686126.565784902,0 %, 2405 MHz, 47, 12.23 W
1788686126.666393378,0 %, 2405 MHz, 47, 12.23 W
1788686126.766611775,0 %, 2405 MHz, 47, 12.23 W
1788686126.866368939,0 %, 2405 MHz, 47, 12.23 W
1788686126.966726920,0 %, 2405 MHz, 47, 12.23 W
1788686127.066937668,0 %, 2405 MHz, 47, 12.23 W
1788686127.167058849,0 %, 2405 MHz, 47, 12.23 W
1788686127.267257437,0 %, 2405 MHz, 47, 12.26 W
1788686127.367366697,0 %, 2405 MHz, 47, 12.26 W
1788686127.467470150,0 %, 2405 MHz, 47, 12.26 W
1788686127.567523586,0 %, 2405 MHz, 47, 12.26 W
1788686127.667925007,0 %, 2405 MHz, 47, 12.26 W
1788686127.767874011,0 %, 2405 MHz, 47, 12.28 W
1788686127.867632327,0 %, 2405 MHz, 47, 12.28 W
1788686127.968335588,0 %, 2405 MHz, 47, 12.28 W
1788686128.068442832,0 %, 2405 MHz, 47, 12.28 W
1788686128.168501852,0 %, 2405 MHz, 47, 12.28 W
1788686128.268678665,0 %, 2405 MHz, 47, 12.30 W
1788686128.368646085,0 %, 2405 MHz, 47, 12.30 W
1788686128.468724578,0 %, 2405 MHz, 47, 12.30 W
1788686128.569119550,0 %, 2405 MHz, 47, 12.30 W
1788686128.669098090,0 %, 2405 MHz, 47, 12.30 W
1788686128.769161959,0 %, 2405 MHz, 47, 12.32 W
1788686128.869387491,0 %, 2405 MHz, 47, 12.32 W
1788686128.969882431,0 %, 2405 MHz, 47, 12.32 W
1788686129.070245628,0 %, 2405 MHz, 47, 12.32 W
1788686129.170787512,0 %, 2405 MHz, 47, 12.32 W
1788686129.270572164,0 %, 2405 MHz, 47, 12.31 W
1788686129.370695313,0 %, 2405 MHz, 47, 12.31 W
