1788686121.859725042,0 %, 1690 MHz, 40, 7.13 W
1788686121.960575033,0 %, 1690 MHz, 40, 7.13 W
1788686122.060991440,0 %, 1690 MHz, 40, 7.13 W
1788686122.161053702,0 %, 1690 MHz, 40, 7.13 W
1788686122.261637356,0 %, 1690 MHz, 40, 7.13 W
1788686122.361707395,0 %, 1690 MHz, 40, 7.13 W
1788686122.462042393,0 %, 1690 MHz, 40, 7.13 W
1788686122.562357983,0 %, 1690 MHz, 40, 7.13 W
1788686122.662634534,0 %, 1690 MHz, 40, 7.13 W
1788686122.762686540,0 %, 1690 MHz, 40, 7.05 W
1788686122.863015154,0 %, 1690 MHz, 40, 7.05 W
1788686122.963252409,0 %, 1690 MHz, 40, 7.05 W
1788686123.063610463,0 %, 1690 MHz, 40, 7.05 W
1788686123.164017350,7 %, 1690 MHz, 40, 7.05 W
1788686123.264572140,7 %, 1690 MHz, 40, 7.05 W
1788686123.364674083,7 %, 1690 MHz, 40, 7.05 W
1788686123.465325594,7 %, 1690 MHz, 40, 7.05 W
1788686123.565379040,7 %, 1690 MHz, 40, 7.05 W
1788686123.665955031,7 %, 1690 MHz, 40, 7.07 W
1788686123.765985149,7 %, 1690 MHz, 40, 7.07 W
1788686123.866553716,7 %, 1690 MHz, 40, 7.07 W
1788686123.966620570,7 %, 1690 MHz, 40, 7.07 W
1788686124.066996752,7 %, 1690 MHz, 40, 7.07 W
1788686124.167269527,0 %, 1690 MHz, 40, 7.04 W
1788686124.268115326,0 %, 1690 MHz, 40, 7.04 W
1788686124.368157956,0 %, 1690 MHz, 40, 7.04 W
1788686124.468720331,0 %, 1690 MHz, 40, 7.04 W
1788686124.568761266,0 %, 1690 MHz, 40, 7.04 W
1788686124.669268680,0 %, 1690 MHz, 40, 7.08 W
1788686124.769298879,0 %, 1690 MHz, 40, 7.08 W
1788686124.869887510,0 %, 1690 MHz, 40, 7.08 W
1788686124.969930860,0 %, 1690 MHz, 40, 7.08 W
1788686125.070282659,0 %, 1690 MHz, 40, 7.08 W
1788686125.170422345,0 %, 1690 MHz, 40, 7.09 W
1788686125.271267968,0 %, 1690 MHz, 40, 7.09 W
1788686125.371311687,0 %, 1690 MHz, 40, 7.09 W
1788686125.471516686,0 %, 1690 MHz, 40, 7.09 W
1788686125.571616084,0 %, 1690 MHz, 40, 7.09 W
1788686125.672250443,0 %, 1690 MHz, 40, 7.05 W
1788686125.772320386,0 %, 1690 MHz, 40, 7.05 W
1788686125.872907688,0 %, 1690 MHz, 40, 7.05 W
1788686125.972990031,0 %, 1690 MHz, 40, 7.05 W
1788686126.073612614,0 %, 1690 MHz, 40, 7.05 W
1788686126.173621437,0 %, 1690 MHz, 40, 7.02 W
1788686126.274016259,0 %, 1690 MHz, 40, 7.02 W
1788686126.373890042,0 %, 1690 MHz, 40, 7.02 W
1788686126.474722049,0 %, 1690 MHz, 40, 7.02 W
1788686126.575138088,0 %, 1690 MHz, 40, 7.02 W
1788686126.675383791,0 %, 1690 MHz, 40, 7.01 W
1788686126.775908822,0 %, 1690 MHz, 40, 7.01 W
1788686126.876264573,0 %, 1690 MHz, 40, 7.01 W
1788686126.976472851,0 %, 1690 MHz, 40, 7.01 W
1788686127.077063963,0 %, 1690 MHz, 40, 7.01 W
1788686127.177478018,0 %, 1690 MHz, 40, 7.02 W
1788686127.277946697,0 %, 1690 MHz, 40, 7.02 W
1788686127.378443216,0 %, 1690 MHz, 40, 7.02 W
1788686127.478974567,0 %, 1690 MHz, 40, 7.02 W
1788686127.579335614,0 %, 1690 MHz, 40, 7.02 W
1788686127.679907813,0 %, 1690 MHz, 41, 7.04 W
1788686127.780454588,0 %, 1690 MHz, 41, 7.04 W
1788686127.880769795,0 %, 1690 MHz, 41, 7.04 W
1788686127.981240154,0 %, 1690 MHz, 41, 7.04 W
1788686128.081766289,0 %, 1690 MHz, 41, 7.04 W
1788686128.182175208,2 %, 1690 MHz, 41, 7.05 W
1788686128.282644991,2 %, 1690 MHz, 41, 7.05 W
1788686128.383135431,2 %, 1690 MHz, 41, 7.05 W
1788686128.483626494,2 %, 1690 MHz, 41, 7.05 W
1788686128.584091365,2 %, 1690 MHz, 41, 7.05 W
1788686128.684717564,2 %, 1690 MHz, 41, 7.06 W
1788686128.785043587,2 %, 1690 MHz, 41, 7.06 W
1788686128.885515899,2 %, 1690 MHz, 41, 7.06 W
1788686128.985990690,2 %, 1690 MHz, 41, 7.06 W
1788686129.086449161,2 %, 1690 MHz, 41, 7.06 W
1788686129.186935376,1 %, 1690 MHz, 41, 7.06 W
1788686129.287402007,1 %, 1690 MHz, 41, 7.06 W
1788686129.387564366,1 %, 1690 MHz, 41, 7.06 W
1788686129.487319733,1 %, 1690 MHz, 41, 7.06 W
1788686129.588115245,1 %, 1690 MHz, 41, 7.06 W
1788686129.687983939,1 %, 1690 MHz, 41, 7.10 W
1788686129.787674442,1 %, 1690 MHz, 41, 7.10 W
1788686129.888400753,1 %, 1690 MHz, 41, 7.10 W
1788686129.989062009,1 %, 1690 MHz, 41, 7.10 W
1788686130.089617424,1 %, 1690 MHz, 41, 7.10 W
1788686130.190022632,1 %, 1690 MHz, 41, 7.14 W
1788686130.290488255,1 %, 1690 MHz, 41, 7.14 W
1788686130.390938822,1 %, 1690 MHz, 41, 7.14 W
1788686130.491401694,1 %, 1690 MHz, 41, 7.14 W
1788686130.591876981,1 %, 1690 MHz, 41, 7.14 W
1788686130.692545437,1 %, 1690 MHz, 42, 7.11 W
1788686130.792835700,1 %, 1690 MHz, 42, 7.11 W
1788686130.893596987,1 %, 1690 MHz, 42, 7.11 W
1788686130.993555378,1 %, 1690 MHz, 42, 7.11 W
1788686131.094251018,1 %, 1690 MHz, 42, 7.11 W
1788686131.194634625,1 %, 1690 MHz, 42, 7.09 W
1788686131.294907513,1 %, 1690 MHz, 42, 7.09 W
1788686131.395368560,1 %, 1690 MHz, 42, 7.09 W
1788686131.495972568,1 %, 1690 MHz, 42, 7.09 W
1788686131.596343151,1 %, 1690 MHz, 42, 7.09 W
1788686131.696823687,1 %, 1690 MHz, 42, 7.08 W
1788686131.797289742,1 %, 1690 MHz, 42, 7.08 W
1788686131.897493141,1 %, 1690 MHz, 42, 7.08 W
1788686131.998019789,1 %, 1690 MHz, 42, 7.08 W
1788686132.098450485,1 %, 1690 MHz, 42, 7.08 W
1788686132.198949244,2 %, 1690 MHz, 42, 7.06 W
1788686132.299420004,2 %, 1690 MHz, 42, 7.06 W
1788686132.399908747,2 %, 1690 MHz, 42, 7.06 W
1788686132.500411891,2 %, 1690 MHz, 42, 7.06 W
1788686132.600911131,2 %, 1690 MHz, 42, 7.06 W
1788686132.701404354,2 %, 1690 MHz, 42, 7.01 W
1788686132.801812618,2 %, 1690 MHz, 42, 7.01 W
1788686132.902277649,2 %, 1690 MHz, 42, 7.01 W
1788686133.002818601,2 %, 1690 MHz, 42, 7.01 W
1788686133.103277857,2 %, 1690 MHz, 42, 7.01 W
1788686133.203841368,1 %, 1690 MHz, 42, 6.95 W
1788686133.304197168,1 %, 1690 MHz, 42, 6.95 W
1788686133.404653751,1 %, 1690 MHz, 42, 6.95 W
1788686133.505136383,1 %, 1690 MHz, 42, 6.95 W
1788686133.605450359,1 %, 1690 MHz, 42, 6.95 W
1788686133.705932270,1 %, 1690 MHz, 42, 6.95 W
1788686133.806382246,1 %, 1690 MHz, 42, 6.95 W
1788686133.906893518,1 %, 1690 MHz, 42, 6.95 W
1788686134.007348742,1 %, 1690 MHz, 42, 6.95 W
1788686134.107548733,1 %, 1690 MHz, 42, 6.95 W
1788686134.208070661,1 %, 1690 MHz, 43, 7.01 W
1788686134.308500429,1 %, 1690 MHz, 43, 7.01 W
1788686134.408987876,1 %, 1690 MHz, 43, 7.01 W
1788686134.509415132,1 %, 1690 MHz, 43, 7.01 W
1788686134.609919076,1 %, 1690 MHz, 43, 7.01 W
1788686134.710593708,1 %, 1690 MHz, 43, 7.03 W
1788686134.810899636,1 %, 1690 MHz, 43, 7.03 W
1788686134.911509948,1 %, 1690 MHz, 43, 7.03 W
1788686135.011812723,1 %, 1690 MHz, 43, 7.03 W
1788686135.112335723,1 %, 1690 MHz, 43, 7.03 W
1788686135.212824819,1 %, 1690 MHz, 43, 7.02 W
1788686135.313269067,1 %, 1690 MHz, 43, 7.02 W
1788686135.413722003,1 %, 1690 MHz, 43, 7.02 W
1788686135.514200363,1 %, 1690 MHz, 43, 7.02 W
1788686135.614454690,1 %, 1690 MHz, 43, 7.02 W
1788686135.714930106,1 %, 1690 MHz, 43, 7.01 W
1788686135.815384802,1 %, 1690 MHz, 43, 7.01 W
1788686135.915891178,1 %, 1690 MHz, 43, 7.01 W
1788686136.016339314,1 %, 1690 MHz, 43, 7.01 W
1788686136.116776730,1 %, 1690 MHz, 43, 7.01 W
1788686136.217274242,1 %, 1690 MHz, 43, 7.03 W
1788686136.317768714,1 %, 1690 MHz, 43, 7.03 W
1788686136.418237970,1 %, 1690 MHz, 43, 7.03 W
1788686136.518466618,1 %, 1690 MHz, 43, 7.03 W
1788686136.618915138,1 %, 1690 MHz, 43, 7.03 W
1788686136.719545370,1 %, 1690 MHz, 43, 7.06 W
1788686136.819872706,1 %, 1690 MHz, 43, 7.06 W
1788686136.920304186,1 %, 1690 MHz, 43, 7.06 W
1788686137.020855154,1 %, 1690 MHz, 43, 7.06 W
1788686137.121166314,1 %, 1690 MHz, 43, 7.06 W
1788686137.221808514,2 %, 1690 MHz, 43, 7.07 W
1788686137.322267162,2 %, 1690 MHz, 43, 7.07 W
1788686137.422068098,2 %, 1690 MHz, 43, 7.07 W
1788686137.522400554,2 %, 1690 MHz, 43, 7.07 W
1788686137.622738290,2 %, 1690 MHz, 43, 7.07 W
1788686137.722392617,2 %, 1690 MHz, 43, 7.11 W
1788686137.823217473,2 %, 1690 MHz, 43, 7.11 W
1788686137.923962474,2 %, 1690 MHz, 43, 7.11 W
1788686138.024179986,2 %, 1690 MHz, 43, 7.11 W
1788686138.124720474,2 %, 1690 MHz, 43, 7.11 W
1788686138.225364386,1 %, 1690 MHz, 44, 7.12 W
1788686138.325907162,1 %, 1690 MHz, 44, 7.12 W
1788686138.426113458,1 %, 1690 MHz, 44, 7.12 W
1788686138.526571963,1 %, 1690 MHz, 44, 7.12 W
1788686138.626917155,1 %, 1690 MHz, 44, 7.12 W
