1788684732.559290583,0 %, 208 MHz, 49, 5.12 W
1788684732.660272098,0 %, 208 MHz, 49, 5.12 W
1788684732.760952158,0 %, 208 MHz, 49, 5.12 W
1788684732.861736537,0 %, 208 MHz, 49, 5.12 W
1788684732.962035957,0 %, 208 MHz, 49, 5.12 W
1788684733.062616400,3 %, 208 MHz, 50, 6.52 W
1788684733.162734236,3 %, 208 MHz, 50, 6.52 W
1788684733.263548600,3 %, 208 MHz, 50, 6.52 W
1788684733.363846772,3 %, 208 MHz, 50, 6.52 W
1788684733.464553519,3 %, 208 MHz, 50, 6.52 W
1788684733.563455788,3 %, 2405 MHz, 50, 10.60 W
1788684733.665092103,3 %, 2405 MHz, 50, 10.60 W
1788684733.765249187,3 %, 2405 MHz, 50, 10.60 W
1788684733.866404590,3 %, 2405 MHz, 50, 10.60 W
1788684733.965937706,3 %, 2405 MHz, 50, 10.60 W
1788684734.066985974,0 %, 2405 MHz, 50, 12.50 W
1788684734.166911714,0 %, 2405 MHz, 50, 12.50 W
1788684734.267281918,0 %, 2405 MHz, 50, 12.50 W
1788684734.367667642,0 %, 2405 MHz, 50, 12.50 W
1788684734.467740662,0 %, 2405 MHz, 50, 12.50 W
1788684734.568121730,0 %, 2405 MHz, 50, 12.54 W
1788684734.668736078,0 %, 2405 MHz, 50, 12.54 W
1788684734.769429865,0 %, 2405 MHz, 50, 12.54 W
1788684734.870246197,0 %, 2405 MHz, 50, 12.54 W
1788684734.970881089,0 %, 2405 MHz, 50, 12.54 W
1788684735.070693597,28 %, 2405 MHz, 50, 12.69 W
1788684735.171054761,28 %, 2405 MHz, 50, 12.69 W
1788684735.271600005,28 %, 2405 MHz, 50, 12.69 W
1788684735.372238001,28 %, 2405 MHz, 50, 12.69 W
1788684735.472605869,28 %, 2405 MHz, 50, 12.69 W
1788684735.572548570,28 %, 2405 MHz, 50, 12.82 W
1788684735.673865861,28 %, 2405 MHz, 50, 12.82 W
1788684735.774195697,28 %, 2405 MHz, 50, 12.82 W
1788684735.874268045,28 %, 2405 MHz, 50, 12.82 W
1788684735.974735001,28 %, 2405 MHz, 50, 12.82 W
1788684736.075595861,0 %, 2405 MHz, 50, 12.66 W
1788684736.175672562,0 %, 2405 MHz, 50, 12.66 W
1788684736.276264782,0 %, 2405 MHz, 50, 12.66 W
1788684736.376423546,0 %, 2405 MHz, 50, 12.66 W
1788684736.477252566,0 %, 2405 MHz, 50, 12.66 W
1788684736.577375443,0 %, 2405 MHz, 50, 12.41 W
1788684736.676946960,0 %, 2405 MHz, 50, 12.41 W
1788684736.778159579,0 %, 2405 MHz, 50, 12.41 W
1788684736.879090887,0 %, 2405 MHz, 50, 12.41 W
1788684736.979217859,0 %, 2405 MHz, 50, 12.41 W
1788684737.079470128,0 %, 2405 MHz, 50, 12.42 W
1788684737.179256573,0 %, 2405 MHz, 50, 12.42 W
1788684737.279183962,0 %, 2405 MHz, 50, 12.42 W
1788684737.380014566,0 %, 2405 MHz, 50, 12.42 W
1788684737.481153041,0 %, 2405 MHz, 50, 12.42 W
1788684737.580684958,0 %, 2405 MHz, 50, 12.44 W
1788684737.681525915,0 %, 2405 MHz, 50, 12.44 W
1788684737.781979335,0 %, 2405 MHz, 50, 12.44 W
1788684737.882503411,0 %, 2405 MHz, 50, 12.44 W
1788684737.983104703,0 %, 2405 MHz, 50, 12.44 W
1788684738.083456812,0 %, 2405 MHz, 50, 12.42 W
1788684738.183074409,0 %, 2405 MHz, 50, 12.42 W
1788684738.284646981,0 %, 2405 MHz, 50, 12.42 W
1788684738.384795329,0 %, 2405 MHz, 50, 12.42 W
1788684738.485140206,0 %, 2405 MHz, 50, 12.41 W
1788684738.585208251,0 %, 2405 MHz, 50, 12.41 W
1788684738.685823655,0 %, 2405 MHz, 50, 12.41 W
1788684738.785923524,0 %, 2405 MHz, 50, 12.41 W
1788684738.886867808,0 %, 2405 MHz, 50, 12.41 W
1788684738.987101933,0 %, 2405 MHz, 49, 12.41 W
1788684739.087473401,0 %, 2405 MHz, 49, 12.41 W
1788684739.187983110,0 %, 2405 MHz, 49, 12.41 W
1788684739.288045491,0 %, 2405 MHz, 49, 12.41 W
1788684739.389013887,0 %, 2405 MHz, 49, 12.41 W
1788684739.489385804,0 %, 2405 MHz, 49, 12.40 W
1788684739.589345225,0 %, 2405 MHz, 49, 12.40 W
1788684739.690285893,0 %, 2405 MHz, 49, 12.40 W
1788684739.790759810,0 %, 2405 MHz, 49, 12.40 W
1788684739.890987231,0 %, 2405 MHz, 49, 12.40 W
1788684739.991918843,0 %, 2405 MHz, 49, 12.40 W
1788684740.092048824,0 %, 2405 MHz, 49, 12.40 W
