1788684732.559431982,0 %, 1690 MHz, 53, 7.07 W
1788684732.660531456,0 %, 1690 MHz, 53, 7.07 W
1788684732.760662800,0 %, 1690 MHz, 53, 7.07 W
1788684732.860880368,0 %, 1690 MHz, 53, 7.07 W
1788684732.960718255,0 %, 1690 MHz, 52, 7.47 W
1788684733.061023759,0 %, 1690 MHz, 52, 7.47 W
1788684733.161439199,0 %, 1690 MHz, 52, 7.47 W
1788684733.261675759,0 %, 1690 MHz, 52, 7.47 W
1788684733.361518142,0 %, 1690 MHz, 52, 7.47 W
1788684733.461577757,0 %, 1690 MHz, 52, 7.46 W
1788684733.561977870,0 %, 1690 MHz, 52, 7.46 W
1788684733.662140253,0 %, 1690 MHz, 52, 7.46 W
1788684733.762134461,0 %, 1690 MHz, 52, 7.46 W
1788684733.862679709,0 %, 1690 MHz, 52, 7.46 W
1788684733.962914429,0 %, 1690 MHz, 52, 7.41 W
1788684734.063515038,0 %, 1690 MHz, 52, 7.41 W
1788684734.163634717,0 %, 1690 MHz, 52, 7.41 W
1788684734.263737517,0 %, 1690 MHz, 52, 7.41 W
1788684734.364033837,0 %, 1690 MHz, 52, 7.41 W
1788684734.464155565,0 %, 1690 MHz, 52, 7.39 W
1788684734.564436221,0 %, 1690 MHz, 52, 7.39 W
1788684734.664748285,0 %, 1690 MHz, 52, 7.39 W
1788684734.764940604,0 %, 1690 MHz, 52, 7.39 W
1788684734.865119964,0 %, 1690 MHz, 52, 7.39 W
1788684734.965438556,0 %, 1690 MHz, 52, 7.41 W
1788684735.065596780,0 %, 1690 MHz, 52, 7.41 W
1788684735.165352363,0 %, 1690 MHz, 52, 7.41 W
1788684735.265805211,0 %, 1690 MHz, 52, 7.41 W
1788684735.365993643,0 %, 1690 MHz, 52, 7.41 W
1788684735.466229851,0 %, 1690 MHz, 52, 7.41 W
1788684735.567020332,0 %, 1690 MHz, 52, 7.41 W
1788684735.666828187,0 %, 1690 MHz, 52, 7.41 W
1788684735.767037067,0 %, 1690 MHz, 52, 7.41 W
1788684735.867231594,0 %, 1690 MHz, 52, 7.41 W
1788684735.967447402,0 %, 1690 MHz, 52, 7.40 W
1788684736.067677050,0 %, 1690 MHz, 52, 7.40 W
1788684736.167842554,0 %, 1690 MHz, 52, 7.40 W
1788684736.268051322,0 %, 1690 MHz, 52, 7.40 W
1788684736.368245593,0 %, 1690 MHz, 52, 7.40 W
1788684736.468448233,0 %, 1690 MHz, 52, 7.35 W
1788684736.568570121,0 %, 1690 MHz, 52, 7.35 W
1788684736.668880617,0 %, 1690 MHz, 52, 7.35 W
1788684736.769066616,0 %, 1690 MHz, 52, 7.35 W
1788684736.868809255,0 %, 1690 MHz, 52, 7.35 W
1788684736.969108167,0 %, 1690 MHz, 52, 7.34 W
1788684737.068938198,0 %, 1690 MHz, 52, 7.34 W
1788684737.169455671,0 %, 1690 MHz, 52, 7.34 W
1788684737.269637174,0 %, 1690 MHz, 52, 7.34 W
1788684737.370215815,0 %, 1690 MHz, 52, 7.34 W
1788684737.470500791,0 %, 1690 MHz, 52, 7.38 W
1788684737.570790135,0 %, 1690 MHz, 52, 7.38 W
1788684737.670905063,0 %, 1690 MHz, 52, 7.38 W
1788684737.770905222,0 %, 1690 MHz, 52, 7.38 W
1788684737.871389622,0 %, 1690 MHz, 52, 7.38 W
1788684737.971581814,1 %, 1690 MHz, 52, 7.41 W
1788684738.071682854,1 %, 1690 MHz, 52, 7.41 W
1788684738.172048326,1 %, 1690 MHz, 52, 7.41 W
1788684738.271955957,1 %, 1690 MHz, 52, 7.41 W
1788684738.372334565,1 %, 1690 MHz, 52, 7.41 W
1788684738.472667189,1 %, 1690 MHz, 52, 7.41 W
1788684738.572872229,1 %, 1690 MHz, 52, 7.41 W
1788684738.673544934,1 %, 1690 MHz, 52, 7.41 W
1788684738.772963396,1 %, 1690 MHz, 52, 7.41 W
1788684738.873709829,1 %, 1690 MHz, 52, 7.41 W
1788684738.973914372,0 %, 1690 MHz, 52, 7.40 W
1788684739.074265861,0 %, 1690 MHz, 52, 7.40 W
1788684739.174468020,0 %, 1690 MHz, 52, 7.40 W
1788684739.274610260,0 %, 1690 MHz, 52, 7.40 W
1788684739.374771188,0 %, 1690 MHz, 52, 7.40 W
1788684739.474925763,0 %, 1690 MHz, 52, 7.40 W
1788684739.574962131,0 %, 1690 MHz, 52, 7.40 W
1788684739.675527123,0 %, 1690 MHz, 52, 7.40 W
1788684739.775658195,0 %, 1690 MHz, 52, 7.40 W
1788684739.875920451,0 %, 1690 MHz, 52, 7.40 W
1788684739.976095955,0 %, 1690 MHz, 52, 7.42 W
1788684740.076377362,0 %, 1690 MHz, 52, 7.42 W
1788684740.176502194,0 %, 1690 MHz, 52, 7.42 W
1788684740.276826978,0 %, 1690 MHz, 52, 7.42 W
1788684740.377007218,0 %, 1690 MHz, 52, 7.42 W
1788684740.477271746,0 %, 1690 MHz, 52, 7.41 W
1788684740.577394529,0 %, 1690 MHz, 52, 7.41 W
1788684740.677687409,0 %, 1690 MHz, 52, 7.41 W
1788684740.777976113,0 %, 1690 MHz, 52, 7.41 W
1788684740.877765088,0 %, 1690 MHz, 52, 7.41 W
1788684740.978602497,1 %, 1690 MHz, 52, 7.42 W
1788684741.078314272,1 %, 1690 MHz, 52, 7.42 W
1788684741.178789536,1 %, 1690 MHz, 52, 7.42 W
1788684741.279011552,1 %, 1690 MHz, 52, 7.42 W
1788684741.379292960,1 %, 1690 MHz, 52, 7.42 W
1788684741.479619008,1 %, 1690 MHz, 52, 7.44 W
1788684741.579205054,1 %, 1690 MHz, 52, 7.44 W
