1788685153.956579888,0 %, 2411 MHz, 42, 11.88 W
1788685154.056696857,0 %, 2411 MHz, 43, 11.98 W
1788685154.157766545,0 %, 2411 MHz, 43, 11.98 W
1788685154.257715114,0 %, 2411 MHz, 43, 11.98 W
1788685154.358429363,0 %, 2411 MHz, 43, 11.98 W
1788685154.458683565,0 %, 2411 MHz, 43, 11.98 W
1788685154.559672998,0 %, 2411 MHz, 43, 12.44 W
1788685154.660193791,0 %, 2411 MHz, 43, 12.44 W
1788685154.761713592,0 %, 2411 MHz, 43, 12.44 W
1788685154.862281889,0 %, 2411 MHz, 43, 12.44 W
1788685154.961892987,0 %, 2411 MHz, 43, 12.44 W
1788685155.062587700,1 %, 2411 MHz, 42, 12.13 W
1788685155.163718765,1 %, 2411 MHz, 42, 12.13 W
1788685155.264344502,1 %, 2411 MHz, 42, 12.13 W
1788685155.365187215,1 %, 2411 MHz, 42, 12.13 W
1788685155.466054296,1 %, 2411 MHz, 42, 12.13 W
1788685155.566933217,1 %, 2411 MHz, 42, 11.69 W
1788685155.667731146,1 %, 2411 MHz, 42, 11.69 W
1788685155.768325603,1 %, 2411 MHz, 42, 11.69 W
1788685155.869357244,1 %, 2411 MHz, 42, 11.69 W
1788685155.968763270,1 %, 2411 MHz, 42, 11.69 W
1788685156.069842431,0 %, 2411 MHz, 42, 11.74 W
1788685156.170646856,0 %, 2411 MHz, 42, 11.74 W
1788685156.271782929,0 %, 2411 MHz, 42, 11.74 W
1788685156.372211322,0 %, 2411 MHz, 42, 11.74 W
1788685156.472956388,0 %, 2411 MHz, 42, 11.74 W
1788685156.573703005,0 %, 2411 MHz, 42, 11.77 W
1788685156.674816982,0 %, 2411 MHz, 42, 11.77 W
1788685156.775669343,0 %, 2411 MHz, 42, 11.77 W
1788685156.876279192,0 %, 2411 MHz, 42, 11.77 W
1788685156.976178338,0 %, 2411 MHz, 42, 11.77 W
1788685157.077375083,29 %, 2411 MHz, 43, 12.07 W
1788685157.178003476,29 %, 2411 MHz, 43, 12.07 W
