1788685153.957991284,0 %, 1690 MHz, 41, 7.13 W
1788685154.059655766,0 %, 1690 MHz, 41, 7.13 W
1788685154.160761049,0 %, 1690 MHz, 41, 7.13 W
1788685154.260731663,0 %, 1690 MHz, 41, 7.13 W
1788685154.361903234,0 %, 1690 MHz, 41, 7.13 W
1788685154.460745546,0 %, 1690 MHz, 41, 7.13 W
1788685154.561433070,0 %, 1690 MHz, 41, 7.11 W
1788685154.662889840,0 %, 1690 MHz, 41, 7.11 W
1788685154.763637733,0 %, 1690 MHz, 41, 7.11 W
1788685154.863608299,0 %, 1690 MHz, 41, 7.11 W
1788685154.964029407,0 %, 1690 MHz, 41, 7.11 W
1788685155.065291074,0 %, 1690 MHz, 41, 7.07 W
1788685155.165970071,0 %, 1690 MHz, 41, 7.07 W
1788685155.266756556,0 %, 1690 MHz, 41, 7.07 W
1788685155.366553331,0 %, 1690 MHz, 41, 7.07 W
1788685155.467988661,0 %, 1690 MHz, 41, 7.07 W
1788685155.569100697,0 %, 1690 MHz, 41, 7.09 W
1788685155.669451487,0 %, 1690 MHz, 41, 7.09 W
1788685155.770650851,0 %, 1690 MHz, 41, 7.09 W
1788685155.870741369,0 %, 1690 MHz, 41, 7.09 W
1788685155.971848653,0 %, 1690 MHz, 41, 7.09 W
1788685156.072142609,0 %, 1690 MHz, 41, 7.07 W
1788685156.172578489,0 %, 1690 MHz, 41, 7.07 W
1788685156.273579743,0 %, 1690 MHz, 41, 7.07 W
1788685156.373962933,0 %, 1690 MHz, 41, 7.07 W
1788685156.474229931,0 %, 1690 MHz, 41, 7.06 W
1788685156.574334050,0 %, 1690 MHz, 41, 7.06 W
1788685156.675203608,0 %, 1690 MHz, 41, 7.06 W
1788685156.775645038,0 %, 1690 MHz, 41, 7.06 W
1788685156.875926356,0 %, 1690 MHz, 41, 7.06 W
1788685156.976209851,0 %, 1690 MHz, 41, 7.07 W
1788685157.076530610,0 %, 1690 MHz, 41, 7.07 W
1788685157.177208696,0 %, 1690 MHz, 41, 7.07 W
1788685157.277456255,0 %, 1690 MHz, 41, 7.07 W
1788685157.377866086,0 %, 1690 MHz, 41, 7.07 W
1788685157.478288749,0 %, 1690 MHz, 41, 7.09 W
1788685157.578937075,0 %, 1690 MHz, 41, 7.09 W
1788685157.679242602,0 %, 1690 MHz, 41, 7.09 W
1788685157.779643073,0 %, 1690 MHz, 41, 7.09 W
1788685157.880053368,0 %, 1690 MHz, 41, 7.09 W
1788685157.980761246,1 %, 1690 MHz, 41, 7.07 W
1788685158.081058054,1 %, 1690 MHz, 41, 7.07 W
1788685158.181104638,1 %, 1690 MHz, 41, 7.07 W
1788685158.281708837,1 %, 1690 MHz, 41, 7.07 W
1788685158.382442556,1 %, 1690 MHz, 41, 7.07 W
1788685158.482806868,1 %, 1690 MHz, 41, 7.07 W
1788685158.583090812,1 %, 1690 MHz, 41, 7.07 W
1788685158.683519875,1 %, 1690 MHz, 41, 7.07 W
1788685158.784145787,1 %, 1690 MHz, 41, 7.07 W
1788685158.884408882,1 %, 1690 MHz, 41, 7.07 W
1788685158.983874892,1 %, 1690 MHz, 41, 7.09 W
1788685159.084847251,1 %, 1690 MHz, 41, 7.09 W
1788685159.185321627,1 %, 1690 MHz, 41, 7.09 W
1788685159.286239042,1 %, 1690 MHz, 41, 7.09 W
1788685159.386555563,1 %, 1690 MHz, 41, 7.09 W
1788685159.486971187,1 %, 1690 MHz, 41, 7.11 W
1788685159.587575579,1 %, 1690 MHz, 41, 7.11 W
1788685159.687951347,1 %, 1690 MHz, 41, 7.11 W
1788685159.788281980,1 %, 1690 MHz, 41, 7.11 W
1788685159.888571524,1 %, 1690 MHz, 41, 7.11 W
1788685159.988920877,1 %, 1690 MHz, 41, 7.13 W
1788685160.089673893,1 %, 1690 MHz, 41, 7.13 W
1788685160.189976366,1 %, 1690 MHz, 41, 7.13 W
1788685160.290475335,1 %, 1690 MHz, 41, 7.13 W
1788685160.391096015,1 %, 1690 MHz, 41, 7.13 W
1788685160.491458969,1 %, 1690 MHz, 41, 7.15 W
1788685160.591890737,1 %, 1690 MHz, 41, 7.15 W
1788685160.691093085,1 %, 1690 MHz, 41, 7.15 W
1788685160.792129333,1 %, 1690 MHz, 41, 7.15 W
1788685160.891699295,1 %, 1690 MHz, 41, 7.15 W
1788685160.992150584,1 %, 1690 MHz, 41, 7.16 W
1788685161.093253344,1 %, 1690 MHz, 41, 7.16 W
1788685161.194044921,1 %, 1690 MHz, 41, 7.16 W
1788685161.293971332,1 %, 1690 MHz, 41, 7.16 W
1788685161.395085340,1 %, 1690 MHz, 41, 7.16 W
1788685161.495061191,1 %, 1690 MHz, 41, 7.19 W
1788685161.595401857,1 %, 1690 MHz, 41, 7.19 W
1788685161.695967066,1 %, 1690 MHz, 41, 7.19 W
1788685161.796933890,1 %, 1690 MHz, 41, 7.19 W
1788685161.896708333,1 %, 1690 MHz, 41, 7.19 W
1788685161.997488294,1 %, 1690 MHz, 41, 7.16 W
1788685162.097536641,1 %, 1690 MHz, 41, 7.16 W
1788685162.197841196,1 %, 1690 MHz, 41, 7.16 W
1788685162.298562326,1 %, 1690 MHz, 41, 7.16 W
1788685162.399014304,1 %, 1690 MHz, 41, 7.16 W
1788685162.499457978,1 %, 1690 MHz, 41, 7.12 W
1788685162.600316468,1 %, 1690 MHz, 41, 7.12 W
1788685162.700635310,1 %, 1690 MHz, 41, 7.12 W
1788685162.800855721,1 %, 1690 MHz, 41, 7.12 W
1788685162.900900884,1 %, 1690 MHz, 41, 7.12 W
1788685163.001280623,1 %, 1690 MHz, 41, 7.11 W
1788685163.102238840,1 %, 1690 MHz, 41, 7.11 W
1788685163.202662739,1 %, 1690 MHz, 41, 7.11 W
1788685163.302985487,1 %, 1690 MHz, 41, 7.11 W
1788685163.402996139,1 %, 1690 MHz, 41, 7.11 W
1788685163.504055396,1 %, 1690 MHz, 41, 7.09 W
1788685163.604125600,1 %, 1690 MHz, 41, 7.09 W
1788685163.704765963,1 %, 1690 MHz, 41, 7.09 W
1788685163.804635991,1 %, 1690 MHz, 41, 7.09 W
1788685163.904828562,1 %, 1690 MHz, 41, 7.09 W
1788685164.006002012,1 %, 1690 MHz, 41, 7.09 W
1788685164.105615673,1 %, 1690 MHz, 41, 7.09 W
1788685164.206485940,1 %, 1690 MHz, 41, 7.09 W
1788685164.306341009,1 %, 1690 MHz, 41, 7.09 W
1788685164.407121004,1 %, 1690 MHz, 41, 7.09 W
1788685164.507850071,1 %, 1690 MHz, 41, 7.10 W
1788685164.608265843,1 %, 1690 MHz, 41, 7.10 W
1788685164.708640686,1 %, 1690 MHz, 41, 7.10 W
1788685164.808863323,1 %, 1690 MHz, 41, 7.10 W
1788685164.909596598,1 %, 1690 MHz, 41, 7.10 W
1788685165.009938178,2 %, 1690 MHz, 41, 7.14 W
1788685165.110321822,2 %, 1690 MHz, 41, 7.14 W
1788685165.210730347,2 %, 1690 MHz, 41, 7.14 W
1788685165.311453286,2 %, 1690 MHz, 41, 7.14 W
1788685165.411733779,2 %, 1690 MHz, 41, 7.14 W
1788685165.512046448,2 %, 1690 MHz, 41, 7.10 W
1788685165.612439596,2 %, 1690 MHz, 41, 7.10 W
1788685165.713122408,2 %, 1690 MHz, 41, 7.10 W
1788685165.813232693,2 %, 1690 MHz, 41, 7.10 W
1788685165.913865409,2 %, 1690 MHz, 41, 7.10 W
1788685166.013924638,1 %, 1690 MHz, 41, 7.06 W
1788685166.114868954,1 %, 1690 MHz, 41, 7.06 W
1788685166.215119336,1 %, 1690 MHz, 41, 7.06 W
1788685166.315453653,1 %, 1690 MHz, 41, 7.06 W
1788685166.415871058,1 %, 1690 MHz, 41, 7.06 W
1788685166.516619231,1 %, 1690 MHz, 41, 7.10 W
1788685166.616952684,1 %, 1690 MHz, 41, 7.10 W
1788685166.717333769,1 %, 1690 MHz, 41, 7.10 W
1788685166.817632982,1 %, 1690 MHz, 41, 7.10 W
1788685166.918364963,1 %, 1690 MHz, 41, 7.10 W
1788685167.018673808,1 %, 1690 MHz, 41, 7.10 W
1788685167.119135134,1 %, 1690 MHz, 41, 7.10 W
1788685167.219545692,1 %, 1690 MHz, 41, 7.10 W
1788685167.320245817,1 %, 1690 MHz, 41, 7.10 W
1788685167.420677783,1 %, 1690 MHz, 41, 7.10 W
1788685167.520821221,1 %, 1690 MHz, 41, 7.06 W
1788685167.621679570,1 %, 1690 MHz, 41, 7.06 W
1788685167.722066160,1 %, 1690 MHz, 41, 7.06 W
1788685167.822034639,1 %, 1690 MHz, 41, 7.06 W
1788685167.922207469,1 %, 1690 MHz, 41, 7.06 W
1788685168.022871146,1 %, 1690 MHz, 41, 7.08 W
1788685168.123534616,1 %, 1690 MHz, 41, 7.08 W
1788685168.223916007,1 %, 1690 MHz, 41, 7.08 W
1788685168.324359413,1 %, 1690 MHz, 41, 7.08 W
1788685168.424753748,1 %, 1690 MHz, 41, 7.08 W
1788685168.525411282,1 %, 1690 MHz, 41, 7.07 W
1788685168.625732977,1 %, 1690 MHz, 41, 7.07 W
1788685168.725973183,1 %, 1690 MHz, 41, 7.07 W
1788685168.826488046,1 %, 1690 MHz, 41, 7.07 W
1788685168.927112412,1 %, 1690 MHz, 41, 7.07 W
1788685169.027378059,1 %, 1690 MHz, 41, 7.07 W
1788685169.127792250,1 %, 1690 MHz, 41, 7.07 W
1788685169.228140041,1 %, 1690 MHz, 41, 7.07 W
1788685169.328863560,1 %, 1690 MHz, 41, 7.07 W
1788685169.429087159,1 %, 1690 MHz, 41, 7.07 W
1788685169.529397143,1 %, 1690 MHz, 41, 7.06 W
1788685169.629556054,1 %, 1690 MHz, 41, 7.06 W
1788685169.729853206,1 %, 1690 MHz, 41, 7.06 W
1788685169.828967304,1 %, 1690 MHz, 41, 7.06 W
1788685169.929353687,1 %, 1690 MHz, 41, 7.06 W
1788685170.029646518,2 %, 1690 MHz, 41, 7.02 W
1788685170.130005126,2 %, 1690 MHz, 41, 7.02 W
1788685170.230815701,2 %, 1690 MHz, 41, 7.02 W
1788685170.331149141,2 %, 1690 MHz, 41, 7.02 W
1788685170.431132406,2 %, 1690 MHz, 41, 7.02 W
1788685170.531557558,2 %, 1690 MHz, 42, 8.35 W
1788685170.632246181,2 %, 1690 MHz, 42, 8.35 W
1788685170.732572037,2 %, 1690 MHz, 42, 8.35 W
1788685170.832739734,2 %, 1690 MHz, 42, 8.35 W
1788685170.933257029,2 %, 1690 MHz, 42, 8.35 W
1788685171.033748693,0 %, 1690 MHz, 41, 8.37 W
1788685171.134649429,0 %, 1690 MHz, 41, 8.37 W
1788685171.234752982,0 %, 1690 MHz, 41, 8.37 W
1788685171.335030119,0 %, 1690 MHz, 41, 8.37 W
1788685171.435759975,0 %, 1690 MHz, 41, 8.37 W
1788685171.535961672,0 %, 1690 MHz, 42, 10.98 W
1788685171.637531126,0 %, 1690 MHz, 42, 10.98 W
1788685171.738330389,0 %, 1690 MHz, 42, 10.98 W
1788685171.838391479,0 %, 1690 MHz, 42, 10.98 W
1788685171.937839577,0 %, 1690 MHz, 42, 10.98 W
1788685172.037998299,39 %, 1690 MHz, 41, 13.86 W
1788685172.138721355,39 %, 1690 MHz, 41, 13.86 W
1788685172.239381772,39 %, 1690 MHz, 41, 13.86 W
1788685172.339771885,39 %, 1690 MHz, 41, 13.86 W
1788685172.440141342,39 %, 1690 MHz, 41, 13.86 W
1788685172.539856353,39 %, 1690 MHz, 45, 20.67 W
1788685172.640120675,39 %, 1690 MHz, 45, 20.67 W
1788685172.740615284,39 %, 1690 MHz, 45, 20.67 W
1788685172.840368694,39 %, 1690 MHz, 45, 20.67 W
1788685172.940984087,39 %, 1690 MHz, 45, 20.67 W
1788685173.041176121,23 %, 1690 MHz, 42, 19.79 W
1788685173.141825722,23 %, 1690 MHz, 42, 19.79 W
1788685173.242015341,23 %, 1690 MHz, 42, 19.79 W
1788685173.343553644,23 %, 1690 MHz, 42, 19.79 W
1788685173.444206398,23 %, 1690 MHz, 42, 19.79 W
1788685173.544588448,23 %, 1690 MHz, 43, 15.98 W
1788685173.644339027,23 %, 1690 MHz, 43, 15.98 W
1788685173.744548421,23 %, 1690 MHz, 43, 15.98 W
1788685173.846384148,23 %, 1690 MHz, 43, 15.98 W
1788685173.946452407,23 %, 1690 MHz, 43, 15.98 W
1788685174.047250040,83 %, 1690 MHz, 43, 20.94 W
1788685174.147586411,83 %, 1690 MHz, 43, 20.94 W
1788685174.247987310,83 %, 1690 MHz, 43, 20.94 W
1788685174.348773519,83 %, 1690 MHz, 43, 20.94 W
1788685174.449077794,83 %, 1690 MHz, 43, 20.94 W
1788685174.549505429,83 %, 1690 MHz, 44, 21.19 W
1788685174.649087273,83 %, 1690 MHz, 44, 21.19 W
1788685174.749731211,83 %, 1690 MHz, 44, 21.19 W
1788685174.850304077,83 %, 1690 MHz, 44, 21.19 W
1788685174.950636032,83 %, 1690 MHz, 44, 21.19 W
1788685175.051006771,92 %, 1690 MHz, 45, 23.69 W
1788685175.151065031,92 %, 1690 MHz, 45, 23.69 W
1788685175.251435034,92 %, 1690 MHz, 45, 23.69 W
1788685175.351580638,92 %, 1690 MHz, 45, 23.69 W
1788685175.453146079,92 %, 1690 MHz, 45, 23.69 W
1788685175.553533410,92 %, 1690 MHz, 44, 23.05 W
1788685175.654377861,92 %, 1690 MHz, 44, 23.05 W
1788685175.754535257,92 %, 1690 MHz, 44, 23.05 W
1788685175.854922156,92 %, 1690 MHz, 44, 23.05 W
1788685175.955365919,92 %, 1690 MHz, 44, 23.05 W
1788685176.056248418,86 %, 1690 MHz, 44, 20.34 W
1788685176.156366390,86 %, 1690 MHz, 44, 20.34 W
1788685176.256136091,86 %, 1690 MHz, 44, 20.34 W
1788685176.356755359,86 %, 1690 MHz, 44, 20.34 W
1788685176.457973569,86 %, 1690 MHz, 44, 20.34 W
1788685176.558345957,86 %, 1690 MHz, 44, 21.02 W
1788685176.659078281,86 %, 1690 MHz, 44, 21.02 W
1788685176.759406157,86 %, 1690 MHz, 44, 21.02 W
1788685176.859983424,86 %, 1690 MHz, 44, 21.02 W
1788685176.959503398,86 %, 1690 MHz, 44, 21.02 W
1788685177.059787531,84 %, 1690 MHz, 44, 20.01 W
1788685177.160404175,84 %, 1690 MHz, 44, 20.01 W
1788685177.260725988,84 %, 1690 MHz, 44, 20.01 W
1788685177.361072808,84 %, 1690 MHz, 44, 20.01 W
1788685177.462109436,84 %, 1690 MHz, 44, 20.01 W
1788685177.562752752,84 %, 1690 MHz, 42, 13.15 W
1788685177.663431300,84 %, 1690 MHz, 42, 13.15 W
1788685177.763551481,84 %, 1690 MHz, 42, 13.15 W
1788685177.864225373,84 %, 1690 MHz, 42, 13.15 W
1788685177.965080497,84 %, 1690 MHz, 42, 13.15 W
