1788673866.072655626,0 %, 208 MHz, 37, 4.78 W
1788673866.173742344,0 %, 208 MHz, 37, 4.79 W
1788673866.274046616,0 %, 208 MHz, 37, 4.79 W
1788673866.373968314,0 %, 208 MHz, 37, 4.79 W
1788673866.473740972,0 %, 208 MHz, 37, 4.79 W
1788673866.574804185,0 %, 208 MHz, 37, 4.79 W
1788673866.675726087,0 %, 1644 MHz, 38, 7.55 W
1788673866.776027207,0 %, 1644 MHz, 38, 7.55 W
1788673866.876314519,0 %, 1644 MHz, 38, 7.55 W
1788673866.975930602,0 %, 1644 MHz, 38, 7.55 W
1788673867.076184650,0 %, 1644 MHz, 38, 7.55 W
1788673867.177122936,0 %, 2411 MHz, 38, 10.81 W
1788673867.276931883,0 %, 2411 MHz, 38, 10.81 W
1788673867.378110008,0 %, 2411 MHz, 38, 10.81 W
1788673867.478788599,0 %, 2411 MHz, 38, 10.81 W
1788673867.579432822,0 %, 2411 MHz, 38, 10.81 W
1788673867.679879398,0 %, 2411 MHz, 38, 11.35 W
1788673867.780527925,0 %, 2411 MHz, 38, 11.35 W
1788673867.880556247,0 %, 2411 MHz, 38, 11.35 W
1788673867.981329414,0 %, 2411 MHz, 38, 11.35 W
1788673868.080742682,0 %, 2411 MHz, 38, 11.35 W
1788673868.181750696,0 %, 2411 MHz, 38, 11.24 W
1788673868.281959066,0 %, 2411 MHz, 38, 11.24 W
1788673868.381627149,0 %, 2411 MHz, 38, 11.24 W
1788673868.482712971,0 %, 2411 MHz, 38, 11.24 W
1788673868.583048252,0 %, 2411 MHz, 38, 11.24 W
1788673868.684114298,0 %, 2411 MHz, 38, 11.24 W
1788673868.783414543,0 %, 2411 MHz, 38, 11.24 W
1788673868.884664589,0 %, 2411 MHz, 38, 11.24 W
1788673868.985121261,0 %, 2411 MHz, 38, 11.24 W
1788673869.084656578,0 %, 2411 MHz, 38, 11.24 W
1788673869.185939903,0 %, 2411 MHz, 38, 11.46 W
1788673869.286150257,0 %, 2411 MHz, 38, 11.46 W
1788673869.386843137,0 %, 2411 MHz, 38, 11.46 W
1788673869.487506785,0 %, 2411 MHz, 38, 11.46 W
1788673869.588168514,0 %, 2411 MHz, 38, 11.46 W
1788673869.687648262,0 %, 2411 MHz, 38, 11.52 W
1788673869.788636965,0 %, 2411 MHz, 38, 11.52 W
1788673869.888983543,0 %, 2411 MHz, 38, 11.52 W
1788673869.989549943,0 %, 2411 MHz, 38, 11.52 W
1788673870.088706253,0 %, 2411 MHz, 38, 11.52 W
1788673870.189628717,0 %, 2411 MHz, 38, 11.27 W
1788673870.290371038,0 %, 2411 MHz, 38, 11.27 W
1788673870.390934063,0 %, 2411 MHz, 38, 11.27 W
1788673870.491727919,0 %, 2411 MHz, 38, 11.27 W
1788673870.591926513,0 %, 2411 MHz, 38, 11.27 W
1788673870.692570066,0 %, 2411 MHz, 38, 11.16 W
1788673870.793406178,0 %, 2411 MHz, 38, 11.16 W
1788673870.893680324,0 %, 2411 MHz, 38, 11.16 W
1788673870.994379013,0 %, 2411 MHz, 38, 11.16 W
1788673871.093563259,0 %, 2411 MHz, 38, 11.16 W
1788673871.194618779,0 %, 2411 MHz, 38, 11.16 W
1788673871.295330940,0 %, 2411 MHz, 38, 11.16 W
1788673871.396007421,0 %, 2411 MHz, 38, 11.16 W
1788673871.496659614,0 %, 2411 MHz, 38, 11.16 W
1788673871.596950225,0 %, 2411 MHz, 38, 11.16 W
1788673871.697612402,0 %, 2411 MHz, 38, 11.17 W
1788673871.798321779,0 %, 2411 MHz, 38, 11.17 W
1788673871.898398567,0 %, 2411 MHz, 38, 11.17 W
1788673871.999218743,0 %, 2411 MHz, 38, 11.17 W
1788673872.098533710,0 %, 2411 MHz, 38, 11.17 W
1788673872.199889149,0 %, 2411 MHz, 38, 11.17 W
1788673872.300566111,0 %, 2411 MHz, 38, 11.17 W
1788673872.401080401,0 %, 2411 MHz, 38, 11.17 W
1788673872.502175281,0 %, 2411 MHz, 38, 11.17 W
1788673872.602801267,0 %, 2411 MHz, 38, 11.17 W
1788673872.703542724,0 %, 2411 MHz, 38, 11.18 W
1788673872.804140198,0 %, 2411 MHz, 38, 11.18 W
1788673872.904900151,0 %, 2411 MHz, 38, 11.18 W
1788673873.005212314,0 %, 2411 MHz, 38, 11.18 W
1788673873.104537730,0 %, 2411 MHz, 38, 11.18 W
1788673873.205875969,0 %, 2411 MHz, 38, 11.19 W
1788673873.305603767,0 %, 2411 MHz, 38, 11.19 W
1788673873.406408857,0 %, 2411 MHz, 38, 11.19 W
1788673873.507069051,0 %, 2411 MHz, 38, 11.19 W
1788673873.607509102,0 %, 2411 MHz, 38, 11.19 W
1788673873.707966721,0 %, 2411 MHz, 38, 11.18 W
1788673873.808993682,0 %, 2411 MHz, 38, 11.18 W
1788673873.909265349,0 %, 2411 MHz, 38, 11.18 W
1788673874.009589689,0 %, 2411 MHz, 38, 11.18 W
1788673874.109032080,0 %, 2411 MHz, 38, 11.18 W
1788673874.210454176,0 %, 2411 MHz, 38, 11.19 W
1788673874.310934787,0 %, 2411 MHz, 38, 11.19 W
1788673874.411854085,0 %, 2411 MHz, 38, 11.19 W
1788673874.511983066,0 %, 2411 MHz, 38, 11.19 W
1788673874.611469025,0 %, 2411 MHz, 38, 11.19 W
1788673874.713217407,0 %, 2411 MHz, 38, 11.20 W
1788673874.813466596,0 %, 2411 MHz, 38, 11.20 W
1788673874.913794968,0 %, 2411 MHz, 38, 11.20 W
1788673875.014044556,0 %, 2411 MHz, 38, 11.20 W
1788673875.113610723,0 %, 2411 MHz, 38, 11.20 W
1788673875.214796565,0 %, 2411 MHz, 38, 11.18 W
1788673875.315048265,0 %, 2411 MHz, 38, 11.18 W
1788673875.416094539,0 %, 2411 MHz, 38, 11.18 W
1788673875.516038017,0 %, 2411 MHz, 38, 11.18 W
1788673875.617157250,0 %, 2411 MHz, 38, 11.18 W
1788673875.716832329,0 %, 2411 MHz, 38, 11.17 W
1788673875.817815147,0 %, 2411 MHz, 38, 11.17 W
1788673875.918102720,0 %, 2411 MHz, 38, 11.17 W
1788673876.018795043,0 %, 2411 MHz, 38, 11.17 W
1788673876.118182332,0 %, 2411 MHz, 38, 11.17 W
1788673876.220129674,0 %, 2411 MHz, 39, 11.19 W
1788673876.319313988,0 %, 2411 MHz, 39, 11.19 W
1788673876.419184746,0 %, 2411 MHz, 39, 11.19 W
1788673876.520096397,0 %, 2411 MHz, 39, 11.19 W
1788673876.620271475,0 %, 2411 MHz, 39, 11.19 W
1788673876.721324005,0 %, 2411 MHz, 39, 11.20 W
1788673876.822183912,0 %, 2411 MHz, 39, 11.20 W
1788673876.922910059,0 %, 2411 MHz, 39, 11.20 W
1788673877.021865141,0 %, 2411 MHz, 39, 11.20 W
1788673877.122338618,0 %, 2411 MHz, 39, 11.20 W
1788673877.223351597,0 %, 2411 MHz, 39, 11.20 W
1788673877.323373844,0 %, 2411 MHz, 39, 11.20 W
1788673877.423357035,0 %, 2411 MHz, 39, 11.20 W
1788673877.524887004,0 %, 2411 MHz, 39, 11.20 W
1788673877.625287969,0 %, 2411 MHz, 39, 11.20 W
1788673877.725373527,0 %, 2411 MHz, 39, 11.20 W
1788673877.826519081,0 %, 2411 MHz, 39, 11.20 W
1788673877.926536064,0 %, 2411 MHz, 39, 11.20 W
1788673878.026333512,0 %, 2411 MHz, 39, 11.20 W
1788673878.125959104,0 %, 2411 MHz, 39, 11.20 W
1788673878.227430834,0 %, 2411 MHz, 39, 11.18 W
1788673878.327296521,0 %, 2411 MHz, 39, 11.18 W
1788673878.426691299,0 %, 2411 MHz, 39, 11.18 W
1788673878.528147653,0 %, 2411 MHz, 39, 11.18 W
1788673878.628875737,0 %, 2411 MHz, 39, 11.18 W
1788673878.729537566,0 %, 2411 MHz, 39, 11.19 W
1788673878.830194739,0 %, 2411 MHz, 39, 11.19 W
1788673878.930363625,0 %, 2411 MHz, 39, 11.19 W
1788673879.030732511,0 %, 2411 MHz, 39, 11.19 W
1788673879.130105673,0 %, 2411 MHz, 39, 11.19 W
1788673879.231432764,0 %, 2411 MHz, 39, 11.22 W
1788673879.332349824,0 %, 2411 MHz, 39, 11.22 W
1788673879.432231976,0 %, 2411 MHz, 39, 11.22 W
1788673879.532135392,0 %, 2411 MHz, 39, 11.22 W
1788673879.631790713,0 %, 2411 MHz, 39, 11.23 W
1788673879.732471518,0 %, 2411 MHz, 39, 11.23 W
1788673879.833228851,0 %, 2411 MHz, 39, 11.23 W
1788673879.933354634,0 %, 2411 MHz, 39, 11.23 W
1788673880.033835904,0 %, 2411 MHz, 39, 11.23 W
1788673880.133663049,0 %, 2411 MHz, 39, 11.25 W
1788673880.234432974,0 %, 2411 MHz, 39, 11.25 W
1788673880.335121860,0 %, 2411 MHz, 39, 11.25 W
1788673880.435607610,0 %, 2411 MHz, 39, 11.25 W
1788673880.536013777,0 %, 2411 MHz, 39, 11.25 W
1788673880.637374612,0 %, 2411 MHz, 39, 11.24 W
1788673880.736983454,0 %, 2411 MHz, 39, 11.24 W
1788673880.837494628,0 %, 2411 MHz, 39, 11.24 W
1788673880.937871083,0 %, 2411 MHz, 39, 11.24 W
1788673881.038837327,0 %, 2411 MHz, 39, 11.24 W
1788673881.138588153,0 %, 2411 MHz, 39, 11.25 W
1788673881.239737789,0 %, 2411 MHz, 39, 11.25 W
1788673881.339505095,0 %, 2411 MHz, 39, 11.25 W
1788673881.440210525,0 %, 2411 MHz, 39, 11.25 W
1788673881.540613732,0 %, 2411 MHz, 39, 11.25 W
1788673881.641168474,0 %, 2411 MHz, 39, 11.23 W
1788673881.741764817,0 %, 2411 MHz, 39, 11.23 W
1788673881.842239656,0 %, 2411 MHz, 39, 11.23 W
1788673881.942663087,0 %, 2411 MHz, 39, 11.23 W
1788673882.043765748,0 %, 2411 MHz, 39, 11.23 W
1788673882.143728429,0 %, 2411 MHz, 39, 11.23 W
1788673882.244693458,0 %, 2411 MHz, 39, 11.23 W
1788673882.345092522,0 %, 2411 MHz, 39, 11.23 W
1788673882.445856736,0 %, 2411 MHz, 39, 11.23 W
1788673882.546265352,0 %, 2411 MHz, 39, 11.23 W
1788673882.646647808,0 %, 2411 MHz, 39, 11.24 W
1788673882.747161975,0 %, 2411 MHz, 39, 11.24 W
1788673882.847807438,0 %, 2411 MHz, 39, 11.24 W
1788673882.948257221,0 %, 2411 MHz, 39, 11.24 W
1788673883.048651053,0 %, 2411 MHz, 39, 11.24 W
1788673883.148147976,0 %, 2411 MHz, 39, 11.24 W
1788673883.249841500,0 %, 2411 MHz, 39, 11.24 W
1788673883.351523807,0 %, 2411 MHz, 39, 11.24 W
1788673883.450762204,0 %, 2411 MHz, 39, 11.24 W
1788673883.551265155,0 %, 2411 MHz, 39, 11.24 W
1788673883.651700971,0 %, 2411 MHz, 39, 11.24 W
1788673883.752014084,0 %, 2411 MHz, 39, 11.24 W
1788673883.852757131,0 %, 2411 MHz, 39, 11.24 W
1788673883.953153507,0 %, 2411 MHz, 39, 11.24 W
1788673884.053622475,0 %, 2411 MHz, 39, 11.24 W
1788673884.154344226,0 %, 2411 MHz, 39, 11.26 W
1788673884.254666875,0 %, 2411 MHz, 39, 11.26 W
1788673884.355163588,0 %, 2411 MHz, 39, 11.26 W
1788673884.455867163,0 %, 2411 MHz, 39, 11.26 W
1788673884.556837218,0 %, 2411 MHz, 39, 11.26 W
1788673884.657166635,0 %, 2411 MHz, 39, 11.27 W
1788673884.757585747,0 %, 2411 MHz, 39, 11.27 W
1788673884.858052011,0 %, 2411 MHz, 39, 11.27 W
1788673884.958696403,0 %, 2411 MHz, 39, 11.27 W
1788673885.059173228,0 %, 2411 MHz, 39, 11.27 W
1788673885.159051671,0 %, 2411 MHz, 41, 12.60 W
1788673885.259741775,0 %, 2411 MHz, 41, 12.60 W
1788673885.361017493,0 %, 2411 MHz, 41, 12.60 W
1788673885.461618364,0 %, 2411 MHz, 41, 12.60 W
1788673885.561555064,0 %, 2411 MHz, 41, 12.60 W
1788673885.662059057,0 %, 2411 MHz, 39, 14.45 W
1788673885.762449898,0 %, 2411 MHz, 39, 14.45 W
1788673885.863144593,0 %, 2411 MHz, 39, 14.45 W
1788673885.963171692,0 %, 2411 MHz, 39, 14.45 W
1788673886.063511287,0 %, 2411 MHz, 39, 14.45 W
1788673886.163647921,0 %, 2411 MHz, 39, 13.56 W
1788673886.264962119,0 %, 2411 MHz, 39, 13.56 W
1788673886.364741379,0 %, 2411 MHz, 39, 13.56 W
1788673886.466625655,0 %, 2411 MHz, 39, 13.56 W
1788673886.566115620,0 %, 2411 MHz, 39, 13.56 W
1788673886.667654265,35 %, 2405 MHz, 42, 18.53 W
1788673886.768538001,35 %, 2405 MHz, 42, 18.53 W
1788673886.868759307,35 %, 2405 MHz, 42, 18.53 W
1788673886.967808186,35 %, 2405 MHz, 42, 18.53 W
1788673887.068043445,35 %, 2405 MHz, 42, 18.53 W
1788673887.167616818,35 %, 2411 MHz, 40, 24.01 W
1788673887.268534618,35 %, 2411 MHz, 40, 24.01 W
1788673887.369266707,35 %, 2411 MHz, 40, 24.01 W
1788673887.469774493,35 %, 2411 MHz, 40, 24.01 W
1788673887.570272630,35 %, 2411 MHz, 40, 24.01 W
1788673887.670979711,96 %, 2405 MHz, 47, 36.38 W
1788673887.771220586,96 %, 2405 MHz, 47, 36.38 W
1788673887.871609716,96 %, 2405 MHz, 47, 36.38 W
1788673887.972299469,96 %, 2405 MHz, 47, 36.38 W
1788673888.072678072,96 %, 2405 MHz, 47, 36.38 W
1788673888.174238814,96 %, 2405 MHz, 40, 38.60 W
1788673888.274708328,96 %, 2405 MHz, 40, 38.60 W
1788673888.374887188,96 %, 2405 MHz, 40, 38.60 W
1788673888.475091487,96 %, 2405 MHz, 40, 38.60 W
1788673888.575506234,96 %, 2405 MHz, 40, 38.60 W
1788673888.675865108,0 %, 2392 MHz, 41, 37.59 W
1788673888.777540602,0 %, 2392 MHz, 41, 37.59 W
1788673888.877327463,0 %, 2392 MHz, 41, 37.59 W
1788673888.977578514,0 %, 2392 MHz, 41, 37.59 W
1788673889.079229688,0 %, 2392 MHz, 41, 37.59 W
1788673889.179485076,0 %, 2405 MHz, 48, 43.59 W
1788673889.279206498,0 %, 2405 MHz, 48, 43.59 W
1788673889.379587741,0 %, 2405 MHz, 48, 43.59 W
1788673889.480918452,0 %, 2405 MHz, 48, 43.59 W
1788673889.580527650,0 %, 2405 MHz, 48, 43.59 W
1788673889.681072701,0 %, 2398 MHz, 41, 36.28 W
1788673889.781883638,0 %, 2398 MHz, 41, 36.28 W
1788673889.882990623,0 %, 2398 MHz, 41, 36.28 W
1788673889.982681773,0 %, 2398 MHz, 41, 36.28 W
1788673890.083758774,0 %, 2398 MHz, 41, 36.28 W
1788673890.183939922,0 %, 2392 MHz, 42, 41.70 W
1788673890.284585517,0 %, 2392 MHz, 42, 41.70 W
1788673890.385318727,0 %, 2392 MHz, 42, 41.70 W
1788673890.485531059,0 %, 2392 MHz, 42, 41.70 W
1788673890.586133054,0 %, 2392 MHz, 42, 41.70 W
1788673890.685994796,3 %, 2411 MHz, 41, 29.33 W
1788673890.786784086,3 %, 2411 MHz, 41, 29.33 W
1788673890.887376768,3 %, 2411 MHz, 41, 29.33 W
1788673890.987640684,3 %, 2411 MHz, 41, 29.33 W
1788673891.088287816,3 %, 2411 MHz, 41, 29.33 W
1788673891.187695399,3 %, 2411 MHz, 41, 11.47 W
1788673891.288503362,3 %, 2411 MHz, 41, 11.47 W
1788673891.389854090,3 %, 2411 MHz, 41, 11.47 W
1788673891.489646233,3 %, 2411 MHz, 41, 11.47 W
1788673891.589809302,3 %, 2411 MHz, 41, 11.47 W
1788673891.690591568,0 %, 2405 MHz, 42, 20.56 W
1788673891.790705229,0 %, 2405 MHz, 42, 20.56 W
1788673891.891129737,0 %, 2405 MHz, 42, 20.56 W
1788673891.991110023,0 %, 2405 MHz, 42, 20.56 W
1788673892.091061237,0 %, 2405 MHz, 42, 20.56 W
1788673892.191282418,0 %, 2392 MHz, 42, 40.33 W
1788673892.291227056,0 %, 2392 MHz, 42, 40.33 W
1788673892.392380250,0 %, 2392 MHz, 42, 40.33 W
1788673892.492381848,0 %, 2392 MHz, 42, 40.33 W
1788673892.592406022,0 %, 2392 MHz, 42, 40.33 W
1788673892.692538804,27 %, 2405 MHz, 43, 43.06 W
1788673892.793027248,27 %, 2405 MHz, 43, 43.06 W
1788673892.893569244,27 %, 2405 MHz, 43, 43.06 W
1788673892.993951528,27 %, 2405 MHz, 43, 43.06 W
1788673893.093464249,27 %, 2405 MHz, 43, 43.06 W
1788673893.193834806,27 %, 2398 MHz, 44, 43.14 W
1788673893.293718517,27 %, 2398 MHz, 44, 43.14 W
1788673893.394949919,27 %, 2398 MHz, 44, 43.14 W
1788673893.495004733,27 %, 2398 MHz, 44, 43.14 W
1788673893.594996395,27 %, 2398 MHz, 44, 43.14 W
1788673893.694814251,96 %, 2411 MHz, 50, 44.73 W
1788673893.794970457,96 %, 2411 MHz, 50, 44.73 W
1788673893.895921603,96 %, 2411 MHz, 50, 44.73 W
1788673893.995890306,96 %, 2411 MHz, 50, 44.73 W
1788673894.096434127,96 %, 2411 MHz, 50, 44.73 W
1788673894.196327486,96 %, 2405 MHz, 42, 29.58 W
1788673894.296173422,96 %, 2405 MHz, 42, 29.58 W
1788673894.397095945,96 %, 2405 MHz, 42, 29.58 W
1788673894.497433735,96 %, 2405 MHz, 42, 29.58 W
1788673894.597686805,96 %, 2405 MHz, 42, 29.58 W
1788673894.697869475,3 %, 2411 MHz, 41, 16.77 W
1788673894.797913154,3 %, 2411 MHz, 41, 16.77 W
1788673894.899369436,3 %, 2411 MHz, 41, 16.77 W
1788673894.998155279,3 %, 2411 MHz, 41, 16.77 W
1788673895.098376606,3 %, 2411 MHz, 41, 16.77 W
1788673895.197804352,3 %, 2411 MHz, 42, 16.15 W
1788673895.299891895,3 %, 2411 MHz, 42, 16.15 W
1788673895.399680967,3 %, 2411 MHz, 42, 16.15 W
1788673895.498883946,3 %, 2411 MHz, 42, 16.15 W
1788673895.601682575,3 %, 2411 MHz, 42, 16.15 W
1788673895.701391056,27 %, 2405 MHz, 44, 24.38 W
1788673895.800606818,27 %, 2405 MHz, 44, 24.38 W
1788673895.901617101,27 %, 2405 MHz, 44, 24.38 W
1788673896.001982332,27 %, 2405 MHz, 44, 24.38 W
1788673896.101643965,27 %, 2405 MHz, 44, 24.38 W
1788673896.203019576,27 %, 2405 MHz, 43, 27.53 W
1788673896.303834181,27 %, 2405 MHz, 43, 27.53 W
1788673896.403597765,27 %, 2405 MHz, 43, 27.53 W
1788673896.505186383,27 %, 2405 MHz, 43, 27.53 W
1788673896.605853517,27 %, 2405 MHz, 43, 27.53 W
1788673896.704796433,96 %, 2405 MHz, 46, 28.92 W
1788673896.806699610,96 %, 2405 MHz, 46, 28.92 W
1788673896.907200616,96 %, 2405 MHz, 46, 28.92 W
1788673897.005198607,96 %, 2405 MHz, 46, 28.92 W
1788673897.107394151,96 %, 2405 MHz, 46, 28.92 W
1788673897.208012965,96 %, 2405 MHz, 42, 27.50 W
1788673897.307422856,96 %, 2405 MHz, 42, 27.50 W
1788673897.408888067,96 %, 2405 MHz, 42, 27.50 W
1788673897.510218623,96 %, 2405 MHz, 42, 27.50 W
1788673897.609305602,96 %, 2405 MHz, 42, 27.50 W
1788673897.710713550,26 %, 2405 MHz, 43, 26.67 W
1788673897.810366447,26 %, 2405 MHz, 43, 26.67 W
1788673897.910412735,26 %, 2405 MHz, 43, 26.67 W
1788673898.011775931,26 %, 2405 MHz, 43, 26.67 W
1788673898.111303645,26 %, 2405 MHz, 43, 26.67 W
1788673898.210719968,26 %, 2405 MHz, 46, 29.47 W
1788673898.312534619,26 %, 2405 MHz, 46, 29.47 W
1788673898.412128813,26 %, 2405 MHz, 46, 29.47 W
1788673898.512962539,26 %, 2405 MHz, 46, 29.47 W
1788673898.614300791,26 %, 2405 MHz, 46, 29.47 W
1788673898.713929097,22 %, 2405 MHz, 45, 27.55 W
1788673898.813209421,22 %, 2405 MHz, 45, 27.55 W
1788673898.915543621,22 %, 2405 MHz, 45, 27.55 W
1788673899.014833864,22 %, 2405 MHz, 45, 27.55 W
1788673899.115307384,22 %, 2405 MHz, 45, 27.55 W
1788673899.215305577,22 %, 2405 MHz, 43, 26.48 W
1788673899.316198023,22 %, 2405 MHz, 43, 26.48 W
1788673899.416756103,22 %, 2405 MHz, 43, 26.48 W
1788673899.518979600,22 %, 2405 MHz, 43, 26.48 W
1788673899.616882185,22 %, 2405 MHz, 43, 26.48 W
1788673899.717833351,96 %, 2405 MHz, 47, 28.70 W
1788673899.820657070,96 %, 2405 MHz, 47, 28.70 W
1788673899.918785558,96 %, 2405 MHz, 47, 28.70 W
1788673900.019940099,96 %, 2405 MHz, 47, 28.70 W
1788673900.119907125,96 %, 2405 MHz, 47, 28.70 W
1788673900.221291394,96 %, 2405 MHz, 45, 28.18 W
1788673900.321281092,96 %, 2405 MHz, 45, 28.18 W
1788673900.423957980,96 %, 2405 MHz, 45, 28.18 W
1788673900.522583507,96 %, 2405 MHz, 45, 28.18 W
1788673900.622244390,96 %, 2405 MHz, 45, 28.18 W
1788673900.724557647,13 %, 2405 MHz, 43, 25.68 W
1788673900.823697684,13 %, 2405 MHz, 43, 25.68 W
1788673900.924319204,13 %, 2405 MHz, 43, 25.68 W
1788673901.024929555,13 %, 2405 MHz, 43, 25.68 W
1788673901.124207192,13 %, 2405 MHz, 43, 25.68 W
1788673901.225180183,13 %, 2405 MHz, 47, 28.73 W
1788673901.327050370,13 %, 2405 MHz, 47, 28.73 W
1788673901.426290487,13 %, 2405 MHz, 47, 28.73 W
1788673901.526833064,13 %, 2405 MHz, 47, 28.73 W
1788673901.627902134,13 %, 2405 MHz, 47, 28.73 W
1788673901.726677229,39 %, 2405 MHz, 46, 28.56 W
1788673901.827704395,39 %, 2405 MHz, 46, 28.56 W
1788673901.928347195,39 %, 2405 MHz, 46, 28.56 W
1788673902.028907164,39 %, 2405 MHz, 46, 28.56 W
1788673902.128742223,39 %, 2405 MHz, 46, 28.56 W
1788673902.228928769,39 %, 2398 MHz, 43, 25.78 W
1788673902.328787253,39 %, 2398 MHz, 43, 25.78 W
1788673902.429356757,39 %, 2398 MHz, 43, 25.78 W
1788673902.530516644,39 %, 2398 MHz, 43, 25.78 W
1788673902.629180075,39 %, 2398 MHz, 43, 25.78 W
1788673902.730007227,95 %, 2405 MHz, 47, 28.47 W
1788673902.832507093,95 %, 2405 MHz, 47, 28.47 W
1788673902.930914381,95 %, 2405 MHz, 47, 28.47 W
1788673903.032096316,95 %, 2405 MHz, 47, 28.47 W
1788673903.132363230,95 %, 2405 MHz, 47, 28.47 W
1788673903.231457701,95 %, 2405 MHz, 45, 28.75 W
1788673903.332266693,95 %, 2405 MHz, 45, 28.75 W
1788673903.434888271,95 %, 2405 MHz, 45, 28.75 W
1788673903.532827881,95 %, 2405 MHz, 45, 28.75 W
1788673903.633591274,95 %, 2405 MHz, 45, 28.75 W
1788673903.736629650,0 %, 2398 MHz, 44, 25.79 W
1788673903.834721340,0 %, 2398 MHz, 44, 25.79 W
1788673903.935258301,0 %, 2398 MHz, 44, 25.79 W
1788673904.037430585,0 %, 2398 MHz, 44, 25.79 W
1788673904.136708735,0 %, 2405 MHz, 47, 28.34 W
1788673904.236527252,0 %, 2405 MHz, 47, 28.34 W
1788673904.338366417,0 %, 2405 MHz, 47, 28.34 W
1788673904.437025705,0 %, 2405 MHz, 47, 28.34 W
1788673904.537455003,0 %, 2405 MHz, 47, 28.34 W
1788673904.638724075,50 %, 2405 MHz, 46, 28.98 W
1788673904.737855809,50 %, 2405 MHz, 46, 28.98 W
1788673904.837806837,50 %, 2405 MHz, 46, 28.98 W
1788673904.938762901,50 %, 2405 MHz, 46, 28.98 W
1788673905.039094888,50 %, 2405 MHz, 46, 28.98 W
1788673905.139907001,50 %, 2398 MHz, 44, 25.75 W
1788673905.241386664,50 %, 2398 MHz, 44, 25.75 W
1788673905.340146401,50 %, 2398 MHz, 44, 25.75 W
1788673905.441158705,50 %, 2398 MHz, 44, 25.75 W
1788673905.541687716,50 %, 2398 MHz, 44, 25.75 W
1788673905.640965898,82 %, 2398 MHz, 45, 28.00 W
1788673905.742281290,82 %, 2398 MHz, 45, 28.00 W
1788673905.841700208,82 %, 2398 MHz, 45, 28.00 W
1788673905.941032231,82 %, 2398 MHz, 45, 28.00 W
1788673906.043159171,82 %, 2398 MHz, 45, 28.00 W
1788673906.143419383,82 %, 2398 MHz, 46, 29.31 W
1788673906.243040013,82 %, 2398 MHz, 46, 29.31 W
1788673906.344281853,82 %, 2398 MHz, 46, 29.31 W
1788673906.445335406,82 %, 2398 MHz, 46, 29.31 W
1788673906.544094647,82 %, 2398 MHz, 46, 29.31 W
1788673906.645638374,0 %, 2398 MHz, 44, 25.85 W
1788673906.746954822,0 %, 2398 MHz, 44, 25.85 W
1788673906.844978530,0 %, 2398 MHz, 44, 25.85 W
1788673906.947246174,0 %, 2398 MHz, 44, 25.85 W
1788673907.045393018,0 %, 2398 MHz, 44, 25.85 W
1788673907.146757834,0 %, 2398 MHz, 46, 27.90 W
1788673907.246992846,0 %, 2398 MHz, 46, 27.90 W
1788673907.348077775,0 %, 2398 MHz, 46, 27.90 W
1788673907.447341159,0 %, 2398 MHz, 46, 27.90 W
1788673907.549197894,0 %, 2398 MHz, 46, 27.90 W
1788673907.649326826,57 %, 2398 MHz, 47, 29.33 W
1788673907.748121108,57 %, 2398 MHz, 47, 29.33 W
1788673907.849785491,57 %, 2398 MHz, 47, 29.33 W
1788673907.949688440,57 %, 2398 MHz, 47, 29.33 W
1788673908.048316434,57 %, 2398 MHz, 47, 29.33 W
1788673908.150436368,57 %, 2398 MHz, 44, 25.84 W
1788673908.249447753,57 %, 2398 MHz, 44, 25.84 W
1788673908.349550015,57 %, 2398 MHz, 44, 25.84 W
1788673908.449701444,57 %, 2398 MHz, 44, 25.84 W
1788673908.550418519,57 %, 2398 MHz, 44, 25.84 W
1788673908.649653135,77 %, 2398 MHz, 46, 27.92 W
1788673908.751133231,77 %, 2398 MHz, 46, 27.92 W
1788673908.851242196,77 %, 2398 MHz, 46, 27.92 W
1788673908.951327882,77 %, 2398 MHz, 46, 27.92 W
1788673909.054112885,77 %, 2398 MHz, 46, 27.92 W
1788673909.152676049,77 %, 2398 MHz, 47, 29.50 W
1788673909.252722071,77 %, 2398 MHz, 47, 29.50 W
1788673909.354873909,77 %, 2398 MHz, 47, 29.50 W
1788673909.455814311,77 %, 2398 MHz, 47, 29.50 W
1788673909.555058640,77 %, 2398 MHz, 47, 29.50 W
1788673909.656460369,0 %, 2398 MHz, 44, 26.17 W
1788673909.756518807,0 %, 2398 MHz, 44, 26.17 W
1788673909.856025647,0 %, 2398 MHz, 44, 26.17 W
1788673909.958467932,0 %, 2398 MHz, 44, 26.17 W
1788673910.058664194,0 %, 2398 MHz, 44, 26.17 W
1788673910.157548604,0 %, 2398 MHz, 47, 27.79 W
1788673910.259622347,0 %, 2398 MHz, 47, 27.79 W
1788673910.361064732,0 %, 2398 MHz, 47, 27.79 W
1788673910.459411289,0 %, 2398 MHz, 47, 27.79 W
1788673910.561613256,0 %, 2398 MHz, 47, 27.79 W
1788673910.662435483,63 %, 2398 MHz, 47, 29.50 W
1788673910.760916711,63 %, 2398 MHz, 47, 29.50 W
1788673910.862436968,63 %, 2398 MHz, 47, 29.50 W
1788673910.963156076,63 %, 2398 MHz, 47, 29.50 W
1788673911.062491333,63 %, 2398 MHz, 47, 29.50 W
1788673911.165372194,63 %, 2398 MHz, 44, 26.33 W
1788673911.263654703,63 %, 2398 MHz, 44, 26.33 W
