1788673866.094953452,0 %, 2398 MHz, 40, 11.88 W
1788673866.195536494,0 %, 2398 MHz, 40, 11.88 W
1788673866.296317237,0 %, 2398 MHz, 40, 11.88 W
1788673866.396467564,0 %, 2398 MHz, 40, 11.88 W
1788673866.496273387,0 %, 2398 MHz, 40, 11.88 W
1788673866.596431875,0 %, 2398 MHz, 40, 11.89 W
1788673866.697422767,0 %, 2398 MHz, 40, 11.89 W
1788673866.798170309,0 %, 2398 MHz, 40, 11.89 W
1788673866.897859281,0 %, 2398 MHz, 40, 11.89 W
1788673866.998789308,0 %, 2398 MHz, 40, 11.89 W
1788673867.098042460,0 %, 2398 MHz, 40, 11.86 W
1788673867.198720701,0 %, 2398 MHz, 40, 11.86 W
1788673867.298513386,0 %, 2398 MHz, 40, 11.86 W
1788673867.399608167,0 %, 2398 MHz, 40, 11.86 W
1788673867.499953553,0 %, 2398 MHz, 40, 11.86 W
1788673867.601019260,0 %, 2411 MHz, 40, 12.11 W
1788673867.700301821,0 %, 2411 MHz, 40, 12.11 W
1788673867.801437546,0 %, 2411 MHz, 40, 12.11 W
1788673867.901598366,0 %, 2411 MHz, 40, 12.11 W
1788673868.001553680,0 %, 2411 MHz, 40, 12.11 W
1788673868.102728413,0 %, 2398 MHz, 40, 12.12 W
1788673868.203118214,0 %, 2398 MHz, 40, 12.12 W
1788673868.303378375,0 %, 2398 MHz, 40, 12.12 W
1788673868.403341994,0 %, 2398 MHz, 40, 12.12 W
1788673868.503732083,0 %, 2398 MHz, 40, 12.12 W
1788673868.603724947,0 %, 2398 MHz, 40, 11.83 W
1788673868.703376538,0 %, 2398 MHz, 40, 11.83 W
1788673868.803653216,0 %, 2398 MHz, 40, 11.83 W
1788673868.904950495,0 %, 2398 MHz, 40, 11.83 W
1788673869.005539197,0 %, 2398 MHz, 40, 11.83 W
1788673869.106374351,0 %, 2398 MHz, 40, 11.88 W
1788673869.207343908,0 %, 2398 MHz, 40, 11.88 W
1788673869.307944288,0 %, 2398 MHz, 40, 11.88 W
1788673869.408805682,0 %, 2398 MHz, 40, 11.88 W
1788673869.509362717,0 %, 2398 MHz, 40, 11.88 W
1788673869.610265617,0 %, 2405 MHz, 40, 11.87 W
1788673869.710867517,0 %, 2405 MHz, 40, 11.87 W
1788673869.812171610,0 %, 2405 MHz, 40, 11.87 W
1788673869.912190552,0 %, 2405 MHz, 40, 11.87 W
1788673870.013063850,0 %, 2405 MHz, 40, 11.87 W
1788673870.114042189,0 %, 2398 MHz, 40, 11.80 W
1788673870.214785867,0 %, 2398 MHz, 40, 11.80 W
1788673870.315451590,0 %, 2398 MHz, 40, 11.80 W
1788673870.415990639,0 %, 2398 MHz, 40, 11.80 W
1788673870.516902384,0 %, 2398 MHz, 40, 11.80 W
1788673870.617595773,0 %, 2398 MHz, 40, 11.82 W
1788673870.718784501,0 %, 2398 MHz, 40, 11.82 W
1788673870.818975253,0 %, 2398 MHz, 40, 11.82 W
1788673870.919826421,0 %, 2398 MHz, 40, 11.82 W
1788673871.020795064,0 %, 2398 MHz, 40, 11.82 W
1788673871.121511762,0 %, 2398 MHz, 40, 11.83 W
1788673871.222482835,0 %, 2398 MHz, 40, 11.83 W
1788673871.323095324,0 %, 2398 MHz, 40, 11.83 W
1788673871.424003707,0 %, 2398 MHz, 40, 11.83 W
1788673871.525112655,0 %, 2398 MHz, 40, 11.83 W
1788673871.626817458,0 %, 2398 MHz, 41, 11.86 W
1788673871.726777082,0 %, 2398 MHz, 41, 11.86 W
1788673871.826725426,0 %, 2398 MHz, 41, 11.86 W
1788673871.927650306,0 %, 2398 MHz, 41, 11.86 W
1788673872.028261306,0 %, 2398 MHz, 41, 11.86 W
1788673872.129223752,1 %, 2405 MHz, 41, 11.89 W
1788673872.229776573,1 %, 2405 MHz, 41, 11.89 W
1788673872.330952241,1 %, 2405 MHz, 41, 11.89 W
1788673872.431924160,1 %, 2405 MHz, 41, 11.89 W
1788673872.532148892,1 %, 2405 MHz, 41, 11.89 W
1788673872.633201869,1 %, 2398 MHz, 41, 11.87 W
1788673872.733428074,1 %, 2398 MHz, 41, 11.87 W
1788673872.834383769,1 %, 2398 MHz, 41, 11.87 W
1788673872.934985343,1 %, 2398 MHz, 41, 11.87 W
1788673873.035894411,1 %, 2398 MHz, 41, 11.87 W
1788673873.136901401,1 %, 2398 MHz, 41, 11.85 W
1788673873.237352457,1 %, 2398 MHz, 41, 11.85 W
1788673873.338344134,1 %, 2398 MHz, 41, 11.85 W
1788673873.438198312,1 %, 2398 MHz, 41, 11.85 W
1788673873.539042098,1 %, 2398 MHz, 41, 11.85 W
1788673873.639502018,1 %, 2405 MHz, 41, 11.85 W
1788673873.740320459,1 %, 2405 MHz, 41, 11.85 W
1788673873.840294720,1 %, 2405 MHz, 41, 11.85 W
1788673873.941437985,1 %, 2405 MHz, 41, 11.85 W
1788673874.042020291,1 %, 2405 MHz, 41, 11.85 W
1788673874.142934509,1 %, 2405 MHz, 41, 11.88 W
