1788674064.888653097,0 %, 208 MHz, 48, 5.70 W
1788674064.989784698,0 %, 208 MHz, 48, 5.70 W
1788674065.090545068,0 %, 208 MHz, 48, 5.70 W
1788674065.190492881,0 %, 208 MHz, 48, 5.70 W
1788674065.291340595,0 %, 208 MHz, 49, 6.90 W
1788674065.392001670,0 %, 208 MHz, 49, 6.90 W
1788674065.492463097,0 %, 208 MHz, 49, 6.90 W
1788674065.592161950,0 %, 208 MHz, 49, 6.90 W
1788674065.693730430,0 %, 2405 MHz, 49, 10.16 W
1788674065.794171009,0 %, 2405 MHz, 49, 10.16 W
1788674065.893755159,0 %, 2405 MHz, 49, 10.16 W
1788674065.994712265,0 %, 2405 MHz, 49, 10.16 W
1788674066.095328716,0 %, 2405 MHz, 49, 10.16 W
1788674066.195380737,0 %, 2405 MHz, 49, 12.59 W
1788674066.296199955,0 %, 2405 MHz, 49, 12.59 W
1788674066.395918617,0 %, 2405 MHz, 49, 12.59 W
1788674066.496034173,0 %, 2405 MHz, 49, 12.59 W
1788674066.596933424,0 %, 2405 MHz, 49, 12.59 W
1788674066.697742482,0 %, 2405 MHz, 49, 12.60 W
1788674066.798254693,0 %, 2405 MHz, 49, 12.60 W
1788674066.898021147,0 %, 2405 MHz, 49, 12.60 W
1788674066.999493627,0 %, 2405 MHz, 49, 12.60 W
1788674067.098362964,0 %, 2405 MHz, 49, 12.60 W
1788674067.199817925,0 %, 2405 MHz, 49, 12.39 W
1788674067.300041322,0 %, 2405 MHz, 49, 12.39 W
1788674067.399583488,0 %, 2405 MHz, 49, 12.39 W
1788674067.500810866,0 %, 2405 MHz, 49, 12.39 W
1788674067.601721812,0 %, 2405 MHz, 49, 12.39 W
1788674067.701934825,28 %, 2405 MHz, 49, 12.48 W
1788674067.802510556,28 %, 2405 MHz, 49, 12.48 W
1788674067.901392325,28 %, 2405 MHz, 49, 12.48 W
1788674068.003191509,28 %, 2405 MHz, 49, 12.48 W
1788674068.103231082,28 %, 2405 MHz, 49, 12.48 W
1788674068.204282077,28 %, 2405 MHz, 49, 12.65 W
1788674068.304337858,28 %, 2405 MHz, 49, 12.65 W
1788674068.405239429,28 %, 2405 MHz, 49, 12.65 W
1788674068.505463226,28 %, 2405 MHz, 49, 12.65 W
1788674068.606636652,28 %, 2405 MHz, 49, 12.65 W
1788674068.706626610,0 %, 2405 MHz, 48, 12.46 W
1788674068.807310997,0 %, 2405 MHz, 48, 12.46 W
1788674068.907541050,0 %, 2405 MHz, 48, 12.46 W
1788674069.008089438,0 %, 2405 MHz, 48, 12.46 W
1788674069.108219460,0 %, 2405 MHz, 48, 12.46 W
1788674069.208955032,0 %, 2405 MHz, 48, 12.25 W
1788674069.309676811,0 %, 2405 MHz, 48, 12.25 W
1788674069.409439106,0 %, 2405 MHz, 48, 12.25 W
1788674069.510334853,0 %, 2405 MHz, 48, 12.25 W
1788674069.610586330,0 %, 2405 MHz, 48, 12.25 W
1788674069.711643741,0 %, 2405 MHz, 48, 12.24 W
1788674069.812236849,0 %, 2405 MHz, 48, 12.24 W
1788674069.911535497,0 %, 2405 MHz, 48, 12.24 W
1788674070.012908603,0 %, 2405 MHz, 48, 12.24 W
1788674070.113296064,0 %, 2405 MHz, 48, 12.24 W
1788674070.213401990,0 %, 2405 MHz, 48, 12.24 W
1788674070.314273370,0 %, 2405 MHz, 48, 12.24 W
1788674070.414486784,0 %, 2405 MHz, 48, 12.24 W
1788674070.514881221,0 %, 2405 MHz, 48, 12.24 W
1788674070.615407898,0 %, 2405 MHz, 48, 12.24 W
1788674070.716107422,0 %, 2405 MHz, 48, 12.23 W
1788674070.816461459,0 %, 2405 MHz, 48, 12.23 W
1788674070.916341737,0 %, 2405 MHz, 48, 12.23 W
1788674071.017145901,0 %, 2405 MHz, 48, 12.23 W
1788674071.117394083,0 %, 2405 MHz, 48, 12.23 W
1788674071.218232471,0 %, 2405 MHz, 48, 12.22 W
1788674071.318791292,0 %, 2405 MHz, 48, 12.22 W
1788674071.418427476,0 %, 2405 MHz, 48, 12.22 W
1788674071.519194840,0 %, 2405 MHz, 48, 12.22 W
1788674071.620129388,0 %, 2405 MHz, 48, 12.22 W
1788674071.719946179,0 %, 2405 MHz, 48, 12.20 W
1788674071.821021735,0 %, 2405 MHz, 48, 12.20 W
1788674071.920279648,0 %, 2405 MHz, 48, 12.20 W
1788674072.021914305,0 %, 2405 MHz, 48, 12.20 W
1788674072.122127688,0 %, 2405 MHz, 48, 12.20 W
1788674072.222761389,0 %, 2405 MHz, 48, 12.19 W
1788674072.323438098,0 %, 2405 MHz, 48, 12.19 W
1788674072.422991754,0 %, 2405 MHz, 48, 12.19 W
1788674072.524240573,0 %, 2405 MHz, 48, 12.19 W
1788674072.624335268,0 %, 2405 MHz, 48, 12.19 W
1788674072.725204872,0 %, 2405 MHz, 48, 12.19 W
1788674072.825493342,0 %, 2405 MHz, 48, 12.19 W
1788674072.926500418,0 %, 2405 MHz, 48, 12.19 W
1788674073.026369722,0 %, 2405 MHz, 48, 12.19 W
1788674073.127384606,0 %, 2405 MHz, 48, 12.19 W
1788674073.227451349,0 %, 2405 MHz, 48, 12.19 W
1788674073.328315674,0 %, 2405 MHz, 48, 12.19 W
1788674073.428146818,0 %, 2405 MHz, 48, 12.19 W
1788674073.528944695,0 %, 2405 MHz, 48, 12.19 W
1788674073.629886603,0 %, 2405 MHz, 48, 12.19 W
1788674073.730102546,0 %, 2405 MHz, 48, 12.19 W
1788674073.830756359,0 %, 2405 MHz, 48, 12.19 W
1788674073.930380063,0 %, 2405 MHz, 48, 12.19 W
1788674074.031651619,0 %, 2405 MHz, 48, 12.19 W
1788674074.132251625,0 %, 2405 MHz, 48, 12.19 W
1788674074.232974222,0 %, 2405 MHz, 48, 12.19 W
1788674074.333241349,0 %, 2405 MHz, 48, 12.19 W
1788674074.433497516,0 %, 2405 MHz, 48, 12.19 W
1788674074.534522465,0 %, 2405 MHz, 48, 12.19 W
1788674074.634458920,0 %, 2405 MHz, 48, 12.19 W
1788674074.735395405,0 %, 2405 MHz, 48, 12.19 W
1788674074.835520837,0 %, 2405 MHz, 48, 12.19 W
1788674074.935621980,0 %, 2405 MHz, 48, 12.19 W
1788674075.036356353,0 %, 2405 MHz, 48, 12.19 W
1788674075.135969738,0 %, 2405 MHz, 48, 12.19 W
1788674075.237042719,0 %, 2405 MHz, 48, 12.18 W
1788674075.337725141,0 %, 2405 MHz, 48, 12.18 W
1788674075.437901773,0 %, 2405 MHz, 48, 12.18 W
1788674075.538193684,0 %, 2405 MHz, 48, 12.18 W
1788674075.639223049,0 %, 2405 MHz, 48, 12.18 W
1788674075.739891695,0 %, 2405 MHz, 48, 12.16 W
1788674075.840187766,0 %, 2405 MHz, 48, 12.16 W
1788674075.939402480,0 %, 2405 MHz, 48, 12.16 W
1788674076.041510466,0 %, 2405 MHz, 48, 12.16 W
1788674076.141309531,0 %, 2405 MHz, 48, 12.16 W
1788674076.242321360,0 %, 2405 MHz, 48, 12.15 W
1788674076.342344696,0 %, 2405 MHz, 48, 12.15 W
1788674076.443017087,0 %, 2405 MHz, 48, 12.15 W
1788674076.543434406,0 %, 2405 MHz, 48, 12.15 W
1788674076.644423067,0 %, 2405 MHz, 48, 12.15 W
1788674076.744284180,0 %, 2405 MHz, 47, 12.17 W
1788674076.844707835,0 %, 2405 MHz, 47, 12.17 W
1788674076.945109762,0 %, 2405 MHz, 47, 12.17 W
1788674077.045497065,0 %, 2405 MHz, 47, 12.17 W
1788674077.144891380,0 %, 2405 MHz, 47, 12.17 W
1788674077.246469240,0 %, 2405 MHz, 47, 12.16 W
1788674077.347327326,0 %, 2405 MHz, 47, 12.16 W
1788674077.447541670,0 %, 2405 MHz, 47, 12.16 W
1788674077.547939741,0 %, 2405 MHz, 47, 12.16 W
1788674077.648461300,0 %, 2405 MHz, 47, 12.16 W
1788674077.749527322,0 %, 2405 MHz, 47, 12.16 W
