1788674064.910155153,0 %, 2411 MHz, 51, 13.50 W
1788674065.011525054,0 %, 2411 MHz, 51, 13.50 W
1788674065.112730661,0 %, 2411 MHz, 51, 13.50 W
1788674065.213063001,0 %, 2411 MHz, 51, 13.50 W
1788674065.314084444,0 %, 2411 MHz, 51, 13.50 W
1788674065.414139469,0 %, 2411 MHz, 51, 13.50 W
1788674065.514590914,0 %, 2411 MHz, 51, 13.50 W
1788674065.615025194,0 %, 2411 MHz, 51, 13.50 W
1788674065.715718310,0 %, 2411 MHz, 51, 13.34 W
1788674065.815839303,0 %, 2411 MHz, 51, 13.34 W
1788674065.916477010,0 %, 2411 MHz, 51, 13.34 W
1788674066.016793975,0 %, 2411 MHz, 51, 13.34 W
1788674066.117478612,0 %, 2411 MHz, 51, 13.34 W
1788674066.217983737,0 %, 2411 MHz, 51, 13.22 W
1788674066.319051819,0 %, 2411 MHz, 51, 13.22 W
1788674066.419095065,0 %, 2411 MHz, 51, 13.22 W
1788674066.520093181,0 %, 2411 MHz, 51, 13.22 W
1788674066.620406142,0 %, 2411 MHz, 51, 13.22 W
1788674066.720985640,0 %, 2411 MHz, 51, 13.23 W
1788674066.821826040,0 %, 2411 MHz, 51, 13.23 W
1788674066.921905028,0 %, 2411 MHz, 51, 13.23 W
1788674067.022186581,0 %, 2411 MHz, 51, 13.23 W
1788674067.122625722,0 %, 2411 MHz, 51, 13.23 W
1788674067.223396485,0 %, 2411 MHz, 51, 12.97 W
1788674067.323609445,0 %, 2411 MHz, 51, 12.97 W
1788674067.424129419,0 %, 2411 MHz, 51, 12.97 W
1788674067.524773715,0 %, 2411 MHz, 51, 12.97 W
1788674067.624723854,0 %, 2411 MHz, 51, 12.97 W
1788674067.725540346,0 %, 2411 MHz, 50, 13.07 W
1788674067.825858780,0 %, 2411 MHz, 50, 13.07 W
1788674067.926324129,0 %, 2411 MHz, 50, 13.07 W
1788674068.027106028,0 %, 2411 MHz, 50, 13.07 W
1788674068.127861861,0 %, 2411 MHz, 50, 13.07 W
1788674068.228027139,0 %, 2411 MHz, 50, 13.09 W
1788674068.328659514,0 %, 2411 MHz, 50, 13.09 W
1788674068.429384355,0 %, 2411 MHz, 50, 13.09 W
