1788674260.898697709,0 %, 208 MHz, 50, 5.55 W
1788674260.999826839,0 %, 208 MHz, 50, 5.55 W
1788674261.100544897,0 %, 208 MHz, 50, 5.55 W
1788674261.201222620,0 %, 208 MHz, 50, 5.55 W
1788674261.302301222,0 %, 208 MHz, 50, 5.55 W
1788674261.403083264,0 %, 208 MHz, 50, 5.55 W
1788674261.503708955,0 %, 208 MHz, 50, 5.55 W
1788674261.603973927,0 %, 208 MHz, 50, 5.55 W
1788674261.703919524,0 %, 208 MHz, 50, 5.55 W
1788674261.805066781,0 %, 2405 MHz, 50, 10.65 W
1788674261.905031609,0 %, 2405 MHz, 50, 10.65 W
1788674262.005827892,0 %, 2405 MHz, 50, 10.65 W
1788674262.106739470,0 %, 2405 MHz, 50, 10.65 W
1788674262.207389337,0 %, 2405 MHz, 50, 10.65 W
1788674262.308255540,0 %, 2405 MHz, 50, 11.83 W
1788674262.408616288,0 %, 2405 MHz, 50, 11.83 W
1788674262.509652954,0 %, 2405 MHz, 50, 11.83 W
1788674262.610255077,0 %, 2405 MHz, 50, 11.83 W
1788674262.710601056,0 %, 2405 MHz, 50, 11.83 W
1788674262.811217708,0 %, 2405 MHz, 50, 12.82 W
1788674262.911092729,0 %, 2405 MHz, 50, 12.82 W
1788674263.011970403,0 %, 2405 MHz, 50, 12.82 W
1788674263.112892302,0 %, 2405 MHz, 50, 12.82 W
1788674263.213099946,0 %, 2405 MHz, 50, 12.82 W
1788674263.313971157,0 %, 2405 MHz, 50, 12.61 W
1788674263.414489728,0 %, 2405 MHz, 50, 12.61 W
1788674263.515312827,0 %, 2405 MHz, 50, 12.61 W
1788674263.616144534,0 %, 2405 MHz, 50, 12.61 W
1788674263.716774881,0 %, 2405 MHz, 50, 12.61 W
1788674263.817394780,27 %, 2405 MHz, 50, 12.72 W
1788674263.917267978,27 %, 2405 MHz, 50, 12.72 W
1788674264.018508788,27 %, 2405 MHz, 50, 12.72 W
1788674264.119363855,27 %, 2405 MHz, 50, 12.72 W
1788674264.219977562,27 %, 2405 MHz, 50, 12.72 W
1788674264.320853173,27 %, 2405 MHz, 50, 12.95 W
1788674264.421531552,27 %, 2405 MHz, 50, 12.95 W
1788674264.522227756,27 %, 2405 MHz, 50, 12.95 W
1788674264.621991833,27 %, 2405 MHz, 50, 12.95 W
