1788674260.923502952,0 %, 2411 MHz, 52, 13.86 W
1788674261.025083684,0 %, 2411 MHz, 52, 13.86 W
1788674261.125291839,0 %, 2411 MHz, 52, 13.86 W
1788674261.226228680,0 %, 2411 MHz, 52, 13.89 W
1788674261.326934718,0 %, 2411 MHz, 52, 13.89 W
1788674261.426866006,0 %, 2411 MHz, 52, 13.89 W
1788674261.529111304,0 %, 2411 MHz, 52, 13.89 W
1788674261.627862795,0 %, 2411 MHz, 52, 13.89 W
1788674261.728516753,0 %, 2411 MHz, 52, 13.68 W
1788674261.829130709,0 %, 2411 MHz, 52, 13.68 W
1788674261.930880159,0 %, 2411 MHz, 52, 13.68 W
1788674262.029499423,0 %, 2411 MHz, 52, 13.68 W
1788674262.130921138,0 %, 2411 MHz, 52, 13.68 W
1788674262.232506631,0 %, 2418 MHz, 52, 13.60 W
1788674262.331579235,0 %, 2418 MHz, 52, 13.60 W
1788674262.432071876,0 %, 2418 MHz, 52, 13.60 W
1788674262.533961263,0 %, 2418 MHz, 52, 13.60 W
1788674262.633216712,0 %, 2418 MHz, 52, 13.60 W
1788674262.734062624,0 %, 2411 MHz, 52, 13.57 W
1788674262.835038202,0 %, 2411 MHz, 52, 13.57 W
1788674262.935909425,0 %, 2411 MHz, 52, 13.57 W
1788674263.036561316,0 %, 2411 MHz, 52, 13.57 W
1788674263.136810752,0 %, 2411 MHz, 52, 13.57 W
1788674263.237340002,0 %, 2411 MHz, 52, 13.29 W
1788674263.338036071,0 %, 2411 MHz, 52, 13.29 W
1788674263.437749257,0 %, 2411 MHz, 52, 13.29 W
1788674263.538755315,0 %, 2411 MHz, 52, 13.29 W
1788674263.639449303,0 %, 2411 MHz, 52, 13.29 W
1788674263.739199530,0 %, 2411 MHz, 52, 13.36 W
1788674263.840253493,0 %, 2411 MHz, 52, 13.36 W
1788674263.940989978,0 %, 2411 MHz, 52, 13.36 W
1788674264.041153220,0 %, 2411 MHz, 52, 13.36 W
1788674264.141446320,0 %, 2411 MHz, 52, 13.36 W
1788674264.241829357,0 %, 2411 MHz, 52, 13.34 W
1788674264.342814358,0 %, 2411 MHz, 52, 13.34 W
1788674264.443037793,0 %, 2411 MHz, 52, 13.34 W
1788674264.543652483,0 %, 2411 MHz, 52, 13.34 W
1788674264.644348278,0 %, 2411 MHz, 52, 13.34 W
1788674264.745028793,0 %, 2411 MHz, 52, 13.27 W
1788674264.845777885,0 %, 2411 MHz, 52, 13.27 W
1788674264.944783362,0 %, 2411 MHz, 52, 13.27 W
1788674265.045638391,0 %, 2411 MHz, 52, 13.27 W
1788674265.144844110,0 %, 2411 MHz, 52, 13.27 W
1788674265.245182426,1 %, 2411 MHz, 51, 13.27 W
1788674265.345383283,1 %, 2411 MHz, 51, 13.27 W
1788674265.445507307,1 %, 2411 MHz, 51, 13.27 W
1788674265.545120106,1 %, 2411 MHz, 51, 13.27 W
1788674265.645535207,1 %, 2411 MHz, 51, 13.27 W
1788674265.746953447,1 %, 2411 MHz, 51, 13.26 W
1788674265.847036430,1 %, 2411 MHz, 51, 13.26 W
1788674265.947776241,1 %, 2411 MHz, 51, 13.26 W
1788674266.048208478,1 %, 2411 MHz, 51, 13.26 W
1788674266.149144372,1 %, 2411 MHz, 51, 13.26 W
1788674266.249455342,1 %, 2411 MHz, 51, 13.25 W
1788674266.348716517,1 %, 2411 MHz, 51, 13.25 W
1788674266.449131425,1 %, 2411 MHz, 51, 13.25 W
1788674266.549155254,1 %, 2411 MHz, 51, 13.25 W
1788674266.650166046,1 %, 2411 MHz, 51, 13.25 W
1788674266.750940577,1 %, 2411 MHz, 51, 13.21 W
1788674266.851400270,1 %, 2411 MHz, 51, 13.21 W
1788674266.952148016,1 %, 2411 MHz, 51, 13.21 W
1788674267.052254870,1 %, 2411 MHz, 51, 13.21 W
1788674267.153041128,1 %, 2411 MHz, 51, 13.21 W
1788674267.253904908,1 %, 2411 MHz, 51, 13.09 W
1788674267.354230822,1 %, 2411 MHz, 51, 13.09 W
1788674267.454783060,1 %, 2411 MHz, 51, 13.09 W
1788674267.554892633,1 %, 2411 MHz, 51, 13.09 W
1788674267.655301652,1 %, 2411 MHz, 51, 13.09 W
1788674267.755675263,1 %, 2411 MHz, 51, 12.99 W
1788674267.856410816,1 %, 2411 MHz, 51, 12.99 W
1788674267.956892797,1 %, 2411 MHz, 51, 12.99 W
1788674268.057262327,1 %, 2411 MHz, 51, 12.99 W
1788674268.157356939,1 %, 2411 MHz, 51, 12.99 W
