1788674444.685172708,0 %, 2398 MHz, 54, 14.07 W
1788674444.787279182,0 %, 2398 MHz, 54, 14.10 W
1788674444.887554521,0 %, 2398 MHz, 54, 14.10 W
1788674444.988565120,0 %, 2398 MHz, 54, 14.10 W
1788674445.088495442,0 %, 2398 MHz, 54, 14.10 W
1788674445.188111827,0 %, 2398 MHz, 54, 14.10 W
1788674445.289417693,0 %, 2398 MHz, 54, 14.09 W
1788674445.390044335,0 %, 2398 MHz, 54, 14.09 W
1788674445.491435049,0 %, 2398 MHz, 54, 14.09 W
1788674445.591101148,0 %, 2398 MHz, 54, 14.09 W
1788674445.691607258,0 %, 2398 MHz, 54, 14.09 W
1788674445.791355067,0 %, 2398 MHz, 55, 13.84 W
1788674445.892874600,0 %, 2398 MHz, 55, 13.84 W
1788674445.993432809,0 %, 2398 MHz, 55, 13.84 W
1788674446.093768497,0 %, 2398 MHz, 55, 13.84 W
1788674446.193963260,0 %, 2398 MHz, 55, 13.84 W
1788674446.295156101,0 %, 2398 MHz, 54, 13.80 W
1788674446.395470288,0 %, 2398 MHz, 54, 13.80 W
1788674446.496488802,0 %, 2398 MHz, 54, 13.80 W
1788674446.596745150,0 %, 2398 MHz, 54, 13.80 W
1788674446.696157337,0 %, 2398 MHz, 54, 13.80 W
1788674446.796792616,0 %, 2398 MHz, 54, 13.48 W
1788674446.896415670,0 %, 2398 MHz, 54, 13.48 W
1788674446.996299673,0 %, 2398 MHz, 54, 13.48 W
1788674447.097550067,0 %, 2398 MHz, 54, 13.48 W
1788674447.198047183,0 %, 2398 MHz, 54, 13.48 W
1788674447.297228949,0 %, 2398 MHz, 54, 13.51 W
1788674447.398328252,0 %, 2398 MHz, 54, 13.51 W
1788674447.498157149,0 %, 2398 MHz, 54, 13.51 W
1788674447.598356869,0 %, 2398 MHz, 54, 13.51 W
1788674447.698836801,0 %, 2398 MHz, 54, 13.51 W
1788674447.798046951,0 %, 2398 MHz, 54, 13.58 W
1788674447.898334256,0 %, 2398 MHz, 54, 13.58 W
1788674447.998083728,0 %, 2398 MHz, 54, 13.58 W
1788674448.098451418,0 %, 2398 MHz, 54, 13.58 W
1788674448.198713506,0 %, 2398 MHz, 54, 13.58 W
1788674448.300182366,0 %, 2398 MHz, 54, 13.54 W
1788674448.399903053,0 %, 2398 MHz, 54, 13.54 W
1788674448.500495514,0 %, 2398 MHz, 54, 13.54 W
1788674448.600791922,0 %, 2398 MHz, 54, 13.54 W
1788674448.701047194,0 %, 2398 MHz, 54, 13.54 W
1788674448.801223537,0 %, 2398 MHz, 53, 13.44 W
1788674448.901467400,0 %, 2398 MHz, 53, 13.44 W
1788674449.001641151,0 %, 2398 MHz, 53, 13.44 W
1788674449.101960679,0 %, 2398 MHz, 53, 13.44 W
1788674449.202193757,0 %, 2398 MHz, 53, 13.44 W
1788674449.302420340,1 %, 2398 MHz, 53, 13.45 W
1788674449.402617898,1 %, 2398 MHz, 53, 13.45 W
1788674449.502947042,1 %, 2398 MHz, 53, 13.45 W
1788674449.602108535,1 %, 2398 MHz, 53, 13.45 W
1788674449.702221051,1 %, 2398 MHz, 53, 13.45 W
1788674449.802303872,1 %, 2398 MHz, 53, 13.47 W
1788674449.903524087,1 %, 2398 MHz, 53, 13.47 W
1788674450.003882208,1 %, 2398 MHz, 53, 13.47 W
1788674450.104085557,1 %, 2398 MHz, 53, 13.47 W
1788674450.204305707,1 %, 2398 MHz, 53, 13.47 W
1788674450.304493952,1 %, 2398 MHz, 53, 13.47 W
1788674450.404681782,1 %, 2398 MHz, 53, 13.47 W
1788674450.505255649,1 %, 2398 MHz, 53, 13.47 W
1788674450.605424774,1 %, 2398 MHz, 53, 13.47 W
1788674450.705597531,1 %, 2398 MHz, 53, 13.47 W
1788674450.805874498,1 %, 2398 MHz, 53, 13.48 W
1788674450.906069720,1 %, 2398 MHz, 53, 13.48 W
1788674451.006204908,1 %, 2398 MHz, 53, 13.48 W
1788674451.106444497,1 %, 2398 MHz, 53, 13.48 W
1788674451.206568629,1 %, 2398 MHz, 53, 13.48 W
1788674451.306792778,1 %, 2398 MHz, 53, 13.47 W
1788674451.407127889,1 %, 2398 MHz, 53, 13.47 W
1788674451.507232916,1 %, 2398 MHz, 53, 13.47 W
1788674451.607462794,1 %, 2398 MHz, 53, 13.47 W
1788674451.707610414,1 %, 2398 MHz, 53, 13.47 W
