1788674769.375053705,0 %, 208 MHz, 59, 6.35 W
1788674769.476235329,0 %, 208 MHz, 59, 6.35 W
1788674769.576688185,0 %, 208 MHz, 59, 6.35 W
1788674769.677520720,0 %, 208 MHz, 59, 6.35 W
1788674769.777856247,0 %, 208 MHz, 59, 6.35 W
1788674769.878014334,0 %, 208 MHz, 59, 6.35 W
1788674769.978673221,0 %, 2392 MHz, 59, 9.33 W
1788674770.078529181,0 %, 2392 MHz, 59, 9.33 W
1788674770.179068435,0 %, 2392 MHz, 59, 9.33 W
1788674770.280852904,0 %, 2392 MHz, 59, 9.33 W
1788674770.380654784,0 %, 2392 MHz, 59, 9.33 W
1788674770.481441623,0 %, 2392 MHz, 59, 12.85 W
1788674770.582332109,0 %, 2392 MHz, 59, 12.85 W
1788674770.681906629,0 %, 2392 MHz, 59, 12.85 W
1788674770.782441708,0 %, 2392 MHz, 59, 12.85 W
1788674770.884082993,0 %, 2392 MHz, 59, 12.85 W
1788674770.984748887,0 %, 2392 MHz, 59, 13.69 W
1788674771.084377600,0 %, 2392 MHz, 59, 13.69 W
1788674771.185351254,0 %, 2392 MHz, 59, 13.69 W
1788674771.285282430,0 %, 2392 MHz, 59, 13.69 W
1788674771.385055014,0 %, 2392 MHz, 59, 13.69 W
1788674771.485462509,0 %, 2392 MHz, 59, 13.67 W
1788674771.586318964,0 %, 2392 MHz, 59, 13.67 W
1788674771.686567787,0 %, 2392 MHz, 59, 13.67 W
1788674771.786712546,0 %, 2392 MHz, 59, 13.67 W
1788674771.887791016,0 %, 2392 MHz, 59, 13.67 W
1788674771.988000432,13 %, 2392 MHz, 59, 13.69 W
1788674772.088543111,13 %, 2392 MHz, 59, 13.69 W
1788674772.188866846,13 %, 2392 MHz, 59, 13.69 W
1788674772.289364085,13 %, 2392 MHz, 59, 13.69 W
1788674772.389020062,13 %, 2392 MHz, 59, 13.69 W
1788674772.489265813,13 %, 2392 MHz, 59, 13.98 W
1788674772.590419499,13 %, 2392 MHz, 59, 13.98 W
1788674772.690998802,13 %, 2392 MHz, 59, 13.98 W
1788674772.791026010,13 %, 2392 MHz, 59, 13.98 W
1788674772.891907184,13 %, 2392 MHz, 59, 13.98 W
1788674772.992351751,0 %, 2392 MHz, 59, 13.93 W
1788674773.092278351,0 %, 2392 MHz, 59, 13.93 W
1788674773.193010902,0 %, 2392 MHz, 59, 13.93 W
1788674773.293665709,0 %, 2392 MHz, 59, 13.93 W
1788674773.392842710,0 %, 2392 MHz, 59, 13.93 W
1788674773.494122796,0 %, 2392 MHz, 58, 13.51 W
1788674773.594695715,0 %, 2392 MHz, 58, 13.51 W
1788674773.695065835,0 %, 2392 MHz, 58, 13.51 W
1788674773.795252818,0 %, 2392 MHz, 58, 13.51 W
1788674773.895602682,0 %, 2392 MHz, 58, 13.51 W
1788674773.996250656,0 %, 2392 MHz, 58, 13.48 W
1788674774.096927607,0 %, 2392 MHz, 58, 13.48 W
1788674774.197200559,0 %, 2392 MHz, 58, 13.48 W
1788674774.297587974,0 %, 2392 MHz, 58, 13.48 W
1788674774.398204845,0 %, 2392 MHz, 58, 13.48 W
1788674774.498523973,0 %, 2392 MHz, 58, 13.46 W
1788674774.598941676,0 %, 2392 MHz, 58, 13.46 W
1788674774.698443413,0 %, 2392 MHz, 58, 13.46 W
1788674774.798739549,0 %, 2392 MHz, 58, 13.46 W
1788674774.899561571,0 %, 2392 MHz, 58, 13.46 W
1788674774.999584203,0 %, 2392 MHz, 58, 13.46 W
1788674775.100756466,0 %, 2392 MHz, 58, 13.46 W
1788674775.201046409,0 %, 2392 MHz, 58, 13.46 W
1788674775.301374049,0 %, 2392 MHz, 58, 13.46 W
1788674775.400568858,0 %, 2392 MHz, 58, 13.46 W
1788674775.501225185,0 %, 2392 MHz, 58, 13.46 W
1788674775.602655143,0 %, 2392 MHz, 58, 13.46 W
1788674775.702682751,0 %, 2392 MHz, 58, 13.46 W
